label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Sample_1_1,Sample_2_2,Sample_3_3,Sample_4_1,Sample_5_2,Sample_6_3,Sample_7_1,Sample_8_2,Sample_9_3
g,0,1,2,521.9838,14.34973,0.8253111,,GTP,GTP,-1,1925.151,521.9838,0,0,0,1737.284,0,1902.474,28903.81,12482.7,0,1922.831,1732.041,2460.989
g,0,2,7,482.9615,13.67324,0.8501565,,UTP,UTP,-1,2080.816,482.9615,1737.822,0,1421.553,30685.12,0,8644.553,131585.1,44287.17,1621.775,10446.32,33443.59,47879.05
g,0,3,7,423.0299,13.82554,0.840053,,Thiamine pyrophosphate,Thiamine pyrophosphate,-1,2375.413,423.0299,0,0,0,13942.27,0,5327.879,52087.79,22735.18,0,28094.95,56406.01,50347.7
g,0,4,9,505.9885,13.34596,0.8547314,,ATP,ATP,-1,1986.669,505.9885,3161.007,2993.637,1838.091,243893.7,2721.713,43289.38,550156.2,200490.6,1439.709,46828.42,123457.3,160272.4
g,0,5,9,611.1448,13.11221,0.8549213,,Glutathione disulfide,Glutathione disulfide,-1,1645.347,611.1448,0,0,1807.306,165459.3,12331.5,20167.46,418475.4,351849.2,971612.2,1245933,1079153,1080782
g,0,6,9,145.0982,12.50786,0.8576937,,Lysine,Lysine,-1,6894.811,145.0982,0,0,0,184949.9,85913.39,226578.1,844879.6,1272927,1804488,2010832,1212910,1944989
g,0,7,4,742.0687,13.09097,0.8449485,,NADP+,NADP+,-1,1354.794,742.0687,0,0,0,4738.034,0,0,22966.77,23904.96,0,0,0,3653.945
g,0,8,1,191.0197,12.10743,0.5654238,,Citrate,Citrate,-1,5245.663,191.0197,0,0,1881.705,7991.486,0,1787.736,32557.49,14057.74,10150.11,68975.8,57255.74,79639.81
g,0,9,0,191.0197,11.49885,0.3378044,,Isocitrate,Isocitrate,-1,5245.424,191.0197,0,0,1735.2,2362.336,2616.839,1883.599,23488.31,20265.82,30152.46,67408.71,33718.93,35046.59
g,0,10,9,173.1043,11.47506,0.8546939,,Arginine,Arginine,-1,5785.769,173.1043,0,0,1829.839,3248110,1653265,1292576,1.88E+07,1.70E+07,6.34E+07,5.69E+07,3.15E+07,4.38E+07
g,0,11,5,187.1201,11.36713,0.8469991,,Homoarginine,Homoarginine,-1,5354.157,187.1201,0,0,0,0,0,0,4140.16,2394.504,3770.814,14500.96,7853.677,13798.75
g,0,12,6,259.0222,12.64355,0.762734,,Glucose-6-phosphate,Glucose-6-phosphate,-1,3874.703,259.0222,0,0,0,0,13726.27,8594.808,154816.6,168819.8,367363,12070.54,13138.53,49321.5
g,0,13,9,242.0801,11.45923,0.8507799,,Phosphocholine (+HAc),Phosphocholine (+HAc),-1,4142.813,242.0801,0,1870.676,0,376525,160676.4,219664.6,1568171,1151640,2841306,508879,287934.5,748910.1
g,0,14,8,426.0221,11.92529,0.8550388,,ADP,ADP,-1,2358.982,426.0221,2057.72,1715.868,1801.266,169750.1,31856.74,66891.98,919509.2,491691.2,2234.965,337738.3,355533.6,591164.9
g,0,15,6,289.1155,11.3765,0.8474083,,L-arginino-succinate,L-arginino-succinate,-1,3471.433,289.1155,0,0,0,2910.323,0,1992.966,12263.67,38183.12,34894.75,28406.6,21974.34,40163.11
g,0,16,8,362.0511,11.33827,0.8541813,,GMP,GMP,-1,2773.462,362.0511,0,1614.394,0,0,62631.2,11587.76,212533.2,704649.2,1493734,60879.27,27035.58,91268.74
g,0,17,5,168.0067,11.42116,0.8481069,,2-Amino-3-phosphonopropionic acid,2-Amino-3-phosphonopropionic acid,-1,5959.914,168.0067,0,0,0,0,0,0,22890.04,15167.13,13128.14,7651.668,3827.019,4043.534
g,0,18,8,322.0446,11.05724,0.849229,,CMP,CMP,-1,3117.961,322.0446,0,0,0,0,8572.099,3282.655,56434.41,157029.9,604374.8,46075.12,36100.88,62364.38
g,0,19,4,259.0222,11.12336,0.8271005,,Fructose-6-phosphate,Fructose-6-phosphate,-1,3874.703,259.0222,2162.907,0,0,113954.8,21321.23,6279.292,170646.7,112445.8,704319.8,103287.7,34158.1,105931.9
g,0,20,6,201.1357,10.53671,0.8475249,,NG-dimethyl-L-arginine,NG-dimethyl-L-arginine,-1,4982.849,201.1357,0,0,0,0,0,0,3271.336,9994.331,18371.79,18218.37,18433.88,11102.09
g,0,21,9,171.0063,10.024,0.8499548,,Glycerol-3-phosphate,Glycerol-3-phosphate,-1,5856.071,171.0063,0,2089.116,0,53067.83,84097.66,12752.39,241067.5,299782.7,511829.4,41418.63,13123.22,71105.4
g,0,22,7,173.0088,10.73528,0.8355137,,Aconitate,Aconitate,-1,5790.602,173.0088,1745.244,2141.614,2396.618,6677.686,14764.7,37727.54,106608.8,97177.75,8155.453,145750.5,228462.9,165558.8
g,0,23,9,565.0481,10.59541,0.8521129,,UDP-D-Glucose,UDP-D-Glucose,-1,1778.797,565.0481,0,0,0,66498.35,28106.24,25958.76,204774.5,167257.1,285291.8,472154.6,309564,400379.2
g,0,24,9,221.0603,10.58579,0.8546468,,Cystathionine,Cystathionine,-1,4535.088,221.0603,0,0,1731.515,36948.66,7824.043,12396.41,73394.93,90898.51,206137.6,705314.6,249231.1,286365.1
g,0,25,8,547.1213,10.39746,0.8496609,,CDP-Choline (+HAc),CDP-Choline (+HAc),-1,1837.418,547.1213,0,0,0,18205.03,4581.313,17050.39,93144.3,123759.1,181268.9,212827.3,135003.6,180846.8
g,0,26,6,209.0304,10.0926,0.8361284,,Galactaric acid,Galactaric acid,-1,4795.27,209.0304,0,0,0,0,2059.1,2828.225,16923.58,25741.17,33572.23,27250.52,26570.67,22738.88
g,0,27,9,323.0287,10.35467,0.8541309,,UMP,UMP,-1,3108.305,323.0287,0,0,0,41362.09,66776.42,26073.8,274132.9,874806.2,3800129,494778.4,280759.6,416942.6
g,0,28,7,229.0116,10.64934,0.8501145,,Ribose phosphate,Ribose phosphate,-1,4380.234,229.0116,0,0,0,3271.082,31519.05,2524.789,57370.5,163761.5,1040944,25158.59,8784.721,39090.82
g,0,29,7,662.1021,10.10597,0.8521314,,NAD+ (SIM),NAD+ (SIM),-1,1518.632,662.1021,0,0,0,120834.6,0,50319.14,152817.2,226276.9,0,257391,281776.8,442992.1
g,0,30,5,588.0753,11.1025,0.846998,,ADP-D-Glucose,ADP-D-Glucose,-1,1709.368,588.0753,0,0,0,0,0,0,13405.14,17934.18,2113.008,38229.53,20616.54,32012.6
g,0,31,4,168.9909,10.08406,0.8430029,,Dihydroxyacetone phosphate,Dihydroxyacetone phosphate,-1,5924.159,168.9909,1695.468,0,0,18213.31,3050.591,0,50612,43141.11,95332.6,3775.532,0,3001.156
g,0,32,9,606.0743,10.16203,0.857135,,UDP-N-acetyl-glucosamine,UDP-N-acetyl-glucosamine,-1,1659.089,606.0743,0,0,0,779684.3,306954.9,427679.4,2764538,3655371,7247674,7176214,5144392,1.06E+07
g,0,33,10,133.0143,10.0629,0.8398013,,Diglycolic acid,Diglycolic acid,-1,7515.34,133.0143,32510.13,42014.08,72337.24,1917503,6621462,4162342,2128108,1471935,3527091,3169405,2539855,1570193
g,0,34,10,133.0143,9.621902,0.8280652,,Malate,Malate,-1,7515.682,133.0143,3062.805,70333.87,28146.34,3403390,1153618,733115.2,3391503,3856432,2.85E+07,1.40E+07,4440468,6065810
