label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Sample_1_1,Sample_2_2,Sample_3_3,Sample_4_1,Sample_5_2,Sample_6_3,Sample_7_1,Sample_8_2,Sample_9_3
g,0,1,7,425.0439,13.79188,0.8473143,,Thiamine pyrophosphate,Thiamine pyrophosphate,-1,2374.117,425.0439,0,0,0,47208.38,0,30734.38,116594.2,45286.83,0,79594.12,157528.9,131389.1
g,0,2,7,508.0023,13.12678,0.8533159,,ATP,ATP,-1,1985.224,508.0023,0,0,0,402795.2,3303.141,73870.65,292021.8,240613.1,0,48169.36,95908.65,165417
g,0,3,9,613.1583,13.05629,0.8564132,,Glutathione disulfide,Glutathione disulfide,-1,1643.851,613.1583,0,0,0,388590.4,17573.85,35724.39,833703.9,752336.6,1992962,2264272,1809892,2284592
g,0,4,10,147.1125,12.66575,0.8602836,,Lysine,Lysine,-1,6892.2,147.1125,0,15752.09,6579.732,1017887,469235.1,1026463,3792066,4277410,5510132,6732582,4032212,6731278
g,0,5,3,744.0808,13.05584,0.8366802,,NADP+,NADP+,-1,1352.987,744.0808,0,0,0,8082.3,0,0,31322.27,42695.49,0,0,0,16145.73
g,0,6,3,249.0637,12.98665,0.8058959,,Pyridoxamine 5-phosphate,Pyridoxamine 5-phosphate,-1,4061.424,249.0637,0,2295.011,0,2335.304,0,0,15097.47,21662.37,28562.34,0,0,0
g,0,7,6,163.1076,12.43107,0.8260692,,5-Hydroxylysine,5-Hydroxylysine,-1,6213.351,163.1076,1860.512,2596.924,0,2791.412,0,1383.103,7063.219,18107.44,17766.02,61822.25,34818.14,49852.61
g,0,8,9,175.1189,11.49165,0.807327,,Arginine,Arginine,-1,5785.068,175.1189,0,0,0,3.76E+07,1.89E+07,1.80E+07,1.57E+08,1.50E+08,3.36E+08,3.13E+08,1.91E+08,2.66E+08
g,0,9,10,133.0971,11.92577,0.8568467,,Ornithine,Ornithine,-1,7625.243,133.0971,6751.649,7839.559,3837.541,302166.5,75013.91,205926.4,549983.8,970211.5,1098396,1108683,818237.1,1477667
g,0,10,9,189.1343,11.0367,0.8546648,,Homoarginine,Homoarginine,-1,5352.697,189.1343,0,0,0,90053.21,41052.65,62188.88,321578.8,425516.8,866287.8,352572.7,219220.9,700597.9
g,0,11,4,261.0369,12.62224,0.8193932,,Glucose-6-phosphate,Glucose-6-phosphate,-1,3873.177,261.0369,0,0,0,0,13280.44,1998.302,58524.85,101090.4,282567.5,0,4739.831,5377.295
g,0,12,9,184.0732,11.45585,0.8583795,,Phosphocholine,Phosphocholine,-1,5501.685,184.0732,0,0,0,3697152,1384769,1822351,1.43E+07,1.10E+07,2.73E+07,2570913,2340464,4934590
g,0,13,8,428.0366,11.96902,0.8553329,,ADP,ADP,-1,2358.625,428.0366,1717.97,1786.73,0,313248,51403.11,123225.9,798959.7,592486.1,0,485619.2,435685.8,784433.2
g,0,14,8,291.1296,11.38161,0.8499999,,L-arginino-succinate,L-arginino-succinate,-1,3471.012,291.1296,0,0,0,13407.31,0,4048.424,39420.67,70213.01,74292.01,68748.45,69563.3,86301.69
g,0,15,9,191.1026,11.05024,0.8589975,,Diaminopimelic acid,Diaminopimelic acid,-1,5298.646,191.1026,0,0,0,347328.3,91107.32,267378,1406172,1719240,3110005,3582988,2800019,3362794
g,0,16,9,364.0648,11.22796,0.8559199,,GMP,GMP,-1,2773.125,364.0648,0,0,0,35312.4,101095,27071.35,281184.7,1478852,1806626,73391.91,64758.76,80067.54
g,0,17,6,335.0634,11.06952,0.8476629,,Nicotinamide ribotide,Nicotinamide ribotide,-1,3013.694,335.0634,0,0,0,2852.468,2951.832,8345.598,60854.08,245913.2,839654.1,101182.7,76585.43,89138.13
