name	term	lev	seq	value
"growth plate cartilage chondrocyte morphogenesis"	GO:0003429;GO:0003414;GO:0003422	1	PGEN_.00g108910	7.24478101145996
"growth plate cartilage chondrocyte morphogenesis"	GO:0003429;GO:0003414;GO:0003422	1	PGEN_.00g116150	6.57490241438071
"growth plate cartilage chondrocyte morphogenesis"	GO:0003429;GO:0003414;GO:0003422	1	PGEN_.00g122020	7.61620186299853
"growth plate cartilage chondrocyte morphogenesis"	GO:0003429;GO:0003414;GO:0003422	1	PGEN_.00g127990	5.90260411651918
"growth plate cartilage chondrocyte morphogenesis"	GO:0003429;GO:0003414;GO:0003422	1	PGEN_.00g261960	7.91021675086306
"metabolic process"	GO:0008152	1	PGEN_.00g039290	5.33099252860095
"metabolic process"	GO:0008152	1	PGEN_.00g074890	3.98029266872974
"metabolic process"	GO:0008152	1	PGEN_.00g094980	3.94349688100487
"metabolic process"	GO:0008152	1	PGEN_.00g156990	5.87126518908058
"metabolic process"	GO:0008152	1	PGEN_.00g286650	2.48484505071187
"metabolic process"	GO:0008152	1	PGEN_.00g316930	6.10861613011011
"developmental process"	GO:0032502	1	PGEN_.00g114580	-4.14922956789537
"developmental process"	GO:0032502	1	PGEN_.00g150280	11.7902111486668
"developmental process"	GO:0032502	1	PGEN_.00g254260	-6.36714834582748
"developmental process"	GO:0032502	1	PGEN_.00g263590	9.49485984493415
"developmental process"	GO:0032502	1	PGEN_.00g279590	8.32596399417674
"developmental process"	GO:0032502	1	PGEN_.00g346230	6.66398457997738
"cellular protein modification process"	GO:0006464	1	PGEN_.00g094980	3.94349688100487
"cellular protein modification process"	GO:0006464	1	PGEN_.00g188250	5.64947107007138
"cellular protein modification process"	GO:0006464	1	PGEN_.00g303310	-2.44255797882371
"cellular protein modification process"	GO:0006464	1	PGEN_.00g345620	5.06642700686644
"cellular protein modification process"	GO:0006464	1	PGEN_.00g348850	5.20727535682074
"regulation of gene expression"	GO:0010468	1	PGEN_.00g017130	-2.93663345680182
"regulation of gene expression"	GO:0010468	1	PGEN_.00g020410	-2.79594033471901
"regulation of gene expression"	GO:0010468	1	PGEN_.00g108630	-23.0278460518233
"regulation of gene expression"	GO:0010468	1	PGEN_.00g211250	5.23444792703682
"regulation of gene expression"	GO:0010468	1	PGEN_.00g254260	-6.36714834582748
"regulation of gene expression"	GO:0010468	1	PGEN_.00g276360	5.29248359213511
"regulation of gene expression"	GO:0010468	1	PGEN_.00g346230	6.66398457997738
""	GO:0045892		PGEN_.00g017130	-2.93663345680182
""	GO:0045892		PGEN_.00g108630	-23.0278460518233
""	GO:0045892		PGEN_.00g188250	5.64947107007138
""	GO:0045892		PGEN_.00g254260	-6.36714834582748
""	GO:0045892		PGEN_.00g346230	6.66398457997738
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g009930	7.92581296479693
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g040700	9.21680631033169
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g056330	6.15148099788561
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g087530	8.95707643349839
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g205860	5.5914530055713
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g256190	8.86348020511239
"steroid metabolic process"	GO:0008202	1	PGEN_.00g002300	6.40110829019483
"steroid metabolic process"	GO:0008202	1	PGEN_.00g013160	10.758166994253
