"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
5 0.548387250791751 1 5 "GO:0002376" "immune system process" 0.59226456118798
11 0.131614526036152 1 5 "GO:0003429;GO:0003414;GO:0003422" "growth plate cartilage chondrocyte morphogenesis" 0.26114445636075
9 0.247500579642308 1 5 "GO:0005975" "carbohydrate metabolic process" 0.352403147923278
-11 0.1392770433924 1 5 "GO:0006464" "cellular protein modification process" 0.26114445636075
10 0.160198070519935 1 6 "GO:0006950" "response to stress" 0.266996784199892
-8 0.258428975143737 1 6 "GO:0008152" "metabolic process" 0.352403147923278
2 0.762072013570349 1 6 "GO:0008202" "steroid metabolic process" 0.762072013570349
-17 0.00388812650743838 1 8 "GO:0009892;GO:0019222" "regulation of metabolic process" 0.0583218976115757
-15 0.0184107420511416 1 7 "GO:0010468" "regulation of gene expression" 0.0941662944985939
16 0.0213289041701916 2 6 "GO:0016192" "vesicle-mediated transport" 0.0941662944985939
17 0.0251110118662917 2 5 "GO:0016485" "protein processing" 0.0941662944985939
-10 0.135240879480613 1 7 "GO:0032501" "multicellular organismal process" 0.26114445636075
6 0.375049668545784 1 6 "GO:0032502" "developmental process" 0.46881208568223
-4 0.552780257108781 1 6 "GO:0032787;GO:0019752" "carboxylic acid metabolic process" 0.59226456118798
-14 0.0672779605383489 NA 5 "GO:0045892" "" 0.201833881615047
