"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
32 0.00347976697518258 2 25 "GO:0005581" "collagen trimer" 0.0695953395036516
31 0.0728198546144993 1 9 "GO:0005604;GO:0062023" "" 0.194186278971998
-2 0.881845513899946 -1 20 "GO:0005623" "obsolete cell" 0.904456937333278
-48 0.000418394557493304 1 15 "GO:0005654" "nucleoplasm" 0.0167357822997322
-43 0.0189684797407056 1 8 "GO:0005730" "nucleolus" 0.0805615354473656
-22 0.179680905287337 1 10 "GO:0005739" "mitochondrion" 0.287489448459739
-45 0.0474985123721068 2 5 "GO:0005743;GO:0019866" "mitochondrial inner membrane" 0.135710035348877
27 0.0201403838618414 2 21 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.0805615354473656
-23 0.13217716746432 1 12 "GO:0005768" "endosome" 0.269905962970585
-29 0.172246451807424 2 6 "GO:0005769" "early endosome" 0.28707741967904
-1 0.963153024824518 1 21 "GO:0005783" "endoplasmic reticulum" 0.963153024824518
-18 0.260369158316129 2 11 "GO:0005789" "endoplasmic reticulum membrane" 0.371955940451613
-33 0.0188396980293775 1 14 "GO:0005794" "Golgi apparatus" 0.0805615354473656
29 0.210513439689285 1 5 "GO:0005796" "Golgi lumen" 0.323866830291208
-7 0.716693961777057 1 8 "GO:0005802;GO:0098791" "trans-Golgi network" 0.79632662419673
-51 0.0248923793410623 1 5 "GO:0005856" "cytoskeleton" 0.0905177430584084
16 0.460402912603505 1 6 "GO:0005938" "cell cortex" 0.558064136489097
7 0.57714629101381 1 17 "GO:0009986" "cell surface" 0.678995636486835
-33 0.0876499601240023 1 7 "GO:0016323" "basolateral plasma membrane" 0.20623520029177
-26 0.112409839517691 1 10 "GO:0016324" "apical plasma membrane" 0.249799643372647
15 0.395652086099108 1 9 "GO:0030054" "cell junction" 0.494565107623885
-16 0.241922804698604 1 14 "GO:0030424;GO:0043005" "" 0.358404155109043
-16 0.386553894792973 1 8 "GO:0030425" "dendrite" 0.494565107623885
5 0.691523398021291 2 15 "GO:0030659;GO:0012506" "cytoplasmic vesicle membrane" 0.790312454881475
-5 0.775335848194627 4 9 "GO:0030667" "secretory granule membrane" 0.838200916967164
27 0.0172337153275689 1 23 "GO:0031012" "extracellular matrix" 0.0805615354473656
-15 0.13619835006494 1 29 "GO:0031090" "organelle membrane" 0.269905962970585
27 0.141700630559557 1 8 "GO:0031225" "anchored component of membrane" 0.269905962970585
-13 0.280963212756648 1 20 "GO:0031226;GO:0005887" "intrinsic component of plasma membrane" 0.387535465871239
-34 0.0834690297960496 1 7 "GO:0031253" "cell projection membrane" 0.20623520029177
-31 0.0114556257780136 1 19 "GO:0031410" "cytoplasmic vesicle" 0.0805615354473656
-33 0.149491662562033 1 5 "GO:0031526" "brush border membrane" 0.27180302284006
-47 0.0155119326759359 2 7 "GO:0031966" "mitochondrial membrane" 0.0805615354473656
-38 0.00983865661590718 NA 13 "GO:0043232" "" 0.0805615354473656
-20 0.164258325848802 NA 13 "GO:0043233;GO:0070013" "" 0.28566665365009
-3 0.804608822476507 NA 16 "GO:0098588" "" 0.846956655238428
-26 0.0325467291202335 NA 19 "GO:0098590" "" 0.100143781908411
21 0.36290734710731 NA 5 "GO:0098796" "" 0.483876462809747
-59 0.0102473830477704 NA 5 "GO:0099513" "" 0.0805615354473656
-42 0.031386273533282 NA 7 "GO:0120025" "" 0.100143781908411
