"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-45 0.0323910040029958 1 9 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.0954682223246192
-18 0.520142486624576 2 5 "GO:0000987;GO:0000976;GO:0001067" "cis-regulatory region sequence-specific DNA binding" 0.674091061794161
-38 0.0053134693195801 1 23 "GO:0003676" "nucleic acid binding" 0.0371942852370607
-47 0.0151088419248665 1 11 "GO:0003677" "DNA binding" 0.0564063431861683
-32 0.0862605354889213 1 12 "GO:0003723" "RNA binding" 0.193223599495184
46 0.0010225036827982 2 22 "GO:0004175" "endopeptidase activity" 0.0143150515591748
53 0.0593586066956067 5 5 "GO:0004222" "metalloendopeptidase activity" 0.151094635225181
37 0.030188195249251 3 14 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 0.0939188296643364
-14 0.432049776240198 2 13 "GO:0004497;GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 0.620379165883361
-76 0.00655453454127424 2 5 "GO:0004518" "nuclease activity" 0.0383598066707592
11 0.529642977123984 3 13 "GO:0004553;GO:0016798" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.674091061794161
51 0.0111016006748915 2 10 "GO:0004867;GO:0004866;GO:0030414" "endopeptidase inhibitor activity" 0.0518074698161603
1 0.973673950282223 1 9 "GO:0004888" "transmembrane signaling receptor activity" 1
63 0.0147853096906284 1 6 "GO:0005044;GO:0038024" "scavenger receptor activity" 0.0564063431861683
29 0.142321788674817 2 10 "GO:0005102" "signaling receptor binding" 0.284643577349634
41 0.0646426378982651 2 8 "GO:0005201;GO:0005198" "structural molecule activity" 0.154931168986893
-44 0.00194418377956945 1 21 "GO:0005215" "transporter activity" 0.0217748583311778
0 0.997332076595461 2 6 "GO:0005319" "lipid transporter activity" 1
-18 0.324088552722218 1 12 "GO:0005507" "copper ion binding" 0.504137748679006
0 1 1 8 "GO:0005518" "collagen binding" 1
-52 0.0135279401974282 4 9 "GO:0005524;GO:0032559;GO:0030554" "ATP binding" 0.0564063431861683
-4 0.862039797329725 4 7 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882" "GTP binding" 0.927282651002045
39 0.164964449209266 1 5 "GO:0005539" "glycosaminoglycan binding" 0.298000295345771
17 0.553871984029846 1 5 "GO:0008061" "chitin binding" 0.689262913459364
-55 0.0220127334125784 3 7 "GO:0008092" "cytoskeletal protein binding" 0.0770445669440244
-37 0.190813516652575 2 5 "GO:0008144" "drug binding" 0.332296383847912
34 0.15705358666526 4 7 "GO:0008237" "metallopeptidase activity" 0.298000295345771
12 0.478226366006897 1 15 "GO:0008270" "zinc ion binding" 0.653187231619176
25 0.0974557284500114 2 19 "GO:0008289" "lipid binding" 0.209904645892332
-76 0.00684996547692128 4 5 "GO:0008509" "anion transmembrane transporter activity" 0.0383598066707592
-60 0.000310560025963434 3 15 "GO:0015075;GO:0015318;GO:0022857" "transmembrane transporter activity" 0.00869568072697615
-78 0.00100411003626972 2 7 "GO:0015081" "sodium ion transmembrane transporter activity" 0.0143150515591748
-86 4.17457213309826e-05 2 9 "GO:0015291;GO:0022853;GO:0022804" "secondary active transmembrane transporter activity" 0.00233776039453503
-80 0.00426959295078412 5 5 "GO:0015293" "symporter activity" 0.034156743606273
47 0.0663990724229541 4 6 "GO:0015485;GO:0032934;GO:0043178;GO:0005496" "sterol binding" 0.154931168986893
9 0.709608600198502 2 7 "GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 0.827876700231586
-8 0.781232368961338 3 5 "GO:0016616" "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" 0.874980253236699
10 0.725741487615618 2 5 "GO:0016715" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen" 0.829418842989278
-16 0.348071120294845 2 15 "GO:0016740" "transferase activity" 0.526810344230036
-52 0.0289152590585208 3 7 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.0939188296643364
13 0.645215073340066 2 5 "GO:0016829" "lyase activity" 0.768766895894547
-33 0.164460443066488 4 7 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 0.298000295345771
-3 0.877606794698364 3 9 "GO:0019899" "enzyme binding" 0.927282651002045
-83 0.00315179402880624 3 5 "GO:0019904" "protein domain specific binding" 0.0294167442688582
-52 0.0102986348055953 4 10 "GO:0022890;GO:0008324;GO:0015077" "cation transmembrane transporter activity" 0.0518074698161603
31 0.0548195569398274 1 16 "GO:0030234;GO:0004857" "enzyme regulator activity" 0.146185485172873
8 0.602015230949417 2 20 "GO:0030246" "carbohydrate binding" 0.732888107242769
24 0.305811678396148 1 7 "GO:0031406" "carboxylic acid binding" 0.489298685433837
-32 0.0450431435440335 2 16 "GO:0035639;GO:0032555;GO:0017076;GO:0032553;GO:0000166" "purine ribonucleotide binding" 0.126120801923294
5 0.847431034569218 NA 7 "GO:0038023" "" 0.927282651002045
-42 0.13792190582704 NA 5 "GO:0043168" "" 0.284643577349634
-22 0.2522560901435 NA 11 "GO:0044877" "" 0.415480619059882
19 0.472198373815828 NA 6 "GO:0048029" "" 0.653187231619176
16 0.514615269679859 NA 7 "GO:0097367" "" 0.674091061794161
-23 0.361324387276357 NA 6 "GO:0140096" "" 0.532478044407263
-36 0.195817511910377 NA 5 "GO:0140110" "" 0.332296383847912
