GO:0003429;GO:0003414;GO:0003422	GO:0008152	GO:0032502	GO:0006464	GO:0010468	GO:0045892	GO:0016192	GO:0008202	GO:0002376	GO:0032787;GO:0019752	GO:0009892;GO:0019222	GO:0006950	GO:0032501	GO:0016485	GO:0005975
0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800
1.000	1.000	0	1.000	0.667	0.600	1.000	1.000	0.800	0.833	0.833	0.500	0.500	0.800	0.800
1.000	0.800	1.000	0	1.000	0.800	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.667	1.000	0	0.200	1.000	0.833	0.600	1.000	0.429	0.833	0.714	1.000	1.000
1.000	1.000	0.600	0.800	0.200	0	1.000	0.800	0.600	1.000	0.800	0.800	0.600	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000
1.000	1.000	1.000	1.000	0.833	0.800	1.000	0	1.000	0.833	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.800	0.800	0.600	0.600	1.000	1.000	0	1.000	0.600	0.800	0.600	1.000	0.800
1.000	1.000	0.833	1.000	1.000	1.000	1.000	0.833	1.000	0	1.000	1.000	1.000	0.800	1.000
1.000	1.000	0.833	1.000	0.429	0.800	1.000	1.000	0.600	1.000	0	0.833	0.571	1.000	1.000
1.000	1.000	0.500	1.000	0.833	0.800	1.000	1.000	0.800	1.000	0.833	0	0.833	0.800	0.800
1.000	1.000	0.500	1.000	0.714	0.600	0.833	1.000	0.600	1.000	0.571	0.833	0	1.000	0.800
1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.800	1.000	0	1.000
1.000	0.800	0.800	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.800	0.800	1.000	0
