GO:0010880;GO:0051279;GO:0010881;GO:0010882;GO:0019722;GO:0019932;GO:0014810;GO:0014809;GO:0045989;GO:0014722;GO:0014819;GO:0006942;GO:0019852;GO:0006767;GO:0006766;GO:0032259;GO:0008152	GO:0007218;GO:0019233;GO:0007600;GO:0032355;GO:0014070;GO:0033993;GO:0010033	GO:0001824;GO:0001833;GO:0030858;GO:0030856;GO:0045597	GO:0006954;GO:0006952	GO:0006898	GO:0090257;GO:0050794;GO:0007268;GO:0098916;GO:0007274;GO:0014057;GO:0001956;GO:0014056;GO:0032224;GO:0051954;GO:0032222	GO:0003008	GO:0006083;GO:0019679;GO:0019541	GO:0006511;GO:0019941;GO:0008015;GO:0003013	GO:0006002;GO:0006796;GO:0019637;GO:1901135;GO:0006793;GO:0006042;GO:0006041;GO:1901073;GO:0006047;GO:0006040;GO:0009225;GO:0006048;GO:0009226;GO:0046349;GO:0006487;GO:0006541;GO:0009064;GO:0009744;GO:0034285;GO:0032869;GO:0071375;GO:0032922;GO:0007623	GO:0001958;GO:0036075;GO:0006661;GO:0046474;GO:0046488;GO:0097435;GO:0008156;GO:0006275;GO:2000113;GO:0008285;GO:0042127;GO:0048523;GO:0009791;GO:0010977;GO:0010975;GO:0031345;GO:0031344;GO:0032957;GO:0043647	GO:0002376	GO:0007193;GO:0007188;GO:0007187;GO:0007186	GO:0009653	GO:0006937	GO:0000272;GO:0005976;GO:0009057;GO:0016052;GO:0006032;GO:0006026;GO:1901072;GO:0006955;GO:0050896	GO:0000302;GO:0007420;GO:0007568;GO:0014012;GO:0031103;GO:0031102;GO:0031099;GO:0031175;GO:0033554	GO:0006665;GO:0006643;GO:0007041;GO:0007034;GO:0019216;GO:0080090	GO:1901071	GO:0032787	GO:0007015	GO:0015718	GO:0002223;GO:0002220;GO:0002429;GO:0002758;GO:0002757;GO:0002768;GO:0002218;GO:0002253;GO:0002764;GO:0007166;GO:0006977;GO:0030330;GO:0071158;GO:0072431;GO:0006978;GO:0042772;GO:0010944;GO:0045892;GO:0016266;GO:0006493;GO:0019221;GO:0033629;GO:0007162;GO:0033628;GO:0030155	GO:0019752	GO:0048646	GO:0009617;GO:0051707	GO:0010640;GO:0009966;GO:0010646;GO:0023051	GO:0007165	GO:0006030;GO:0006022	GO:0003428;GO:0016477;GO:0032486;GO:0007265;GO:0007264;GO:0032525;GO:0000578;GO:0009948;GO:0009798;GO:0009880	GO:0006979	GO:0032868;GO:0043434	GO:0006887;GO:0032940;GO:0031638;GO:0016485;GO:0006508;GO:0019538	GO:0030198;GO:0043062	GO:0030154;GO:0048869	GO:0009308	GO:0006750;GO:0006749;GO:0019184;GO:0042398;GO:0044272;GO:0006518;GO:0006575;GO:0006790;GO:0019370;GO:0006691;GO:0046456;GO:0006690	GO:0032502	GO:0006006;GO:0019318;GO:0010642;GO:0009968;GO:0010648;GO:0023057	GO:0071702	GO:0006486;GO:0006464	GO:0006824;GO:0000041;GO:0072511;GO:0030001;GO:0006812;GO:0006811;GO:0015889;GO:0051180;GO:0071705	GO:0001756;GO:0009952;GO:0035282;GO:0003002;GO:0007389;GO:0007507	GO:0000902;GO:0001745;GO:0048592;GO:0006417;GO:0010608;GO:0034248;GO:0007411;GO:0097485;GO:0008360;GO:0022604;GO:0065008;GO:0022603;GO:0022416;GO:0007423;GO:0030031;GO:0022607;GO:0030030;GO:0016043;GO:0030866;GO:0030036;GO:0030865;GO:0007010;GO:0030029;GO:0006996;GO:0033627	GO:1901564	GO:0001933;GO:0001932;GO:0031400;GO:0042326;GO:0031399;GO:0032269;GO:0031324;GO:0001942;GO:0022405;GO:0022404;GO:0002576;GO:0045055;GO:0051649;GO:0010839;GO:0010837;GO:0050680;GO:0030512;GO:0017015;GO:0090101	GO:0008283	GO:0007155;GO:0022610	GO:0007605;GO:0050954	GO:0016567;GO:0032446	GO:0015031;GO:0015833;GO:0045184	GO:0002040	GO:0016071;GO:0016070	GO:0007156;GO:0098742;GO:0016339	GO:0010629;GO:0010605	GO:0006869;GO:0006629;GO:0044238;GO:0071704	GO:0046942	GO:0006950	GO:0001701;GO:0043009;GO:0003007;GO:0009887;GO:0003300;GO:0014897;GO:0014896;GO:0003012;GO:0006936;GO:0007512;GO:0010628;GO:0010604;GO:0009893;GO:0010737;GO:0035556;GO:0021591;GO:0048731;GO:0030240;GO:0030241;GO:0071688	GO:0048513	GO:2000112	GO:0006897;GO:0016192	GO:0005975;GO:0005996	GO:0006631;GO:0044255	GO:0003429;GO:0003414;GO:0003422	GO:0001579;GO:0007586;GO:0015909;GO:0015908;GO:0015849	GO:1901700	GO:0006355;GO:1903506
0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000
1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000
1.000	1.000	0	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	0.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.333	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
