GO:0005856	GO:0043233;GO:0070013	GO:0005604;GO:0062023	GO:0005796	GO:0005769	GO:0031526	GO:0005654	GO:0005739	GO:0030054	GO:0031012	GO:0031226;GO:0005887	GO:0005623	GO:0120025	GO:0031410	GO:0005789	GO:0009986	GO:0005764;GO:0000323;GO:0005773	GO:0099513	GO:0031253	GO:0005768	GO:0030659;GO:0012506	GO:0005581	GO:0005802;GO:0098791	GO:0098588	GO:0005938	GO:0005794	GO:0016323	GO:0030667	GO:0031225	GO:0030424;GO:0043005	GO:0031966	GO:0098796	GO:0016324	GO:0098590	GO:0031090	GO:0005730	GO:0005743;GO:0019866	GO:0030425	GO:0043232	GO:0005783
0	0.800	1.000	1.000	1.000	1.000	0.800	0.800	1.000	1.000	0.800	0.800	0.600	0.600	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.600	1.000	1.000	1.000	1.000	0.800	1.000	0.600	0.600	0.800	1.000	0.800	1.000	0.400	0.800
0.800	0	0.778	0.000	1.000	0.400	0.923	0.800	0.889	0.846	0.923	0.846	1.000	0.846	1.000	0.846	1.000	1.000	0.571	0.833	1.000	1.000	0.875	1.000	1.000	0.769	1.000	1.000	0.875	0.769	0.857	1.000	0.600	0.692	0.923	1.000	0.800	0.625	1.000	0.769
1.000	0.778	0	0.600	1.000	1.000	1.000	1.000	0.667	0.333	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.625	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.000	0.600	0	1.000	1.000	1.000	1.000	0.800	0.600	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.800	1.000	1.000	0.800	1.000	1.000	1.000	0.800	0.800	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0	1.000	0.833	0.833	1.000	1.000	1.000	1.000	0.833	0.000	1.000	0.833	1.000	0.600	1.000	0.000	0.667	1.000	0.833	1.000	1.000	0.667	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	0.667	0.833	1.000	1.000	0.833	0.667
1.000	0.400	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	0.800	0.600	1.000	0.400	1.000	0.600	1.000	1.000	0.000	0.400	1.000	1.000	1.000	1.000	1.000	0.600	0.800	1.000	1.000	0.400	1.000	1.000	0.200	0.200	1.000	1.000	1.000	0.400	1.000	0.600
0.800	0.923	1.000	1.000	0.833	1.000	0	0.900	1.000	1.000	1.000	0.933	0.714	0.800	1.000	1.000	1.000	0.800	0.857	0.917	1.000	1.000	1.000	0.933	0.833	0.857	1.000	1.000	1.000	0.929	1.000	1.000	1.000	1.000	0.867	0.625	1.000	1.000	0.692	0.933
0.800	0.800	1.000	1.000	0.833	1.000	0.900	0	0.889	1.000	0.900	0.900	1.000	0.900	0.800	1.000	0.900	0.800	1.000	0.900	0.900	1.000	0.875	0.900	1.000	1.000	0.857	1.000	1.000	1.000	0.429	1.000	0.900	0.900	0.500	1.000	0.600	1.000	1.000	0.800
1.000	0.889	0.667	0.800	1.000	1.000	1.000	0.889	0	0.889	0.778	0.889	1.000	0.889	0.889	0.889	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.889	0.667	0.889	0.857	1.000	0.875	0.889	0.714	1.000	1.000	0.667	0.778	1.000	0.800	1.000	1.000	0.889
1.000	0.846	0.333	0.600	1.000	1.000	1.000	1.000	0.889	0	1.000	1.000	1.000	1.000	1.000	0.882	1.000	1.000	1.000	1.000	0.933	0.609	0.375	0.938	0.833	1.000	1.000	1.000	0.750	0.929	1.000	1.000	1.000	0.947	0.957	1.000	1.000	0.875	1.000	1.000
