GO:0043232	GO:0005783	GO:0030659;GO:0012506	GO:0005739	GO:0016604	GO:0031090	GO:0043233;GO:0070013	GO:0098590	GO:0005764;GO:0000323;GO:0005773	GO:0043005	GO:0005887;GO:0031226	GO:0005654	GO:0019898	GO:0009986	GO:0005581
0	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000
1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	0.600	0.600	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0	1.000	0.750	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	0.600	1.000
1.000	1.000	1.000	0	1.000	1.000	0.750	0.750	0.750	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.750	1.000	0	0.750	1.000	1.000	1.000	1.000	1.000	0.500	0.750	1.000	1.000
0.750	1.000	0.000	1.000	0.750	0	1.000	1.000	1.000	1.000	1.000	1.000	0.500	0.600	1.000
1.000	1.000	1.000	0.750	1.000	1.000	0	0.750	1.000	1.000	0.750	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.750	1.000	1.000	0.750	0	0.800	0.800	0.750	1.000	1.000	1.000	1.000
1.000	0.600	1.000	0.750	1.000	1.000	1.000	0.800	0	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.600	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0.750	0.750	1.000	1.000	0	1.000	1.000	0.500	1.000
0.750	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000
1.000	1.000	0.500	1.000	0.750	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000
1.000	1.000	0.600	1.000	1.000	0.600	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0
