GO:0048029	GO:0019899	GO:0016740	GO:0044877	GO:0140096	GO:0016829	GO:0005215	GO:0004553;GO:0016798	GO:0004222	GO:0016616	GO:0019904	GO:0015293	GO:0035639;GO:0032555;GO:0017076;GO:0032553;GO:0000166	GO:0015291;GO:0022853;GO:0022804	GO:0005319	GO:0003677	GO:0004175	GO:0140110	GO:0005102	GO:0000981;GO:0003700	GO:0015485;GO:0032934;GO:0043178;GO:0005496	GO:0030234;GO:0004857	GO:0008237	GO:0008289	GO:0005044;GO:0038024	GO:0004252;GO:0008236;GO:0017171	GO:0008144	GO:0008509	GO:0005539	GO:0005518	GO:0005201;GO:0005198	GO:0000987;GO:0000976;GO:0001067	GO:0043168	GO:0015081	GO:0016715	GO:0031406	GO:0016614	GO:0004518	GO:0003723	GO:0008270	GO:0005507	GO:0016788	GO:0015075;GO:0015318;GO:0022857	GO:0008061	GO:0003676	GO:0030246	GO:0004867;GO:0004866;GO:0030414	GO:0038023	GO:0022890;GO:0008324;GO:0015077	GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882	GO:0008092	GO:0017111;GO:0016462;GO:0016818;GO:0016817	GO:0004888	GO:0004497;GO:0016705	GO:0097367	GO:0005524;GO:0032559;GO:0030554
0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.667	1.000	1.000	1.000	1.000	0.667	0.833	1.000	1.000
1.000	0	1.000	1.000	1.000	1.000	1.000	0.889	1.000	1.000	0.800	1.000	0.778	1.000	1.000	0.889	1.000	0.800	0.778	0.889	1.000	0.556	1.000	0.889	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	0.800	1.000	1.000	1.000	1.000	1.000	0.889	1.000	1.000	1.000	1.000	1.000	0.778	1.000	0.889	0.857	1.000	0.857	1.000	0.857	0.889	1.000	1.000	0.889
1.000	1.000	0	0.909	0.833	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.818	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.933	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	0.800	1.000	1.000	0.714	1.000	0.800	0.833	0.867	1.000	0.857	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.714	0.889	1.000	1.000	0.667
1.000	1.000	0.909	0	1.000	1.000	0.909	1.000	1.000	1.000	0.800	1.000	0.909	0.889	1.000	1.000	0.909	1.000	0.600	1.000	1.000	1.000	1.000	0.909	1.000	1.000	1.000	0.800	1.000	0.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.909	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.571	1.000	0.889	1.000	1.000	0.889
1.000	1.000	0.833	1.000	0	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	0.667	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.833	1.000	1.000
1.000	1.000	0.800	1.000	0.800	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	0.800	0.800	1.000	1.000	1.000	0.800	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000
1.000	1.000	1.000	0.909	1.000	1.000	0	0.923	1.000	1.000	1.000	0.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.938	1.000	0.737	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000
1.000	0.889	1.000	1.000	1.000	1.000	0.923	0	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	0.900	1.000	1.000	0.846	1.000	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	0.769	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.286	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.800	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	0.400	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.400	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.778	0.800	0.909	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	0.818	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	0.857	1.000	0.600	0.583	0.933	1.000	0.714	1.000	1.000	0.688	1.000	1.000	1.000	1.000	0.000	1.000	0.143	0.889	1.000	1.000	0.000
