GO:0000166;GO:0035639;GO:0032555;GO:0017076;GO:0032553	GO:0016740	GO:0005215	GO:0004866;GO:0030414;GO:0004857	GO:0030234	GO:0005515	GO:0016616;GO:0016614	GO:0030246	GO:0008270	GO:0004252;GO:0004175;GO:0008236;GO:0017171	GO:0008289
0	0.857	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000
0.857	0	1.000	1.000	0.875	0.889	1.000	1.000	0.714	1.000	0.857
1.000	1.000	0	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0	0.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.875	0.800	0.000	0	1.000	1.000	1.000	1.000	1.000	0.857
1.000	0.889	1.000	1.000	1.000	0	1.000	1.000	0.857	1.000	1.000
0.800	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000
1.000	0.714	1.000	1.000	1.000	0.857	1.000	1.000	0	0.857	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	0	1.000
1.000	0.857	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	0
