"","Sample.Name","All_Treatment","Primary_Treatment","Second_Treament","Third_Treatment","Time"
"1","SG15","MM","M","M",NA,"DAY14"
"2","SG93","MM","M","M",NA,"DAY14"
"3","SG102","MM","M","M",NA,"DAY14"
"4","SG2","AM","A","M",NA,"DAY14"
"5","SG10","AM","A","M",NA,"DAY14"
"6","SG9","AM","A","M",NA,"DAY14"
"7","SG118","MM","M","M",NA,"DAY14"
"8","SG81","MM","M","M",NA,"DAY14"
"9","SG5","MM","M","M",NA,"DAY14"
"10","SG101","AM","A","M",NA,"DAY14"
"11","SG65","AM","A","M",NA,"DAY14"
"12","SG107","AM","A","M",NA,"DAY14"
"13","SG109","MS","M","S",NA,"DAY14"
"14","SG3","AS","A","S",NA,"DAY14"
"15","SG66","AS","A","S",NA,"DAY14"
"16","SG12","AS","A","S",NA,"DAY14"
"17","SG27","MS","M","S",NA,"DAY14"
"18","SG6","MS","M","S",NA,"DAY14"
"19","SG91","AS","A","S",NA,"DAY14"
"20","SG82","MS","M","S",NA,"DAY14"
"21","SG11","AS","A","S",NA,"DAY14"
"22","SG16","MS","M","S",NA,"DAY14"
"23","SG131","MS","M","S",NA,"DAY14"
"24","SG79","AS","A","S",NA,"DAY14"
"25","SG1","AA","A","A",NA,"DAY14"
"26","SG64","AA","A","A",NA,"DAY14"
"27","SG4","MA","M","A",NA,"DAY14"
"28","SG13","MA","M","A",NA,"DAY14"
"29","SG14","MA","M","A",NA,"DAY14"
"30","SG46","AA","A","A",NA,"DAY14"
"31","SG108","MA","M","A",NA,"DAY14"
"32","SG78","AA","A","A",NA,"DAY14"
"33","SG7","AA","A","A",NA,"DAY14"
"34","SG80","MA","M","A",NA,"DAY14"
"35","SG8","AA","A","A",NA,"DAY14"
