"","Sample.Name","All_Treatment","Primary_Treatment","Second_Treament","Third_Treatment","Time"
"1","SG117","M","M",NA,NA,"Day0"
"2","SG137","A","A",NA,NA,"Day0"
"3","SG38","M","M",NA,NA,"Day0"
"4","SG97","A","A",NA,NA,"Day0"
"5","SG88","M","M",NA,NA,"Day0"
"6","SG87","A","A",NA,NA,"Day0"
"7","SG98","M","M",NA,NA,"Day0"
"8","SG37","A","A",NA,NA,"Day0"
"9","SG25","MM","M","M",NA,"Day7"
"10","SG60","MM","M","M",NA,"Day7"
"11","SG90","MM","M","M",NA,"Day7"
"12","SG128","AM","A","M",NA,"Day7"
"13","SG89","AM","A","M",NA,"Day7"
"14","SG40","AM","A","M",NA,"Day7"
"15","SG43","MM","M","M",NA,"Day7"
"16","SG44","MM","M","M",NA,"Day7"
"17","SG77","MM","M","M",NA,"Day7"
"18","SG19","AM","A","M",NA,"Day7"
"19","SG57","AM","A","M",NA,"Day7"
"20","SG20","AM","A","M",NA,"Day7"
"21","SG62","MS","M","S",NA,"Day7"
"22","SG41","AS","A","S",NA,"Day7"
"23","SG21","AS","A","S",NA,"Day7"
"24","SG129","AS","A","S",NA,"Day7"
"25","SG61","MS","M","S",NA,"Day7"
"26","SG45","MS","M","S",NA,"Day7"
"27","SG58","AS","A","S",NA,"Day7"
"28","SG26","MS","M","S",NA,"Day7"
"29","SG22","AS","A","S",NA,"Day7"
"30","SG140","MS","M","S",NA,"Day7"
"31","SG63","MS","M","S",NA,"Day7"
"32","SG100","AS","A","S",NA,"Day7"
"33","SG17","AA","A","A",NA,"Day7"
"34","SG138","AA","A","A",NA,"Day7"
"35","SG59","MA","M","A",NA,"Day7"
"36","SG42","MA","M","A",NA,"Day7"
"37","SG139","MA","M","A",NA,"Day7"
"38","SG99","AA","A","A",NA,"Day7"
"39","SG130","MA","M","A",NA,"Day7"
"40","SG24","MA","M","A",NA,"Day7"
"41","SG18","AA","A","A",NA,"Day7"
"42","SG127","AA","A","A",NA,"Day7"
"43","SG23","MA","M","A",NA,"Day7"
"44","SG39","AA","A","A",NA,"Day7"
"45","SG15","MM","M","M",NA,"DAY14"
"46","SG93","MM","M","M",NA,"DAY14"
"47","SG102","MM","M","M",NA,"DAY14"
"48","SG2","AM","A","M",NA,"DAY14"
"49","SG10","AM","A","M",NA,"DAY14"
"50","SG9","AM","A","M",NA,"DAY14"
"51","SG118","MM","M","M",NA,"DAY14"
"52","SG81","MM","M","M",NA,"DAY14"
"53","SG5","MM","M","M",NA,"DAY14"
"54","SG101","AM","A","M",NA,"DAY14"
"55","SG65","AM","A","M",NA,"DAY14"
"56","SG107","AM","A","M",NA,"DAY14"
"57","SG109","MS","M","S",NA,"DAY14"
