"","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"PGEN_.00g029510",258,189,215,463,389,104,232,189
"PGEN_.00g223140",37,39,10,41,37,40,69,43
"PGEN_.00g049360",9,8,6,121,86,243,53,42
"PGEN_.00g175940",14,19,18,27,22,17,21,24
"PGEN_.00g218990",13,6,20,37,18,30,33,32
"PGEN_.00g295020",766,3,35,138,30,78,22,44
"PGEN_.00g075140",15,5,7,13,8,15,19,11
"PGEN_.00g108830",127,284,500,281,382,906,926,553
"PGEN_.00g078040",552,309,352,435,458,507,400,333
"PGEN_.00g334660",24,13,11,16,17,9,29,16
"PGEN_.00g184820",28,22,22,29,29,33,24,19
"PGEN_.00g178340",243,250,112,247,239,77,236,298
"PGEN_.00g002060",0,9,3,21,9,18,17,12
"PGEN_.00g314970",236,73,88,91,111,120,66,74
"PGEN_.00g037990",8,3,4,10,11,1,11,9
"PGEN_.00g004720",20,15,14,17,22,20,11,8
"PGEN_.00g219710",81,73,59,73,93,100,91,75
"PGEN_.00g284350",61,70,40,71,59,73,86,81
"PGEN_.00g005230",18,14,7,11,13,23,14,12
"PGEN_.00g217740",54,17,21,31,24,36,35,20
"PGEN_.00g087910",12,14,6,2,11,21,13,17
"PGEN_.00g019550",49,43,69,53,67,122,148,97
"PGEN_.00g347810",173,165,160,242,260,313,231,301
"PGEN_.00g338410",8,13,10,34,35,39,13,31
"PGEN_.00g010780",11,20,6,2,18,2,12,5
"PGEN_.00g130790",16,5,11,9,17,36,16,8
"PGEN_.00g304970",62,36,34,67,62,94,46,76
"PGEN_.00g118300",72,50,70,86,88,151,123,73
"PGEN_.00g092210",96,157,92,64,87,84,75,82
"PGEN_.00g242560",59,94,51,95,85,118,93,115
"PGEN_.00g332070",17,11,9,17,8,10,15,16
"PGEN_.00g328950",9,1,13,14,14,14,13,7
"PGEN_.00g235500",42,15,23,18,19,29,25,16
"PGEN_.00g018780",9,18,4,16,8,11,6,27
"PGEN_.00g314560",37,11,14,26,18,22,20,20
"PGEN_.00g224750",21,31,18,22,18,27,17,21
"PGEN_.00g269570",53,12,17,12,9,29,35,19
"PGEN_.00g335890",24,18,18,28,29,29,23,44
"PGEN_.00g343600",18,11,10,13,17,25,22,26
"PGEN_.00g265470",11,11,9,10,9,12,12,11
"PGEN_.00g242020",59,46,30,46,44,57,45,49
"PGEN_.00g264780",25,12,16,21,20,14,40,20
"PGEN_.00g266870",171,189,127,150,179,236,171,213
"PGEN_.00g049410",50,42,34,48,45,43,38,48
"PGEN_.00g085420",162,197,186,203,209,223,289,224
"PGEN_.00g084770",12,11,9,18,12,14,13,11
"PGEN_.00g305480",26,17,16,25,33,42,52,20
"PGEN_.00g057390",9,3,9,3,5,15,15,12
"PGEN_.00g073310",9,2,10,8,3,17,18,12
"PGEN_.00g042270",30,32,17,8,9,10,29,8
"PGEN_.00g298570",167,138,112,176,137,202,156,178
"PGEN_.00g147340",8,14,18,51,106,31,10,15
"PGEN_.00g025710",5,4,12,10,9,7,6,10
"PGEN_.00g279290",28,12,8,13,7,13,25,10
"PGEN_.00g260950",6,10,11,15,22,10,11,14
"PGEN_.00g201440",42,15,18,15,24,23,14,20
"PGEN_.00g084480",19,12,7,17,14,10,20,18
"PGEN_.00g237210",17,31,18,20,22,20,9,17
"PGEN_.00g164120",41,87,36,68,82,85,51,60
"PGEN_.00g140370",20,1,2,11,7,13,16,3
"PGEN_.00g024040",13,33,15,29,20,25,24,27
"PGEN_.00g196840",52,45,38,55,39,52,75,56
"PGEN_.00g297280",40,11,14,10,11,26,27,11
"PGEN_.00g271090",7,10,3,6,6,11,10,9
"PGEN_.00g144610",17,8,7,14,6,5,8,11
"PGEN_.00g152650",83,84,73,94,94,104,92,77
"PGEN_.00g277730",12,4,10,9,8,12,13,10
"PGEN_.00g011990",24,17,12,10,13,17,17,11
"PGEN_.00g155920",30,8,4,5,12,15,12,8
"PGEN_.00g162660",21,0,26,29,48,28,11,4
"PGEN_.00g251940",39,9,6,11,15,4,16,4
"PGEN_.00g141020",5,14,9,22,12,22,10,13
"PGEN_.00g329270",11,13,5,15,17,18,4,15
"PGEN_.00g051170",105,25,21,33,42,48,46,27
"PGEN_.00g165120",0,0,7,22,13,0,6,19
"PGEN_.00g052480",5,10,8,11,14,13,5,2
"PGEN_.00g258540",2293,444,294,397,460,238,570,420
"PGEN_.00g197080",71,52,64,74,79,103,107,48
"PGEN_.00g139900",8,10,13,2,6,9,16,10
"PGEN_.00g159400",64,93,46,88,73,105,124,111
"PGEN_.00g055700",77,305,161,219,220,246,171,220
"PGEN_.00g197330",333,216,238,369,267,490,393,439
"PGEN_.00g103850",11,24,12,11,19,11,1,5
"PGEN_.00g024220",52,18,19,37,28,31,63,16
"PGEN_.00g294360",4,8,20,21,6,9,11,6
"PGEN_.00g052730",19,19,14,25,13,18,20,11
"PGEN_.00g252550",18,43,33,4,35,33,6,27
"PGEN_.00g075430",0,23,29,71,20,22,21,0
"PGEN_.00g318920",9,3,7,10,5,14,10,9
"PGEN_.00g154960",136,45,59,112,83,93,136,75
"PGEN_.00g325630",18,20,14,30,34,45,26,26
"PGEN_.00g257450",50,55,47,65,89,87,95,81
"PGEN_.00g321390",103,40,19,41,45,45,70,24
"PGEN_.00g286660",16,2,7,7,0,12,12,2
"PGEN_.00g034990",45,41,25,56,27,48,46,57
"PGEN_.00g030670",115,60,66,83,90,82,96,84
"PGEN_.00g139170",556,429,385,579,616,747,667,561
"PGEN_.00g286080",68,61,57,82,99,89,74,83
"PGEN_.00g221730",21,8,17,9,13,14,14,5
"PGEN_.00g186690",37,60,61,86,76,11,16,52
"PGEN_.00g032120",141,117,67,110,143,155,112,149
"PGEN_.00g062910",315,513,205,454,324,405,370,578
"PGEN_.00g242070",17,15,16,22,5,47,36,35
"PGEN_.00g023590",45,12,15,23,13,18,20,12
"PGEN_.00g133230",16,7,9,7,9,11,12,2
"PGEN_.00g138220",58,17,25,33,22,30,35,28
"PGEN_.00g132540",129,88,106,171,125,167,125,177
"PGEN_.00g224510",35,10,11,10,8,13,31,17
"PGEN_.00g176510",11,17,8,11,9,9,4,5
"PGEN_.00g023040",21,30,27,30,18,46,37,27
"PGEN_.00g007170",5,5,11,13,40,20,10,3
"PGEN_.00g294230",56,10,9,12,14,20,27,15
"PGEN_.00g167770",108,72,73,99,94,102,103,80
"PGEN_.00g347630",17,22,19,29,15,31,23,11
"PGEN_.00g171560",21,7,9,17,16,12,24,4
"PGEN_.00g256260",37,39,47,76,60,83,81,79
"PGEN_.00g222910",57,30,18,38,42,53,66,21
"PGEN_.00g022310",16,47,20,28,35,56,86,59
"PGEN_.00g013900",29,27,31,26,25,45,26,34
"PGEN_.00g042470",603,543,459,385,665,396,447,485
"PGEN_.00g330030",7,16,15,11,12,47,18,18
"PGEN_.00g302240",12,20,71,64,87,79,57,98
"PGEN_.00g317730",36,20,28,45,42,31,31,51
"PGEN_.00g249840",17,17,7,30,31,42,33,26
"PGEN_.00g330240",21,16,54,53,83,92,24,11
"PGEN_.00g318810",115,58,70,93,95,89,98,97
"PGEN_.00g333910",233,125,56,86,75,36,66,81
"PGEN_.00g213360",0,42,0,0,78,0,130,73
"PGEN_.00g004880",28,19,23,25,36,40,31,21
"PGEN_.00g114970",7,7,8,10,6,17,10,15
"PGEN_.00g170380",11,7,10,11,7,13,10,11
"PGEN_.00g301920",12,187,22,104,100,49,146,178
"PGEN_.00g290150",21,22,0,68,83,102,68,0
"PGEN_.00g130050",146,112,121,234,272,290,196,188
"PGEN_.00g264900",14,4,15,9,12,15,21,30
"PGEN_.00g125580",43,27,18,25,22,45,44,31
"PGEN_.00g249150",38,35,13,29,16,22,39,40
"PGEN_.00g319070",12,12,11,10,15,14,22,11
"PGEN_.00g302780",26,12,10,8,17,29,20,11
"PGEN_.00g161660",28,27,13,29,24,44,35,18
"PGEN_.00g187310",33,43,8,33,30,49,57,38
"PGEN_.00g243000",6,12,11,18,7,14,21,8
"PGEN_.00g015410",31,28,20,20,24,12,13,22
"PGEN_.00g111800",94,66,60,83,101,120,74,88
"PGEN_.00g263300",67,75,33,33,55,41,23,50
"PGEN_.00g019740",20,5,11,17,11,17,21,16
"PGEN_.00g027220",30,18,20,19,22,19,29,31
"PGEN_.00g338620",35,14,10,18,20,34,21,12
"PGEN_.00g304830",9,24,19,25,23,16,18,33
"PGEN_.00g208930",104,46,80,96,91,116,89,94
"PGEN_.00g225360",23,13,9,23,19,52,19,25
"PGEN_.00g332130",25,17,18,32,18,31,13,19
"PGEN_.00g304780",49,27,26,36,33,47,64,37
"PGEN_.00g323730",15,15,6,11,6,5,15,9
"PGEN_.00g328850",1,17,6,15,13,14,8,22
"PGEN_.00g300200",56,36,25,16,10,24,29,17
"PGEN_.00g274960",9,15,11,7,7,14,13,14
"PGEN_.00g026170",108,38,39,49,49,72,63,56
"PGEN_.00g116460",8,44,16,18,16,39,21,24
"PGEN_.00g028310",44,32,21,29,44,39,53,31
"PGEN_.00g055850",161,235,170,249,187,268,282,388
"PGEN_.00g114190",35,30,14,12,16,17,29,16
"PGEN_.00g319920",0,2,9,10,39,10,9,27
"PGEN_.00g247650",11,4,27,40,89,64,28,12
"PGEN_.00g279820",32,15,33,38,45,42,34,22
"PGEN_.00g021330",54,97,38,122,85,133,79,114
"PGEN_.00g082600",21,19,14,19,23,31,16,34
"PGEN_.00g146730",79,42,59,66,46,49,75,62
"PGEN_.00g274340",17,4,10,7,26,12,17,21
"PGEN_.00g301550",30,27,19,10,14,32,20,23
"PGEN_.00g281850",11,6,6,7,9,11,10,7
"PGEN_.00g076150",45,39,26,58,33,51,41,44
"PGEN_.00g233630",83,59,20,74,47,36,61,72
"PGEN_.00g110440",47,17,23,32,31,68,67,31
"PGEN_.00g139370",346,141,154,179,171,267,248,224
"PGEN_.00g140490",0,62,17,87,60,41,10,107
"PGEN_.00g290110",20,13,13,14,17,21,37,9
"PGEN_.00g245240",11,6,11,16,6,7,11,9
"PGEN_.00g237020",24,10,6,6,12,5,6,11
"PGEN_.00g073500",63,13,51,51,32,127,97,55
"PGEN_.00g025520",88,61,70,96,70,104,81,118
"PGEN_.00g291860",17,38,33,25,39,41,17,48
"PGEN_.00g156050",6,14,17,25,29,23,25,19
"PGEN_.00g321620",55,46,50,70,80,154,133,70
"PGEN_.00g155880",6,9,7,33,34,51,24,44
"PGEN_.00g206930",3,7,7,19,20,31,7,11
"PGEN_.00g099750",36,16,18,12,15,15,19,14
"PGEN_.00g272930",19,39,13,11,22,19,26,18
"PGEN_.00g091560",17,29,29,38,32,68,35,44
"PGEN_.00g140230",162,108,86,161,154,148,209,109
"PGEN_.00g328060",16,18,21,16,11,32,26,18
"PGEN_.00g348410",32,25,18,26,27,38,33,20
"PGEN_.00g186320",13,13,9,10,12,23,12,9
"PGEN_.00g291240",56,53,45,86,77,76,57,81
"PGEN_.00g230550",62,45,15,28,27,27,24,23
"PGEN_.00g088520",69,49,49,52,50,41,53,56
"PGEN_.00g036380",24,18,9,7,20,23,26,25
"PGEN_.00g229850",6,8,5,19,11,11,12,1
"PGEN_.00g054660",106,48,62,82,31,92,84,74
"PGEN_.00g008750",14,14,18,19,19,20,16,11
"PGEN_.00g068890",0,7,26,26,13,17,21,12
"PGEN_.00g172310",55,50,25,56,57,55,62,50
"PGEN_.00g205650",22,6,8,5,12,16,19,13
"PGEN_.00g212160",20,11,9,8,5,9,27,13
"PGEN_.00g052670",19,2,9,19,14,16,17,12
"PGEN_.00g038090",38,22,17,52,48,49,64,49
"PGEN_.00g197270",32,10,9,6,10,11,27,20
"PGEN_.00g259260",85,63,55,56,74,62,105,69
"PGEN_.00g257080",19,3,5,13,12,22,5,5
"PGEN_.00g009930",62,74,257,357,754,430,77,103
"PGEN_.00g293830",1,0,80,103,131,11,3,9
"PGEN_.00g105270",6,7,6,7,9,12,21,9
"PGEN_.00g157590",40,28,18,30,37,46,41,24
"PGEN_.00g202340",420,428,454,365,394,602,588,455
"PGEN_.00g134170",17,9,9,15,11,15,12,16
"PGEN_.00g256930",19,21,6,13,14,18,22,14
"PGEN_.00g150610",22,42,39,34,47,52,25,41
"PGEN_.00g206100",77,100,66,128,117,148,138,110
"PGEN_.00g157040",81,43,30,54,40,47,55,65
"PGEN_.00g080030",72,36,37,28,56,88,47,41
"PGEN_.00g213610",32,33,33,39,53,49,60,44
"PGEN_.00g034810",273,254,187,242,201,308,310,248
"PGEN_.00g175660",33,57,46,75,73,144,95,71
"PGEN_.00g035140",85,20,24,42,39,46,95,39
"PGEN_.00g060430",110,105,77,127,93,188,204,108
"PGEN_.00g064390",4,0,3,20,16,35,18,1
"PGEN_.00g046970",84,61,35,0,29,28,48,19
"PGEN_.00g045400",20,32,18,26,18,22,6,24
"PGEN_.00g332680",112,33,19,32,26,42,54,25
"PGEN_.00g220790",40,48,36,44,42,59,33,39
"PGEN_.00g313720",79,56,68,86,88,122,101,61
"PGEN_.00g290870",60,109,103,78,148,147,58,110
"PGEN_.00g267240",223,107,139,201,191,243,244,206
"PGEN_.00g156310",39,17,9,12,25,24,45,9
"PGEN_.00g087560",18,4,25,3,29,17,37,24
"PGEN_.00g064970",20,14,20,6,52,17,32,3
"PGEN_.00g255620",22,3,6,10,9,24,15,2
"PGEN_.00g219460",214,197,194,207,180,259,291,236
"PGEN_.00g286430",242,28,63,26,64,80,481,24
"PGEN_.00g211610",46,21,22,46,27,49,49,38
"PGEN_.00g250050",13,380,320,318,244,246,13,225
"PGEN_.00g187440",25,32,15,35,12,33,28,44
"PGEN_.00g214130",74,104,70,102,199,229,117,88
"PGEN_.00g221670",59,64,42,102,83,149,118,86
"PGEN_.00g043800",90,40,34,23,37,24,54,23
"PGEN_.00g020270",15,10,4,9,10,8,18,15
"PGEN_.00g312090",239,561,360,542,536,598,314,556
"PGEN_.00g007030",31,10,22,16,27,31,41,22
"PGEN_.00g294700",64,23,8,17,9,12,38,28
"PGEN_.00g006920",5,4,14,12,16,5,18,4
"PGEN_.00g314730",12,9,6,10,13,10,14,3
"PGEN_.00g311010",5,2,15,15,21,22,9,15
"PGEN_.00g171480",112,41,31,48,42,61,98,53
"PGEN_.00g278650",9,13,6,14,5,13,8,10
"PGEN_.00g048970",13,5,4,14,11,26,33,18
"PGEN_.00g314190",108,43,54,53,49,83,63,50
"PGEN_.00g043110",9,10,21,21,5,10,16,11
"PGEN_.00g037170",74,113,69,137,107,143,95,173
"PGEN_.00g123880",20,18,20,22,25,25,42,13
"PGEN_.00g160070",13,5,2,9,13,18,20,18
"PGEN_.00g034480",37,27,11,17,21,27,28,21
"PGEN_.00g038100",15,4,7,14,7,14,17,10
"PGEN_.00g239700",59,85,66,77,57,97,90,79
"PGEN_.00g341800",67,41,48,86,94,115,37,77
"PGEN_.00g200160",15,13,8,19,14,16,13,12
"PGEN_.00g084050",73,59,60,61,46,55,59,52
"PGEN_.00g237620",25,2,10,7,10,19,21,11
"PGEN_.00g335550",111,43,73,57,51,122,101,54
"PGEN_.00g049760",43,51,26,25,45,41,28,49
"PGEN_.00g080990",58,29,19,46,33,44,60,40
"PGEN_.00g199910",14,7,9,10,18,6,8,8
"PGEN_.00g141290",13,19,5,22,19,16,8,12
"PGEN_.00g233280",153,159,146,180,207,210,192,156
"PGEN_.00g178270",27,30,21,24,15,41,43,29
"PGEN_.00g113990",9,22,19,11,15,14,21,22
"PGEN_.00g313650",7,12,16,13,4,11,13,2
"PGEN_.00g039760",813,97,134,167,103,83,144,142
"PGEN_.00g307100",4306,2804,2760,3792,3089,3194,4036,3008
"PGEN_.00g117670",8,8,6,10,10,15,4,18
"PGEN_.00g338780",10,13,4,6,9,18,16,10
"PGEN_.00g192820",43,32,10,17,16,28,11,19
