"","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"PGEN_.00g029510",258,189,215,463,389,104,232,189
"PGEN_.00g005940",0,0,0,0,0,0,0,0
"PGEN_.00g223140",37,39,10,41,37,40,69,43
"PGEN_.00g049360",9,8,6,121,86,243,53,42
"PGEN_.00g003730",3,0,0,0,0,0,0,0
"PGEN_.00g007890",0,0,0,0,0,0,0,0
"PGEN_.00g311520",0,0,4,4,0,0,0,2
"PGEN_.00g175940",14,19,18,27,22,17,21,24
"PGEN_.00g218990",13,6,20,37,18,30,33,32
"PGEN_.00g211810",0,0,0,1,0,0,7,0
"PGEN_.00g295020",766,3,35,138,30,78,22,44
"PGEN_.00g160410",0,0,0,0,0,0,0,0
"PGEN_.00g078590",0,0,0,0,0,0,0,0
"PGEN_.00g075140",15,5,7,13,8,15,19,11
"PGEN_.00g261340",5,7,3,8,5,10,15,6
"PGEN_.00g265840",0,0,0,0,0,0,0,0
"PGEN_.00g104390",0,0,0,0,0,0,0,0
"PGEN_.00g108830",127,284,500,281,382,906,926,553
"PGEN_.00g181050",1,2,1,0,2,2,0,1
"PGEN_.00g097300",5,3,3,5,1,3,13,1
"PGEN_.00g202170",0,0,0,0,0,0,0,0
"PGEN_.00g105620",0,0,0,0,0,0,0,0
"PGEN_.00g078040",552,309,352,435,458,507,400,333
"PGEN_.00g037440",0,0,0,0,0,0,0,0
"PGEN_.00g335130",0,0,0,0,0,0,0,0
"PGEN_.00g068990",0,0,0,0,0,0,0,0
"PGEN_.00g172990",4,2,0,0,4,2,2,2
"PGEN_.00g334660",24,13,11,16,17,9,29,16
"PGEN_.00g340040",11,2,3,5,6,6,4,5
"PGEN_.00g318070",3,0,0,0,0,0,0,0
"PGEN_.00g120610",0,0,0,0,0,0,0,0
"PGEN_.00g195030",0,0,0,0,0,0,0,0
"PGEN_.00g047980",17,5,4,10,2,8,8,7
"PGEN_.00g184820",28,22,22,29,29,33,24,19
"PGEN_.00g178340",243,250,112,247,239,77,236,298
"PGEN_.00g227240",0,0,0,0,0,0,0,0
"PGEN_.00g002060",0,9,3,21,9,18,17,12
"PGEN_.00g006760",4,6,10,8,7,4,2,0
"PGEN_.00g314970",236,73,88,91,111,120,66,74
"PGEN_.00g170590",3,6,0,4,0,3,5,0
"PGEN_.00g037990",8,3,4,10,11,1,11,9
"PGEN_.00g046050",0,0,0,0,0,2,0,0
"PGEN_.00g253950",0,0,0,0,0,0,0,0
"PGEN_.00g005490",0,0,0,0,0,0,1,0
"PGEN_.00g292550",0,0,0,0,0,0,0,0
"PGEN_.00g199200",2,1,4,2,2,4,3,2
"PGEN_.00g195780",11,4,6,1,4,6,10,4
"PGEN_.00g018200",0,0,0,0,0,0,0,0
"PGEN_.00g004720",20,15,14,17,22,20,11,8
"PGEN_.00g035590",0,0,0,0,0,0,0,0
"PGEN_.00g125390",6,1,0,3,2,2,4,0
"PGEN_.00g219710",81,73,59,73,93,100,91,75
"PGEN_.00g346330",0,0,0,0,0,0,0,0
"PGEN_.00g129270",0,2,1,6,0,4,2,3
"PGEN_.00g284350",61,70,40,71,59,73,86,81
"PGEN_.00g079310",0,2,2,0,0,0,0,0
"PGEN_.00g245710",5,1,0,4,8,1,11,0
"PGEN_.00g164880",0,0,0,0,0,0,0,2
"PGEN_.00g260560",0,0,0,0,0,3,0,0
"PGEN_.00g333030",6,2,4,2,3,5,0,0
"PGEN_.00g044980",25,5,3,9,7,9,13,8
"PGEN_.00g111600",0,0,4,6,10,0,0,5
"PGEN_.00g101980",15,5,7,6,4,6,11,3
"PGEN_.00g081510",0,0,0,0,0,0,0,0
"PGEN_.00g313310",0,0,0,0,0,0,0,0
"PGEN_.00g129730",0,0,2,3,16,11,1,4
"PGEN_.00g117210",0,0,0,0,0,0,0,0
"PGEN_.00g267690",6,2,0,2,2,0,2,3
"PGEN_.00g005230",18,14,7,11,13,23,14,12
"PGEN_.00g217740",54,17,21,31,24,36,35,20
"PGEN_.00g249470",0,1,1,1,1,2,0,2
"PGEN_.00g010030",17,5,4,2,5,4,13,2
"PGEN_.00g061150",4,2,3,0,0,0,1,0
"PGEN_.00g339160",0,0,0,0,0,0,0,0
"PGEN_.00g041200",0,0,0,1,1,2,0,1
"PGEN_.00g127820",2,2,0,0,1,2,0,1
"PGEN_.00g087910",12,14,6,2,11,21,13,17
"PGEN_.00g243610",4,7,4,2,6,10,1,9
"PGEN_.00g210770",0,0,0,2,0,0,0,0
"PGEN_.00g011780",0,0,0,0,0,0,0,0
"PGEN_.00g015200",2,0,2,3,3,0,5,2
"PGEN_.00g064500",11,7,1,5,3,6,5,6
"PGEN_.00g303190",4,0,0,2,2,4,3,0
"PGEN_.00g121250",17,4,8,4,4,6,5,6
"PGEN_.00g019550",49,43,69,53,67,122,148,97
"PGEN_.00g347810",173,165,160,242,260,313,231,301
"PGEN_.00g338410",8,13,10,34,35,39,13,31
"PGEN_.00g010780",11,20,6,2,18,2,12,5
"PGEN_.00g130790",16,5,11,9,17,36,16,8
"PGEN_.00g044360",3,3,0,3,6,2,5,6
"PGEN_.00g001800",0,0,0,0,0,0,0,0
"PGEN_.00g267030",0,0,0,0,0,0,0,0
"PGEN_.00g304970",62,36,34,67,62,94,46,76
"PGEN_.00g126150",0,0,0,0,0,0,0,0
"PGEN_.00g080640",0,0,0,0,0,4,6,12
"PGEN_.00g223970",19,0,0,0,0,0,0,0
"PGEN_.00g116160",0,0,0,0,0,1,1,1
