"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37","up","down"
"1","PGEN_.00g286430",113.516468852725,2.40846414215268,0.578563908953173,4.1628316334326,3.14325140685829e-05,0.0196811122826817,242,28,63,26,64,80,481,24,FALSE,TRUE
"2","PGEN_.00g286450",160.009895544668,-1.93640991269526,0.412969395985777,-4.68899131877063,2.74555034617024e-06,0.0027341105530612,61,241,58,279,66,115,82,381,TRUE,FALSE
"3","PGEN_.00g286210",232.890989118769,-1.24580293017547,0.230097385682223,-5.41424200227983,6.15488771173173e-08,9.19386351939928e-05,149,262,114,369,128,326,171,402,TRUE,FALSE
"4","PGEN_.00g132550",25.5995934637068,-1.59128156482482,0.383244380089856,-4.15213281001465,3.29391000546974e-05,0.0196811122826817,14,42,5,34,19,49,15,35,TRUE,FALSE
"5","PGEN_.00g250510",42.982796935217,-2.50763389107008,0.441172818541602,-5.68401720522955,1.31567032682727e-08,2.62037673426431e-05,9,66,16,55,15,65,10,112,TRUE,FALSE
"6","PGEN_.00g025020",48.0914026495932,-1.64387543606812,0.398853716491416,-4.12149960774778,3.76414112379383e-05,0.0204461301951529,17,73,13,46,27,127,40,64,TRUE,FALSE
"7","PGEN_.00g064780",115.621892095208,-2.04393780496619,0.519748591437668,-3.93255092680961,8.40491659445414e-05,0.0386302897322027,49,298,42,202,48,206,41,42,TRUE,FALSE
"8","PGEN_.00g315040",26.3763001199783,2.064236161356,0.483740922975382,4.26723492537977,1.97910715321247e-05,0.0147814565505556,72,15,21,7,53,7,32,12,FALSE,TRUE
"9","PGEN_.00g130650",23.6637412495573,-2.82735932660709,0.732691257354148,-3.85886865474155,0.000113913135271184,0.0486164988032376,0,24,7,68,13,27,2,52,TRUE,FALSE
"10","PGEN_.00g314840",33.3348787393689,1.91756382026012,0.403657802381715,4.7504688598755,2.02945546485485e-06,0.00242519928050155,76,20,23,12,60,13,64,12,FALSE,TRUE
"11","PGEN_.00g006280",76.5632225686376,-1.20092663073944,0.299989911111468,-4.00322339604683,6.24852478113452e-05,0.0311124463060656,41,79,34,140,64,109,49,117,TRUE,FALSE
"12","PGEN_.00g258390",26.7376665534802,-2.67654705678828,0.423001250707358,-6.32751570429747,2.49139623018809e-10,7.44304623768691e-07,8,29,9,59,5,52,7,54,TRUE,FALSE
"13","PGEN_.00g261200",156.899341479548,-2.36847304372582,0.509291660667702,-4.65052390730422,3.31092859629186e-06,0.00282611405183484,23,284,40,87,79,327,61,384,TRUE,FALSE
"14","PGEN_.00g213760",26.5562393775032,-2.73739939025897,0.429503831941127,-6.3733992264688,1.84883777726934e-10,7.44304623768691e-07,9,33,3,35,7,78,10,53,TRUE,FALSE
