"","Var1","Var2","DEGs","num.upreg","num.downreg","perc.upreg","perc.downreg"
"1","AAA","AAM",0,0,0,NA,NA
"2","AAA","AMA",0,1,0,NA,NA
"3","AAA","AMM",0,1,0,NA,NA
"4","AAA","ASA",1,1,0,100,0
"5","AAA","ASM",0,0,1,NA,NA
"6","AAA","MAA",76,38,32,50,42.1052631578947
"7","AAA","MAM",22,14,7,63.6363636363636,31.8181818181818
"8","AAA","MMA",0,1,0,NA,NA
"9","AAA","MMM",0,0,1,NA,NA
"10","AAA","MSA",2,0,2,0,100
"11","AAA","MSM",1,1,0,100,0
"12","AAM","AAA",0,0,0,NA,NA
"13","AAM","AMA",1,1,0,100,0
"14","AAM","AMM",12,12,0,100,0
"15","AAM","ASA",3,3,0,100,0
"16","AAM","ASM",0,1,0,NA,NA
"17","AAM","MAA",118,50,49,42.3728813559322,41.5254237288136
"18","AAM","MAM",8,4,4,50,50
"19","AAM","MMA",0,1,0,NA,NA
"20","AAM","MMM",1,0,1,0,100
"21","AAM","MSA",2,1,1,50,50
"22","AAM","MSM",1,1,0,100,0
"23","AMA","AAA",0,0,1,NA,NA
"24","AMA","AAM",1,0,1,0,100
"25","AMA","AMM",0,1,0,NA,NA
"26","AMA","ASA",1,1,0,100,0
"27","AMA","ASM",0,1,0,NA,NA
"28","AMA","MAA",21,11,10,52.3809523809524,47.6190476190476
"29","AMA","MAM",16,9,7,56.25,43.75
"30","AMA","MMA",2,2,0,100,0
"31","AMA","MMM",25,8,17,32,68
"32","AMA","MSA",35,2,32,5.71428571428571,91.4285714285714
"33","AMA","MSM",3,3,0,100,0
"34","AMM","AAA",0,0,1,NA,NA
"35","AMM","AAM",12,0,12,0,100
"36","AMM","AMA",0,0,1,NA,NA
"37","AMM","ASA",1,1,0,100,0
"38","AMM","ASM",1,0,1,0,100
"39","AMM","MAA",19,0,15,0,78.9473684210526
"40","AMM","MAM",2,0,2,0,100
"41","AMM","MMA",0,1,0,NA,NA
"42","AMM","MMM",38,2,35,5.26315789473684,92.1052631578947
"43","AMM","MSA",135,13,119,9.62962962962963,88.1481481481482
"44","AMM","MSM",0,0,1,NA,NA
"45","ASA","AAA",1,0,1,0,100
"46","ASA","AAM",3,0,3,0,100
"47","ASA","AMA",1,0,1,0,100
"48","ASA","AMM",1,0,1,0,100
"49","ASA","ASM",1,0,1,0,100
"50","ASA","MAA",1,0,1,0,100
"51","ASA","MAM",2,0,2,0,100
"52","ASA","MMA",3,1,2,33.3333333333333,66.6666666666667
"53","ASA","MMM",19,2,17,10.5263157894737,89.4736842105263
"54","ASA","MSA",48,8,40,16.6666666666667,83.3333333333333
"55","ASA","MSM",1,0,1,0,100
"56","ASM","AAA",0,1,0,NA,NA
"57","ASM","AAM",0,0,1,NA,NA
"58","ASM","AMA",0,0,1,NA,NA
"59","ASM","AMM",1,1,0,100,0
"60","ASM","ASA",1,1,0,100,0
"61","ASM","MAA",0,1,0,NA,NA
"62","ASM","MAM",2,1,1,50,50
"63","ASM","MMA",0,1,0,NA,NA
"64","ASM","MMM",33,13,19,39.3939393939394,57.5757575757576
"65","ASM","MSA",71,10,61,14.0845070422535,85.9154929577465
"66","ASM","MSM",0,1,0,NA,NA
"67","MAA","AAA",76,32,38,42.1052631578947,50
"68","MAA","AAM",118,49,50,41.5254237288136,42.3728813559322
"69","MAA","AMA",21,10,11,47.6190476190476,52.3809523809524
"70","MAA","AMM",19,15,0,78.9473684210526,0
"71","MAA","ASA",1,1,0,100,0
"72","MAA","ASM",0,0,1,NA,NA
"73","MAA","MAM",22,17,4,77.2727272727273,18.1818181818182
"74","MAA","MMA",26,23,2,88.4615384615385,7.69230769230769
"75","MAA","MMM",89,50,33,56.1797752808989,37.0786516853933
"76","MAA","MSA",202,73,123,36.1386138613861,60.8910891089109
"77","MAA","MSM",37,22,7,59.4594594594595,18.9189189189189
"78","MAM","AAA",22,7,14,31.8181818181818,63.6363636363636
"79","MAM","AAM",8,4,4,50,50
"80","MAM","AMA",16,7,9,43.75,56.25
"81","MAM","AMM",2,2,0,100,0
"82","MAM","ASA",2,2,0,100,0
"83","MAM","ASM",2,1,1,50,50
"84","MAM","MAA",22,4,17,18.1818181818182,77.2727272727273
"85","MAM","MMA",0,1,0,NA,NA
"86","MAM","MMM",0,0,1,NA,NA
"87","MAM","MSA",2,1,1,50,50
"88","MAM","MSM",15,13,1,86.6666666666667,6.66666666666667
"89","MMA","AAA",0,0,1,NA,NA
"90","MMA","AAM",0,0,1,NA,NA
"91","MMA","AMA",2,0,2,0,100
"92","MMA","AMM",0,0,1,NA,NA
