"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG25","SG60","SG90","SG128","SG89","SG40","SG43","SG44","SG77","SG19","SG57","SG20","SG62","SG41","SG21","SG129","SG61","SG45","SG58","SG26","SG22","SG140","SG63","SG100","SG17","SG138","SG59","SG42","SG139","SG99","SG130","SG24","SG18","SG127","SG23","SG39","up","down"
"1","PGEN_.00g330240",30.99529568516,-2.1042019783252,0.514084788510075,-4.09310297708596,4.25638574382874e-05,0.00849047613376124,90,95,44,30,90,18,8,31,58,34,63,55,13,9,7,12,23,24,55,48,30,9,21,15,33,29,10,11,13,40,15,10,42,35,2,20,FALSE,TRUE
"2","PGEN_.00g156050",12.8323400320746,-1.82606680723605,0.417783970537691,-4.37083980241245,1.23769577250718e-05,0.00336677534680623,10,28,10,21,16,10,12,8,11,12,26,39,6,21,5,13,7,8,26,17,16,7,12,18,13,9,0,5,15,12,3,10,14,23,4,13,FALSE,TRUE
"3","PGEN_.00g009930",113.755240121106,-2.35283362654347,0.598267781157297,-3.93274333107512,8.39818965120125e-05,0.0116233075841439,108,151,304,43,646,173,38,63,224,124,177,279,66,61,51,202,47,59,253,117,104,19,36,31,49,58,47,24,66,154,14,109,114,87,11,53,FALSE,TRUE
"4","PGEN_.00g064970",25.1696574582367,1.63538597657692,0.450824552161535,3.6275441715316,0.000286129835539104,0.0247133583726455,21,23,7,8,13,13,18,85,23,14,3,29,25,35,4,14,44,18,10,24,24,31,37,21,35,11,6,36,35,23,34,74,37,48,75,19,TRUE,FALSE
"5","PGEN_.00g285590",18.5618786226285,-2.51228709381978,0.575166729971057,-4.36792839868572,1.25430597538865e-05,0.00336677534680623,18,35,27,17,43,25,6,11,42,34,48,42,5,10,16,30,21,13,27,20,15,4,2,6,13,18,11,2,9,46,4,3,19,11,1,12,FALSE,TRUE
"6","PGEN_.00g270000",31.0915955456117,-1.82123784112829,0.530257938298583,-3.43462626315794,0.000593371569394526,0.037442164525191,69,69,46,25,45,50,20,34,18,109,93,44,4,16,15,33,15,18,72,28,17,5,13,10,24,24,27,12,20,24,3,10,64,19,8,23,FALSE,TRUE
"7","PGEN_.00g313940",61.3306503239685,-1.64072716664681,0.494308888335052,-3.31923460282732,0.000902645608024135,0.0464879994390047,96,144,241,21,159,85,42,73,78,110,177,38,34,18,22,66,35,53,83,59,36,18,20,57,18,153,14,41,58,53,27,26,53,34,18,26,FALSE,TRUE
"8","PGEN_.00g106710",38.4076162196216,-1.94588553661024,0.566496680950299,-3.43494605007396,0.000592671806967081,0.037442164525191,67,75,17,44,37,51,11,17,83,59,116,102,5,27,24,27,21,39,113,46,30,9,19,25,16,21,25,17,23,56,4,11,77,33,6,28,FALSE,TRUE
"9","PGEN_.00g010140",17.8034719158773,-3.71495134114133,0.84469807301172,-4.3979635562514,1.092713211822e-05,0.00326955403165882,5,56,9,25,14,2,37,8,9,82,113,18,5,14,7,25,16,10,26,74,9,0,4,6,8,7,2,0,4,19,5,5,21,11,2,16,FALSE,TRUE
"10","PGEN_.00g330820",11.2156082971513,2.10494282918724,0.52780854986889,3.98808020391128,6.66101459452257e-05,0.0107319192832519,11,16,3,10,3,2,13,10,12,5,2,8,6,18,8,8,6,12,8,0,10,6,33,11,17,4,27,21,11,13,12,21,12,6,15,12,TRUE,FALSE
"11","PGEN_.00g070790",20.1776501406835,-1.95224030265132,0.552831722159725,-3.53134638335258,0.000413449936494257,0.0306538368845034,26,58,23,19,34,30,13,17,15,35,88,27,11,8,6,32,13,14,41,19,20,2,4,13,21,24,14,9,15,19,2,11,24,4,1,17,FALSE,TRUE
"12","PGEN_.00g145490",19.1463028999892,-1.94589951284617,0.570752756658695,-3.40935631084443,0.000651163705533867,0.0386911313827145,36,47,54,11,85,27,5,21,40,22,24,18,12,8,11,31,12,8,23,29,17,6,6,7,16,22,12,4,10,22,9,4,15,8,1,7,FALSE,TRUE
"13","PGEN_.00g216740",38.98078321178,-1.86896364644137,0.541933513810438,-3.44869545583245,0.000563301625728895,0.0371601655146195,81,69,64,25,164,56,18,33,77,43,38,81,32,24,25,46,23,27,69,15,70,6,13,17,20,16,19,6,20,49,8,55,48,21,2,15,FALSE,TRUE
"14","PGEN_.00g199810",87.4389908665397,-2.1941407928759,0.471932590205749,-4.64926737083219,3.33116159637886e-06,0.00209942251818563,187,167,190,124,332,90,29,96,121,122,128,153,31,65,32,122,49,66,158,85,82,13,30,50,38,57,40,25,50,140,22,31,140,49,10,66,FALSE,TRUE
"15","PGEN_.00g338930",25.1505809713691,-1.88214818309988,0.572021310241563,-3.29034626752814,0.00100064162811264,0.0499010450019507,47,33,5,62,15,30,32,11,20,14,33,26,10,100,2,33,17,63,69,11,10,23,50,36,29,13,0,13,21,59,4,13,22,46,3,11,FALSE,TRUE
"16","PGEN_.00g281550",89.3640879654367,-1.79841748726501,0.524302645151836,-3.43011332079814,0.000603329220685221,0.037442164525191,80,310,68,102,90,137,64,89,93,149,247,222,30,49,38,112,75,66,206,98,79,16,31,71,41,42,69,39,44,104,12,35,155,57,8,79,FALSE,TRUE
"17","PGEN_.00g130720",87.1636765345839,-1.89138274355497,0.465464005320325,-4.06343502813574,4.83557865406117e-05,0.0090401758470578,118,236,138,62,209,147,34,88,143,72,173,184,42,50,56,113,67,60,141,76,141,22,34,44,39,76,35,19,86,130,23,35,110,39,14,58,FALSE,TRUE
"18","PGEN_.00g035820",21.899053031666,-2.1770025246541,0.4925291639746,-4.42004795632035,9.86790002212423e-06,0.00317974101482141,38,34,54,35,45,32,25,22,15,53,63,30,4,12,5,38,12,15,38,16,16,6,7,9,7,31,15,4,15,28,7,4,31,16,2,16,FALSE,TRUE
"19","PGEN_.00g238060",60.8829843306444,-1.96607928439599,0.444287934777549,-4.4252367226231,9.63365835298799e-06,0.00317974101482141,80,166,62,62,98,95,37,51,123,76,91,140,13,58,40,88,64,38,117,75,40,16,24,23,71,36,26,13,39,144,19,20,82,47,10,45,FALSE,TRUE
"20","PGEN_.00g047200",294.831817950894,-1.73452019285266,0.519779529993121,-3.33703059232751,0.000846786269643014,0.0457701636585108,647,497,473,310,399,303,145,206,688,322,579,659,92,165,133,391,173,243,759,422,143,72,149,118,130,193,155,72,220,645,80,88,594,197,23,276,FALSE,TRUE
"21","PGEN_.00g164650",44.059847440631,-2.60867261857593,0.684310740214256,-3.81211701829956,0.000137781615379039,0.015806939976675,12,27,91,21,466,106,14,46,79,34,27,47,19,30,30,34,12,21,54,65,36,18,18,13,13,17,19,15,23,67,7,45,66,25,2,11,FALSE,TRUE
"22","PGEN_.00g045080",151.27247303819,1.70825329863088,0.505697317384332,3.37801534614945,0.000730110060516272,0.0427752593496876,87,250,103,99,61,54,165,246,145,53,30,176,248,112,191,57,261,173,66,100,104,77,241,175,222,26,356,253,173,140,88,257,157,45,85,136,TRUE,FALSE
"23","PGEN_.00g085780",127.603981735422,-2.06070364733123,0.520678362655941,-3.95772860008958,7.56658602359059e-05,0.011121553983446,300,338,132,95,192,181,78,114,375,146,187,283,21,62,54,236,81,106,353,125,108,27,40,39,61,71,36,44,90,256,25,39,206,70,10,67,FALSE,TRUE
"24","PGEN_.00g077410",218.541116395249,2.72252332891674,0.693966056373108,3.92313615905874,8.74037213894804e-05,0.0116233075841439,71,223,15,157,20,113,115,100,162,42,118,123,47,182,143,91,571,255,84,72,90,73,175,128,194,65,1230,140,189,149,145,291,224,137,269,386,TRUE,FALSE
