"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG15","SG93","SG102","SG2","SG10","SG9","SG118","SG81","SG5","SG101","SG65","SG107","SG109","SG3","SG66","SG12","SG27","SG6","SG91","SG82","SG11","SG16","SG131","SG79","SG1","SG64","SG4","SG13","SG14","SG46","SG108","SG78","SG7","SG80","SG8","up","down"
"1","PGEN_.00g049360",50.8901410255691,4.99646711306426,1.45576912845092,3.43218372708657,0.000598741787648465,0.0216675653342845,8,9,0,136,98,45,44,6,10,22,177,49,62,3,12,249,32,10,64,23,228,53,1,21,16,3,66,6,44,89,28,37,88,14,131,TRUE,FALSE
"2","PGEN_.00g295020",964.255849775374,-7.29152690091717,2.18196779842701,-3.34172067350107,0.000832608030822816,0.0277831304336777,40,318,124,52,35,170,54,726,451,260,68,15,241,3820,1189,32,5885,2087,54,135,143,46,588,109,282,51,27,6675,72,13,6,58,32,215,47,FALSE,TRUE
"3","PGEN_.00g163270",8.53280948215777,5.89574418705763,1.65977689145383,3.55213054080626,0.000382125232127849,0.0170299483333853,0,9,3,24,20,6,5,4,0,0,18,5,3,2,3,33,2,6,13,0,23,5,0,6,4,0,9,0,6,11,3,8,67,3,7,TRUE,FALSE
"4","PGEN_.00g321390",49.4988220006735,-1.20197230662851,0.339678870486699,-3.53855482652277,0.00040232372269835,0.0175866335335842,62,52,47,57,38,44,55,46,56,49,66,89,53,40,32,42,37,63,44,46,22,56,98,40,33,49,37,39,61,59,84,45,35,68,55,FALSE,TRUE
"5","PGEN_.00g247650",37.2164321989656,5.21180511553366,1.18862119437677,4.38474859794701,1.16119805446165e-05,0.00204759984116137,12,26,6,35,81,84,55,8,4,25,29,34,22,10,31,70,20,11,18,19,221,15,7,24,61,23,22,14,8,36,18,14,140,11,37,TRUE,FALSE
"6","PGEN_.00g110440",39.9792223001188,-1.44194887966731,0.465132681560452,-3.10008076583606,0.00193467879774766,0.046565959867044,48,28,38,36,35,29,45,32,63,37,48,51,38,38,34,29,38,63,49,44,22,54,42,35,19,57,53,45,48,41,49,23,38,46,20,FALSE,TRUE
"7","PGEN_.00g009930",240.380022434801,5.16586813288381,1.34901661933824,3.82935840732483,0.000128477778887674,0.00888365442017865,96,147,24,182,108,1372,230,49,42,160,185,504,106,50,209,209,163,51,132,88,739,137,3,112,677,118,187,126,108,208,142,88,1113,54,85,TRUE,FALSE
"8","PGEN_.00g064390",28.6938330036881,5.59488644889316,1.67630392821549,3.33763248699727,0.000844954284126496,0.0279729743266614,6,11,3,15,132,2,56,4,5,26,45,4,11,2,9,71,17,4,12,10,216,17,1,15,9,2,11,16,4,23,15,10,138,3,35,TRUE,FALSE
"9","PGEN_.00g313720",78.6298042520752,1.62638171793253,0.473949180371051,3.43155297084647,0.000600135914246113,0.0216675653342845,62,63,57,90,125,109,75,78,81,92,97,93,60,53,83,158,40,59,97,50,110,79,64,83,64,68,55,32,95,74,66,72,175,66,105,TRUE,FALSE
"10","PGEN_.00g048970",14.2607400055019,2.20039784843382,0.676703066049113,3.25164456735906,0.00114739407887755,0.0339135208443366,23,8,7,29,33,10,17,8,8,25,24,22,7,17,7,18,5,4,21,12,12,10,13,15,9,15,12,5,5,10,29,32,15,13,33,TRUE,FALSE
"11","PGEN_.00g037820",9.03048280970573,5.79256520665531,1.6967628426457,3.41389206615533,0.00064041941107435,0.022481677110607,0,19,0,5,22,14,16,2,0,15,7,2,5,0,4,14,2,0,10,4,36,4,0,12,10,5,7,0,1,9,4,4,56,4,23,TRUE,FALSE
"12","PGEN_.00g199910",7.02144799233831,-2.2671302469661,0.694771269338806,-3.26313183491836,0.00110188248639746,0.033082571808707,7,8,10,7,3,4,14,9,11,8,11,9,9,4,2,4,2,8,9,7,1,13,9,8,4,6,7,4,12,7,20,8,4,5,6,FALSE,TRUE
"13","PGEN_.00g116940",86.7987689040655,4.96672060684793,1.19280083743201,4.16391441972897,3.12837412928384e-05,0.00360521418595953,16,21,8,63,227,410,103,17,62,40,54,52,49,70,34,286,25,70,49,28,218,39,6,59,101,138,47,78,38,69,19,65,259,25,125,TRUE,FALSE
"14","PGEN_.00g260070",17.6140276920056,3.92796154479218,1.22058437393285,3.21809915699304,0.00129043198777164,0.0364419271002143,8,5,2,17,33,16,22,6,5,17,29,23,17,6,4,42,20,10,18,3,29,13,1,14,19,3,17,2,10,14,8,10,129,9,33,TRUE,FALSE
"15","PGEN_.00g114840",11.0939659832194,4.81689059703872,1.49524793865644,3.221466134484,0.00127536533820892,0.0363721956987073,0,7,2,27,14,5,11,9,2,10,20,17,2,4,6,25,19,5,6,0,58,3,2,5,10,6,1,0,4,9,9,3,52,8,19,TRUE,FALSE
"16","PGEN_.00g285590",30.9464691474645,4.03719744915426,1.26109603571776,3.20134021106208,0.00136789919850479,0.0376056914596173,10,35,5,61,57,43,32,8,7,14,34,38,21,3,5,98,24,9,21,18,38,15,3,7,21,4,17,7,29,44,21,23,252,8,75,TRUE,FALSE
"17","PGEN_.00g053750",30.0409565963205,4.64443430204091,1.24254242458762,3.73784766631396,0.000185602339644602,0.0115712409453839,9,21,6,60,83,21,53,11,4,20,55,29,31,5,8,86,8,5,17,23,75,26,7,35,19,6,30,5,10,56,5,17,186,8,39,TRUE,FALSE
"18","PGEN_.00g270000",50.2340473637828,4.91500383133462,1.05829177420383,4.64428048213098,3.41263680538461e-06,0.000973369332815826,18,42,7,48,146,85,64,15,14,70,70,50,40,5,56,167,25,13,67,12,139,35,8,31,75,12,34,15,36,85,12,32,164,14,92,TRUE,FALSE
"19","PGEN_.00g229340",11.907937060151,-2.94806580051472,0.896763749130343,-3.28744979195878,0.00101099214966446,0.0310064769772094,6,13,11,11,7,11,11,22,35,8,5,15,17,16,10,13,4,39,7,11,4,12,15,7,5,8,6,22,8,2,9,6,8,15,9,FALSE,TRUE
"20","PGEN_.00g256190",9.69361906290563,3.56655469929919,1.07880675933118,3.30601812460864,0.000946319662261163,0.0298247542175072,1,10,1,14,21,11,10,6,4,4,10,17,13,0,9,23,6,6,13,3,29,9,6,12,13,7,4,1,9,14,9,3,33,2,14,TRUE,FALSE
"21","PGEN_.00g057910",10.9096654719468,5.86454803843924,1.46223452960561,4.01067538736144,6.05453053069194e-05,0.00575634490205536,2,20,2,12,13,21,4,2,0,12,16,7,7,2,10,28,0,0,6,5,40,10,2,10,5,5,11,0,8,22,3,2,65,2,40,TRUE,FALSE
"22","PGEN_.00g087810",663.196576668546,-4.42072123717441,1.21903236867053,-3.62641825663384,0.0002873797362943,0.0145488855931449,429,451,1216,355,321,231,337,562,1635,682,394,7,1845,42,86,613,2790,884,342,772,823,349,1299,297,115,59,675,89,846,327,566,230,572,508,363,FALSE,TRUE
"23","PGEN_.00g083480",23.4340579157063,-4.13257738938415,1.12889431016772,-3.66073010747141,0.000251497571150865,0.0137948836022126,43,17,42,20,4,3,13,21,5,11,31,0,21,4,2,18,22,14,17,61,18,7,9,15,17,4,65,19,145,19,76,24,18,16,26,FALSE,TRUE
"24","PGEN_.00g340440",5.43547137089186,-4.33538843449476,1.30403640224497,-3.32459157354132,0.000885481485720386,0.0284576289312222,7,5,5,5,17,0,1,6,29,3,3,1,11,0,0,1,6,13,1,7,4,7,6,3,3,5,5,6,2,0,7,5,2,5,5,FALSE,TRUE
"25","PGEN_.00g063220",18.7713706404828,5.36596245123324,1.33707609122038,4.01320649323377,5.98994700237738e-05,0.00574279876891795,6,18,0,15,59,17,9,4,5,18,28,18,17,2,6,38,3,7,25,8,75,10,4,30,10,0,14,2,19,18,9,14,112,8,31,TRUE,FALSE
"26","PGEN_.00g252450",133.843682412851,-0.86399410540715,0.227564450747465,-3.79670068224298,0.000146634662654996,0.00980226287956348,176,153,119,160,136,96,222,126,124,124,127,146,120,86,131,132,67,131,156,130,94,167,213,102,105,170,162,131,169,156,181,116,119,139,203,FALSE,TRUE
"27","PGEN_.00g313940",115.562478906273,4.38917140396124,1.25889653844839,3.48652273630918,0.00048934378599924,0.0194526942664297,42,236,18,110,116,148,123,25,19,158,142,84,103,16,73,180,19,31,112,24,274,83,13,137,100,27,143,5,112,188,26,71,853,21,289,TRUE,FALSE
"28","PGEN_.00g106710",78.6645585361125,5.50726382538176,1.51273645618329,3.64059701402111,0.000272006591311399,0.0144715917693616,23,38,10,158,253,22,86,13,15,32,86,35,59,5,7,294,45,25,35,36,248,26,3,64,26,5,55,8,52,63,38,49,715,14,100,TRUE,FALSE
