"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG119","SG86","SG85","SG132","SG75","SG54","SG73","SG47","SG34","SG126","SG68","SG112","SG133","SG52","SG123","SG115","SG122","SG33","SG120","SG111","SG142","SG96","SG113","SG30","SG51","SG83","SG125","SG35","SG84","SG49","SG116","SG136","SG70","SG31","SG121","SG74","SG134","SG56","SG76","SG55","SG48","SG53","SG106","SG104","SG32","SG124","SG29","SG110","SG105","SG72","SG94","SG95","SG135","SG71","SG114","SG69","SG141","SG36","SG67","SG28","SG50","SG103","up","down"
"1","PGEN_.00g029510",136.076126713664,-3.86387421140239,1.10828166818167,-3.48636481350608,0.000489632785559283,0.0347963733207401,102,419,305,135,256,107,91,95,58,114,116,131,55,115,122,7,370,219,66,75,280,175,169,21,29,91,401,217,69,88,395,125,98,190,201,114,119,311,147,43,197,147,162,171,104,94,56,65,274,338,81,77,91,75,200,83,71,503,47,104,188,31,FALSE,TRUE
"2","PGEN_.00g295020",803.699718863439,-17.5852136817964,3.6198127295038,-4.85804515202281,1.1855037882264e-06,0.000665970866176517,2,211,123,2,317,2082,451,20,54,16609,69,37,218,35,406,2285,20,95,6,12,29,61,830,2003,640,140,48,61,25,98,38,9,28,75,5,113,1,98,15,2801,16,4208,14,1,29,4212,1511,322,41,195,38,635,10,32,2841,405,277,337,38,29,619,2242,FALSE,TRUE
"3","PGEN_.00g139900",13.0104648234034,-8.04579928199556,2.33392805886471,-3.44732103092726,0.000566175381349811,0.0372747238103327,6,12,13,9,76,3,8,2,8,132,15,10,0,67,11,1,17,16,8,9,3,2,18,9,4,1,21,6,13,17,8,9,11,6,28,2,1,17,8,1,7,2,23,9,11,9,2,6,3,9,10,5,7,1,2,2,0,175,5,14,1,3,FALSE,TRUE
"4","PGEN_.00g009930",117.309939272973,7.93081733686278,2.06942536062567,3.8323766045203,0.000126911259996068,0.0145356517880933,82,216,389,149,85,54,78,56,9,44,136,65,1134,31,15,12,1,82,51,83,19,25,43,84,12,49,18,92,155,325,81,15,45,92,36,35,202,27,32,106,247,160,55,73,70,429,262,130,78,60,61,1077,47,40,13,45,51,115,34,79,14,286,TRUE,FALSE
"5","PGEN_.00g064390",13.115394496247,6.97106266881207,1.91197376863958,3.64600329939263,0.000266350556451472,0.0232764549657972,18,34,54,29,13,5,2,15,8,0,32,9,1,3,1,0,1,8,2,15,12,12,14,2,2,10,4,20,54,103,8,7,7,14,11,8,43,9,6,6,70,4,16,13,7,0,7,2,33,13,18,40,14,10,6,10,2,9,4,10,7,2,TRUE,FALSE
"6","PGEN_.00g205860",36.8963016658825,5.60262040533403,1.62049121161492,3.45735932733054,0.000545496957472869,0.0372747238103327,60,91,23,81,48,67,12,39,66,11,76,98,32,4,18,8,11,13,21,66,6,28,27,18,4,39,7,29,175,52,19,50,15,56,14,31,47,41,20,21,88,10,30,41,79,19,22,10,11,47,18,8,82,81,19,34,11,43,60,51,12,26,TRUE,FALSE
"7","PGEN_.00g116940",55.3053485929682,6.32551636820022,1.83186780359267,3.45304194756554,0.000554302799619904,0.0372747238103327,46,161,51,357,40,82,113,66,39,6,105,49,120,14,20,24,13,43,38,37,5,21,23,49,4,14,5,62,155,185,44,22,5,36,22,14,124,11,26,80,89,79,88,32,68,112,86,34,3,31,26,151,70,57,22,39,17,21,47,51,16,78,TRUE,FALSE
"8","PGEN_.00g306170",114.917505238199,5.45656328718158,1.31437060593367,4.15146478668054,3.30354099146563e-05,0.00628578598005162,162,215,315,213,111,90,121,130,36,52,244,139,99,54,44,16,24,77,78,138,40,40,81,38,15,72,47,122,258,613,133,36,58,157,116,38,316,78,80,143,465,62,186,118,127,95,113,50,110,128,142,286,131,71,103,79,38,97,56,151,35,183,TRUE,FALSE
"9","PGEN_.00g209570",8.61416993676035,7.00880180044368,1.82115792597672,3.84854146939769,0.000118823184144397,0.013991116056811,12,3,6,4,9,12,6,13,9,0,9,17,3,8,5,2,4,7,8,11,12,19,1,0,4,18,3,16,27,26,8,3,4,15,2,8,17,7,4,1,47,5,1,13,25,0,1,5,31,7,5,1,2,15,1,8,4,1,9,9,5,1,TRUE,FALSE
"10","PGEN_.00g316680",26.6415482013432,-7.03685017059617,1.9135677049143,-3.6773458041357,0.000235673451380122,0.0219624624893569,16,11,20,11,23,64,54,7,6,167,9,4,19,91,9,26,10,26,4,9,16,5,28,28,28,40,18,7,13,20,14,7,14,7,41,6,10,6,11,111,37,59,6,16,23,28,19,22,91,33,10,5,5,15,50,7,23,16,47,15,35,21,FALSE,TRUE
