"","Day","Treatment","Pairwise.compare","DEGs_total","DEGs_UP","DEGs_DOWN"
"1","7","full_interaction","AA_AM",1,0,1
"2","7","full_interaction","AA_AS",6,0,6
"3","7","full_interaction","AA_MA",9,1,8
"4","7","full_interaction","AA_MM",27,5,22
"5","7","full_interaction","AA_MS",14,1,13
"7","7","full_interaction","AM_AS",0,1,0
"8","7","full_interaction","AM_MA",183,155,28
"9","7","full_interaction","AM_MM",4,0,4
"10","7","full_interaction","AM_MS",45,37,8
"12","7","full_interaction","AS_AM",0,0,1
"13","7","full_interaction","AS_MA",18,15,3
"14","7","full_interaction","AS_MM",27,18,9
"15","7","full_interaction","AS_MS",0,0,1
"19","7","full_interaction","MA_MM",35,4,31
"20","7","full_interaction","MA_MS",0,0,1
"30","7","full_interaction","MS_MM",0,1,0
"110","14","full_interaction","AA_AM",0,1,0
"210","14","full_interaction","AA_AS",1,1,0
"310","14","full_interaction","AA_MA",7,5,2
"410","14","full_interaction","AA_MM",7,6,1
"510","14","full_interaction","AA_MS",37,9,28
"71","14","full_interaction","AM_AS",0,1,0
"81","14","full_interaction","AM_MA",16,10,6
"91","14","full_interaction","AM_MM",11,10,1
"101","14","full_interaction","AM_MS",0,1,0
"122","14","full_interaction","AS_AM",0,0,1
"133","14","full_interaction","AS_MA",11,10,1
"141","14","full_interaction","AS_MM",1,1,0
"151","14","full_interaction","AS_MS",2,1,1
"191","14","full_interaction","MA_MM",0,0,1
"201","14","full_interaction","MA_MS",0,0,1
"301","14","full_interaction","MS_MM",0,1,0
"111","21","full_interaction","AAA_AAM",0,0,1
"211","21","full_interaction","AAA_AMA",0,1,0
"311","21","full_interaction","AAA_AMM",0,1,0
"411","21","full_interaction","AAA_ASA",1,1,0
"511","21","full_interaction","AAA_ASM",0,0,1
"6","21","full_interaction","AAA_MAA",68,32,36
"72","21","full_interaction","AAA_MAM",20,12,8
"82","21","full_interaction","AAA_MMA",0,1,0
"92","21","full_interaction","AAA_MMM",0,0,1
"102","21","full_interaction","AAA_MSA",2,0,2
"11","21","full_interaction","AAA_MSM",0,0,1
"123","21","full_interaction","AAM_AAA",0,1,0
"134","21","full_interaction","AAM_AMA",1,1,0
"142","21","full_interaction","AAM_AMM",12,12,0
"152","21","full_interaction","AAM_ASA",4,4,0
"16","21","full_interaction","AAM_ASM",0,1,0
"17","21","full_interaction","AAM_MAA",111,43,68
"18","21","full_interaction","AAM_MAM",0,0,1
"192","21","full_interaction","AAM_MMA",0,1,0
"202","21","full_interaction","AAM_MMM",0,1,0
"21","21","full_interaction","AAM_MSA",0,0,1
"22","21","full_interaction","AAM_MSM",1,1,0
"23","21","full_interaction","AMA_AAA",0,0,1
"24","21","full_interaction","AMA_AAM",1,0,1
"25","21","full_interaction","AMA_AMM",0,1,0
"26","21","full_interaction","AMA_ASA",1,1,0
"27","21","full_interaction","AMA_ASM",0,0,1
"28","21","full_interaction","AMA_MAA",18,8,10
"29","21","full_interaction","AMA_MAM",13,6,7
"302","21","full_interaction","AMA_MMA",4,4,0
"31","21","full_interaction","AMA_MMM",25,8,17
"32","21","full_interaction","AMA_MSA",28,2,26
"33","21","full_interaction","AMA_MSM",3,3,0
"34","21","full_interaction","AMM_AAA",0,0,1
"35","21","full_interaction","AMM_AAM",12,0,12
"36","21","full_interaction","AMM_AMA",0,0,1
"37","21","full_interaction","AMM_ASA",1,1,0
"38","21","full_interaction","AMM_ASM",1,0,1
"39","21","full_interaction","AMM_MAA",18,0,18
"40","21","full_interaction","AMM_MAM",2,0,2
"41","21","full_interaction","AMM_MMA",0,1,0
"42","21","full_interaction","AMM_MMM",37,2,35
"43","21","full_interaction","AMM_MSA",132,13,119
"44","21","full_interaction","AMM_MSM",0,0,1
"45","21","full_interaction","ASA_AAA",1,0,1
"46","21","full_interaction","ASA_AAM",4,0,4
"47","21","full_interaction","ASA_AMA",1,0,1
"48","21","full_interaction","ASA_AMM",1,0,1
"49","21","full_interaction","ASA_ASM",1,0,1
"50","21","full_interaction","ASA_MAA",4,1,3
"51","21","full_interaction","ASA_MAM",2,0,2
"52","21","full_interaction","ASA_MMA",3,1,2
