"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37","up","down"
"1","PGEN_.00g286430",112.383949686934,2.37441164925442,0.571490923304567,4.154767035537,3.25619134668836e-05,0.0338736757882538,242,28,63,26,64,80,481,24,FALSE,TRUE
"2","PGEN_.00g286450",160.644017585638,-1.95968886040457,0.40925196408049,-4.78846537684337,1.68061551498487e-06,0.00330409010246026,61,241,58,279,66,115,82,381,TRUE,FALSE
"3","PGEN_.00g286210",233.629858160276,-1.27241028175161,0.230258284643861,-5.52601303236338,3.27589808011227e-08,8.05051953187589e-05,149,262,114,369,128,326,171,402,TRUE,FALSE
"4","PGEN_.00g132550",25.703430000498,-1.61679874951259,0.392660900967231,-4.11754454168973,3.82930535797108e-05,0.0342200651535052,14,42,5,34,19,49,15,35,TRUE,FALSE
"5","PGEN_.00g250510",43.2115712254924,-2.52972539913937,0.444188506690516,-5.69516176361116,1.23255003777296e-08,4.03865562376939e-05,9,66,16,55,15,65,10,112,TRUE,FALSE
"6","PGEN_.00g025020",48.3096140090622,-1.6678230332915,0.402680991963786,-4.14179727023591,3.44594870684169e-05,0.0338736757882538,17,73,13,46,27,127,40,64,TRUE,FALSE
"7","PGEN_.00g315040",26.1759581264633,2.03795961211083,0.487543736921067,4.18005495256886,2.91438659810095e-05,0.0338736757882538,72,15,21,7,53,7,32,12,FALSE,TRUE
"8","PGEN_.00g314840",33.1072381766847,1.89103356129762,0.407035089449941,4.64587356302161,3.38640373306959e-06,0.00475547838515344,76,20,23,12,60,13,64,12,FALSE,TRUE
"9","PGEN_.00g006280",76.8932325370816,-1.22482383135187,0.306574977764925,-3.99518525706636,6.46436846082821e-05,0.0488805707461087,41,79,34,140,64,109,49,117,TRUE,FALSE
"10","PGEN_.00g258390",27.0426893300759,-2.71200880764221,0.432160911680259,-6.27546067759302,3.48600577322778e-10,1.71337183754145e-06,8,29,9,59,5,52,7,55,TRUE,FALSE
"11","PGEN_.00g078470",8.97673553696273,2.64575190091117,0.661876816529286,3.99734789743025,6.40561244074374e-05,0.0488805707461087,24,4,15,2,10,2,14,2,FALSE,TRUE
"12","PGEN_.00g261200",157.690149461792,-2.38485625955447,0.506263047986596,-4.71070576657535,2.4686041767097e-06,0.00404439650950939,23,284,40,87,79,327,61,384,TRUE,FALSE
"13","PGEN_.00g213760",26.7360934350998,-2.76687034222717,0.437258680052216,-6.32776539026454,2.48736935394966e-10,1.71337183754145e-06,9,33,3,35,7,78,10,53,TRUE,FALSE
