"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG15","SG93","SG102","SG2","SG10","SG9","SG118","SG81","SG5","SG101","SG65","SG107","SG109","SG3","SG66","SG12","SG27","SG6","SG91","SG82","SG11","SG16","SG131","SG79","SG1","SG64","SG4","SG13","SG14","SG46","SG108","SG78","SG7","SG80","SG8","up","down"
"1","PGEN_.00g049360",50.9914069088335,5.00748301273862,1.454531487918,3.44267762804247,0.00057598546673728,0.0222491283716864,8,9,0,136,98,45,44,6,10,22,177,49,62,3,12,249,32,10,64,23,228,53,1,21,16,3,66,6,44,89,28,37,88,14,131,TRUE,FALSE
"2","PGEN_.00g295020",958.313808543144,-7.2712137839441,2.17941044027032,-3.33632144252839,0.000848949434202872,0.0289642939839133,40,318,124,52,35,170,54,726,451,260,68,15,241,3820,1189,32,5885,2087,54,135,143,46,589,109,282,51,27,6675,72,13,6,58,32,215,47,FALSE,TRUE
"3","PGEN_.00g163270",8.55005590959932,5.90306978042334,1.66781918998715,3.53939432755226,0.000401046297919107,0.0184014046935237,0,9,3,24,20,6,5,4,0,0,18,5,3,2,3,33,2,6,13,0,23,5,0,6,4,0,9,0,6,11,3,8,67,3,7,TRUE,FALSE
"4","PGEN_.00g321390",49.5258501408958,-1.18828535243714,0.339337756351536,-3.50177759531758,0.000462165237765443,0.0200831551229004,62,52,47,57,38,44,55,46,56,49,66,89,53,40,32,42,37,63,44,46,22,56,98,41,33,49,37,39,61,59,84,45,35,68,55,FALSE,TRUE
"5","PGEN_.00g247650",37.2862150057674,5.22390417806275,1.18837187040641,4.39584974043205,1.1034024584462e-05,0.00205084639030306,12,26,6,35,81,84,55,8,4,25,29,34,22,10,31,70,20,11,18,19,221,15,7,24,61,23,22,14,8,36,18,14,140,11,37,TRUE,FALSE
"6","PGEN_.00g110440",39.968464897317,-1.43439504740307,0.463419664343171,-3.09523992564302,0.00196653750760334,0.0489785831643689,48,28,38,36,35,29,45,32,63,37,48,51,38,38,34,29,38,63,49,44,22,54,42,35,19,57,53,45,48,41,49,23,38,46,20,FALSE,TRUE
"7","PGEN_.00g009930",240.723109220683,5.18124912079485,1.34624209665434,3.84867560869713,0.000118758147628101,0.00875085924504583,96,147,24,182,108,1372,230,49,42,160,185,504,106,50,209,209,163,51,132,88,739,137,3,112,678,118,187,126,108,208,142,88,1113,54,85,TRUE,FALSE
"8","PGEN_.00g064390",28.7585728784067,5.61091827980135,1.67523995711867,3.34932214096173,0.000810095478423619,0.0279449279579206,6,11,3,15,132,2,56,4,5,26,45,4,11,2,9,71,17,4,12,10,216,17,1,15,9,2,11,16,4,23,15,10,138,3,35,TRUE,FALSE
"9","PGEN_.00g313720",78.7726949415985,1.63157319467437,0.473319965615456,3.44708297388816,0.000566674514769612,0.0220131410510825,62,63,59,90,125,109,75,78,81,92,97,93,60,53,83,158,40,59,97,50,110,79,64,83,64,68,55,32,95,74,66,73,175,66,105,TRUE,FALSE
"10","PGEN_.00g336940",6.02718345334743,8.15383405004047,1.91101641296795,4.26675249605886,1.98338990507464e-05,0.00280779642943728,0,11,4,9,14,30,5,0,0,4,1,0,3,0,10,18,0,4,5,0,15,4,0,9,11,4,0,0,1,15,2,5,23,0,4,TRUE,FALSE
