"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG119","SG86","SG85","SG132","SG75","SG54","SG73","SG47","SG34","SG126","SG68","SG112","SG133","SG52","SG123","SG115","SG122","SG33","SG120","SG111","SG142","SG96","SG113","SG30","SG51","SG83","SG125","SG35","SG84","SG49","SG116","SG136","SG70","SG31","SG121","SG74","SG134","SG56","SG76","SG55","SG48","SG53","SG106","SG104","SG32","SG124","SG29","SG110","SG105","SG72","SG94","SG95","SG135","SG71","SG114","SG69","SG141","SG36","SG67","SG28","SG50","SG103","up","down"
"1","PGEN_.00g029510",136.177074851922,-3.87427000506861,1.10743364554897,-3.49842179767625,0.000468020318300798,0.0337845943598943,102,419,305,135,256,107,91,95,58,114,116,131,55,115,122,7,370,219,66,75,280,175,169,21,29,91,401,217,69,88,395,125,98,190,201,114,119,311,147,43,197,147,162,171,104,94,56,65,274,338,81,77,91,75,200,83,71,503,47,104,188,31,FALSE,TRUE
"2","PGEN_.00g295020",806.004672182949,-17.5908675726246,3.62027672701962,-4.85898424320346,1.17989522374002e-06,0.000818456382080688,2,211,123,2,317,2082,451,20,54,16609,69,37,218,35,406,2285,20,95,6,12,29,61,830,2003,640,140,48,61,25,98,38,9,28,75,5,113,1,98,15,2801,16,4208,14,1,29,4212,1511,322,41,195,38,635,10,32,2841,405,277,337,38,29,619,2242,FALSE,TRUE
"3","PGEN_.00g129730",4.92488668110475,8.76612857263837,2.36208500104346,3.71118252254509,0.000206293283796717,0.0206992791383757,3,5,7,5,4,2,4,4,3,2,7,2,47,4,0,6,0,5,6,6,0,1,0,4,0,2,2,4,4,13,2,0,0,4,5,0,7,0,2,6,5,2,0,4,2,7,17,2,7,3,4,41,2,3,3,2,3,4,2,5,1,9,TRUE,FALSE
"4","PGEN_.00g139900",13.0228706093073,-8.059277237833,2.33682741946056,-3.4488114829179,0.000563059650019847,0.0381161127775105,6,12,13,9,76,3,8,2,8,132,15,10,0,67,11,1,17,16,8,9,3,2,18,9,4,1,21,6,13,17,8,9,11,6,28,2,1,17,8,1,7,2,23,9,11,9,2,6,3,9,10,5,7,1,2,2,0,175,5,14,1,3,FALSE,TRUE
"5","PGEN_.00g281030",3.36558945692431,8.14164149032277,2.00481231713362,4.06104921679816,4.88526705419182e-05,0.00818493323363422,2,3,1,7,1,2,5,4,6,2,9,8,2,1,2,0,8,13,2,14,3,3,2,0,0,6,1,2,12,8,2,2,3,1,4,5,4,0,0,0,3,4,1,4,5,0,0,5,2,0,10,0,2,5,6,3,1,7,6,0,6,2,TRUE,FALSE
"6","PGEN_.00g009930",117.516466865289,7.92581296479693,2.06888469254346,3.83095925711212,0.000127644642857542,0.0152632053349818,82,216,389,149,85,54,78,56,9,44,136,65,1134,31,15,12,1,82,51,83,19,25,43,84,12,49,18,92,155,325,81,15,45,92,36,35,202,27,32,106,247,160,55,73,70,429,262,130,78,60,61,1077,47,40,13,45,51,115,34,79,14,286,TRUE,FALSE
"7","PGEN_.00g064390",13.1204058975372,6.96046643986545,1.91478038186859,3.63512521110797,0.000277845655916921,0.0239310187934033,18,34,54,29,13,5,2,15,8,0,32,9,1,3,1,0,1,8,2,15,12,12,14,2,2,10,4,20,54,103,8,7,7,14,11,8,43,9,6,6,70,4,16,13,7,0,7,2,33,13,18,40,14,10,6,10,2,9,4,10,7,2,TRUE,FALSE
"8","PGEN_.00g205860",36.8831017687015,5.5914530055713,1.61873484298821,3.45421180608518,0.000551903737049435,0.0378277051287772,60,91,23,81,48,67,12,39,66,11,76,98,32,4,18,8,11,13,21,66,6,28,27,18,4,39,7,29,175,52,19,50,15,56,14,31,47,41,20,21,88,10,30,41,79,19,22,10,11,47,18,8,82,81,19,34,11,43,60,51,12,26,TRUE,FALSE
"9","PGEN_.00g116940",55.331460749643,6.32058006760953,1.83099678187838,3.45198862726858,0.000556471180799074,0.0379490974604233,46,161,51,357,40,82,113,66,39,6,105,49,120,14,20,24,13,43,38,37,5,21,23,49,4,14,5,62,155,185,44,22,5,36,22,14,124,11,26,80,89,79,88,32,68,112,86,34,3,31,26,151,70,57,22,39,17,21,47,51,16,78,TRUE,FALSE
"10","PGEN_.00g306170",114.985304872161,5.44751842143688,1.3144663077089,4.14428151523475,3.40880778582576e-05,0.00700923188809717,162,215,315,213,111,90,121,130,36,52,244,139,99,54,44,16,24,77,78,138,40,40,81,38,15,72,47,122,258,613,133,36,58,157,116,38,316,78,80,143,465,62,186,118,127,95,113,50,110,128,142,286,131,71,103,79,38,97,56,151,35,183,TRUE,FALSE
