"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG25","SG60","SG90","SG128","SG89","SG40","SG43","SG44","SG77","SG19","SG57","SG20","SG62","SG41","SG21","SG129","SG61","SG45","SG58","SG26","SG22","SG140","SG63","SG100","SG17","SG138","SG59","SG42","SG139","SG99","SG130","SG24","SG18","SG127","SG23","SG39","up","down"
"1","PGEN_.00g295020",668.990181770159,-13.5773722515692,2.0163349847023,-6.73368877422606,1.6541480598798e-11,9.85624121479378e-08,140,1139,7360,30,139,17,51,1465,26,39,54,108,7833,58,48,32,69,1239,26,77,86,13,54,23,54,8,725,1328,296,0,1031,183,79,1,110,78,FALSE,TRUE
"2","PGEN_.00g186570",13.4850634593437,-4.06431839233995,0.975736448613829,-4.16538543590729,3.1082698133506e-05,0.00903445155260954,16,18,80,5,8,14,11,5,12,3,6,11,49,2,6,6,19,9,9,9,2,12,11,8,20,6,18,14,16,13,24,29,7,9,9,4,FALSE,TRUE
"3","PGEN_.00g156050",12.8148411375168,3.06523622207983,0.710688671929858,4.31305062701542,1.61017228286777e-05,0.00581467366513189,10,28,10,21,16,10,12,8,11,12,26,39,6,21,5,13,7,8,26,17,16,7,12,18,13,9,0,5,15,12,3,10,14,23,4,13,TRUE,FALSE
"4","PGEN_.00g206930",8.70485929701074,3.15574651156663,0.875291978877282,3.60536436723028,0.000311715262013214,0.0371471077741147,7,31,11,10,13,16,3,12,15,15,23,13,1,6,5,16,5,2,19,7,5,1,4,5,8,8,4,5,7,14,2,4,8,6,1,7,TRUE,FALSE
"5","PGEN_.00g205860",33.6786336021364,3.53687840342772,0.952832632624716,3.71196187276339,0.000205658971966358,0.0296757186939116,19,58,13,74,22,22,29,17,23,49,33,54,19,25,86,20,44,6,23,14,12,7,12,44,53,19,26,25,35,99,20,11,52,47,4,52,TRUE,FALSE
"6","PGEN_.00g288580",78.8862015528497,-12.8171941336744,2.34870896723667,-5.45712317382355,4.83910680660113e-08,5.24251234675142e-05,4,77,1429,0,14,3,13,29,4,4,4,3,1115,5,7,1,10,20,3,4,26,3,15,0,5,0,7,96,4,1,10,11,8,0,11,5,FALSE,TRUE
"7","PGEN_.00g093430",17.145964783097,-4.69238349566143,1.24083702664437,-3.78162755857728,0.000155806350006833,0.0266643362623681,13,24,12,7,4,8,17,45,6,7,0,32,43,6,0,0,45,37,0,7,14,3,52,11,14,8,20,34,22,5,14,40,24,5,55,10,FALSE,TRUE
"8","PGEN_.00g093840",9.91495633965601,3.84041425858096,1.06018283658621,3.62240749996208,0.000291873846176516,0.0362318815092244,13,23,9,15,35,29,2,8,21,7,11,10,1,6,7,26,2,0,24,6,2,1,4,5,8,11,7,5,6,6,2,13,10,9,2,10,TRUE,FALSE
"9","PGEN_.00g035820",21.9261949125501,3.02956742887579,0.859744861679252,3.52379823818713,0.000425408046965247,0.0478262990158947,38,34,54,35,45,32,25,22,15,53,63,30,4,12,5,38,12,15,38,16,16,6,7,9,7,32,15,4,15,28,9,4,31,16,2,16,TRUE,FALSE
"10","PGEN_.00g238060",60.7347441052691,2.71773843829607,0.776488156607981,3.50003849404255,0.00046519097642724,0.0499430708656164,80,166,62,62,98,95,37,51,123,76,91,140,13,58,40,88,64,38,117,75,40,16,24,23,71,36,26,13,39,144,19,20,82,47,10,45,TRUE,FALSE
"11","PGEN_.00g315910",41.3168681849654,-1.97410417647187,0.54303141248285,-3.63534066555352,0.000277613535984165,0.0351948990247159,35,48,24,33,41,25,82,72,56,35,22,20,52,45,24,26,61,72,12,37,20,31,49,24,80,46,29,72,66,52,52,69,15,25,65,38,FALSE,TRUE
"12","PGEN_.00g130390",69.8933930306914,-7.42794791617596,1.68847732846425,-4.39919908366908,1.08651119580675e-05,0.00462426925729611,11,103,44,12,49,6,45,708,13,6,15,43,838,20,39,9,75,25,14,4,9,5,22,11,23,18,43,52,36,21,138,9,11,7,17,14,FALSE,TRUE
"13","PGEN_.00g262400",5.83987253752879,4.47102375721353,1.17588167551378,3.80227351979101,0.000143374312641244,0.0261080400312403,11,11,4,3,17,7,0,6,7,6,9,17,2,3,7,7,3,2,5,3,8,0,2,3,8,8,4,3,3,14,0,2,10,0,0,8,TRUE,FALSE
"14","PGEN_.00g332980",5.91885625703079,4.29712444465146,1.012278338178,4.24500286392165,2.18590629150423e-05,0.00673698175784704,2,6,7,3,26,4,2,5,10,8,8,11,8,8,3,14,5,5,9,5,4,2,3,6,4,8,1,1,2,11,3,0,9,3,1,8,TRUE,FALSE
"15","PGEN_.00g044960",6.78074515170965,3.28233445305782,0.894780412637497,3.66831281362391,0.000244156350847925,0.0330637640119855,11,9,9,13,6,8,5,9,2,28,13,12,2,6,1,15,4,6,11,6,4,3,4,8,6,15,2,3,2,6,5,0,6,5,4,3,TRUE,FALSE
"16","PGEN_.00g333460",21.6696119230345,-6.82003797948188,1.05686184349769,-6.45310266563406,1.09583065981956e-10,4.35300465768988e-07,11,52,22,1,4,12,18,118,26,5,3,12,31,11,9,4,35,58,4,25,27,16,25,5,11,2,39,56,22,2,37,23,6,2,31,7,FALSE,TRUE
"17","PGEN_.00g211040",6.4257010812082,4.31113945646865,1.16403217807298,3.70362567090338,0.000212539815218026,0.0301528211661097,11,10,4,2,31,19,0,1,2,8,12,15,3,6,7,13,7,4,12,3,6,0,2,5,1,5,2,2,3,10,1,9,5,4,0,5,TRUE,FALSE
"18","PGEN_.00g086610",27.3434564821403,3.08527452940315,0.774713630635165,3.98247095107081,6.82024630432791e-05,0.0156301683093607,48,65,46,30,66,60,11,26,36,92,50,45,5,20,14,33,9,15,33,29,16,7,9,19,14,46,10,8,18,47,5,19,35,9,6,13,TRUE,FALSE
