"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Day_effect","Dir"
"1","GO:0048856",4.01479314432751e-06,0.999999998507349,2,41,"anatomical structure development","BP","Day0_Primary_AvM","Downregulated"
"2","GO:0005102",4.89845409831967e-05,0.999999934454839,2,142,"signaling receptor binding","MF","Day0_Primary_AvM","Downregulated"
"3","GO:0006282",0.00351455840729799,0.999995002286362,1,9,"regulation of DNA repair","BP","Day0_Primary_AvM","Upregulated"
"4","GO:0006261",0.00791570000139278,0.999972732164963,1,22,"DNA-dependent DNA replication","BP","Day0_Primary_AvM","Upregulated"
"5","GO:0019216",0.0128281052962912,0.999927188477664,1,32,"regulation of lipid metabolic process","BP","Day0_Primary_AvM","Upregulated"
"6","GO:0008015",0.0133802779374768,0.9999205507943,1,35,"blood circulation","BP","Day0_Primary_AvM","Upregulated"
"7","GO:0000184",0.014184298935943,0.999910482268935,1,38,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP","Day0_Primary_AvM","Upregulated"
"8","GO:0006310",0.0214905584750352,0.999791647513857,1,65,"DNA recombination","BP","Day0_Primary_AvM","Upregulated"
"9","GO:0002040",0.021539864549139,0.999791347548347,1,54,"sprouting angiogenesis","BP","Day0_Primary_AvM","Upregulated"
"10","GO:0003677",0.0311685838803987,0.99760168624675,2,827,"DNA binding","MF","Day0_Primary_AvM","Upregulated"
"11","GO:0004540",0.00344979799400531,0.999995184894832,1,9,"ribonuclease activity","MF","Day0_Primary_AvM","Upregulated"
"12","GO:0009378",0.00559315271341134,0.999986588221072,1,17,"four-way junction helicase activity","MF","Day0_Primary_AvM","Upregulated"
"13","GO:0008047",0.0102220107800931,0.999954025058987,1,28,"enzyme activator activity","MF","Day0_Primary_AvM","Upregulated"
"14","GO:0004386",0.0119548908431867,0.999936784602334,1,32,"helicase activity","MF","Day0_Primary_AvM","Upregulated"
"15","GO:0030374",0.0144918545520579,0.999906547356015,1,38,"nuclear receptor coactivator activity","MF","Day0_Primary_AvM","Upregulated"
"16","GO:0072675",0.00151839165279583,0.99997415885136,2,27,"osteoclast fusion","BP","Day7_Primary_AvM","Downregulated"
"17","GO:0032868",0.00174169637269555,0.999967706769948,2,37,"response to insulin","BP","Day7_Primary_AvM","Downregulated"
"18","GO:0061045",0.00192995177556855,0.999962675105026,2,30,"negative regulation of wound healing","BP","Day7_Primary_AvM","Downregulated"
"19","GO:0045616",0.00196895178597566,0.999961465157107,2,31,"regulation of keratinocyte differentiation","BP","Day7_Primary_AvM","Downregulated"
"20","GO:0002576",0.00401720454560529,0.999884886351129,2,47,"platelet degranulation","BP","Day7_Primary_AvM","Downregulated"
"21","GO:0001942",0.00412195883849827,0.999880315733571,2,47,"hair follicle development","BP","Day7_Primary_AvM","Downregulated"
"22","GO:0010839",0.00490905370036893,0.999843877882737,2,49,"negative regulation of keratinocyte proliferation","BP","Day7_Primary_AvM","Downregulated"
"23","GO:0030512",0.00569787991398525,0.999802852660718,2,65,"negative regulation of transforming growth factor beta receptor signaling pathway","BP","Day7_Primary_AvM","Downregulated"
"24","GO:0001933",0.00884282373403085,0.999615050026743,2,73,"negative regulation of protein phosphorylation","BP","Day7_Primary_AvM","Downregulated"
"25","GO:0003428",0.00244225779172992,1,1,1,"chondrocyte intercalation involved in growth plate cartilage morphogenesis","BP","Day7_Primary_AvM","Downregulated"
"26","GO:0006042",0.00247979998819348,1,1,1,"glucosamine biosynthetic process","BP","Day7_Primary_AvM","Downregulated"
"27","GO:0006047",0.00247979998819348,1,1,1,"UDP-N-acetylglucosamine metabolic process","BP","Day7_Primary_AvM","Downregulated"
"28","GO:0006083",0.00398146206621617,0.999996115348099,1,2,"acetate metabolic process","BP","Day7_Primary_AvM","Downregulated"
"29","GO:0019679",0.00398146206621617,0.999996115348099,1,2,"propionate metabolic process, methylcitrate cycle","BP","Day7_Primary_AvM","Downregulated"
"30","GO:0060536",0.00398986986240313,0.999996098907252,1,2,"cartilage morphogenesis","BP","Day7_Primary_AvM","Downregulated"
"31","GO:0045719",0.00495358384615475,0.999993983798252,1,2,"negative regulation of glycogen biosynthetic process","BP","Day7_Primary_AvM","Downregulated"
"32","GO:2000301",0.00606261895807801,0.999987981788935,1,3,"negative regulation of synaptic vesicle exocytosis","BP","Day7_Primary_AvM","Downregulated"
"33","GO:0060269",0.00637333234259975,0.999986716455737,1,3,"centripetally migrating follicle cell migration","BP","Day7_Primary_AvM","Downregulated"
"34","GO:0032486",0.00688760142995432,0.999982546355802,1,4,"Rap protein signal transduction","BP","Day7_Primary_AvM","Downregulated"
"35","GO:0032957",0.0071719249950655,0.999983172849201,1,3,"inositol trisphosphate metabolic process","BP","Day7_Primary_AvM","Downregulated"
"36","GO:0006824",0.00880406708275364,0.999969560573303,1,5,"cobalt ion transport","BP","Day7_Primary_AvM","Downregulated"
"37","GO:0006002",0.00938991459375308,0.999967525779369,1,4,"fructose 6-phosphate metabolic process","BP","Day7_Primary_AvM","Downregulated"
"38","GO:0006048",0.0103284882779756,0.999956339035625,1,6,"UDP-N-acetylglucosamine biosynthetic process","BP","Day7_Primary_AvM","Downregulated"
"39","GO:0045109",0.0115346888495976,0.999942804854442,1,8,"intermediate filament organization","BP","Day7_Primary_AvM","Downregulated"
"40","GO:0006030",0.0124008939816292,0.999931987758789,1,10,"chitin metabolic process","BP","Day7_Primary_AvM","Downregulated"
"41","GO:0009744",0.0133819229025603,0.999922963861803,1,8,"response to sucrose","BP","Day7_Primary_AvM","Downregulated"
"42","GO:2000312",0.0139514053184389,0.999914925456776,1,9,"regulation of kainate selective glutamate receptor activity","BP","Day7_Primary_AvM","Downregulated"
"43","GO:0032525",0.0140266723225815,0.999917061245979,1,7,"somite rostral/caudal axis specification","BP","Day7_Primary_AvM","Downregulated"
"44","GO:0008156",0.0144779759144968,0.999911622653992,1,7,"negative regulation of DNA replication","BP","Day7_Primary_AvM","Downregulated"
"45","GO:0097178",0.0153745009016979,0.999896628209876,1,9,"ruffle assembly","BP","Day7_Primary_AvM","Downregulated"
"46","GO:0010642",0.0178649888575851,0.99985713508875,1,11,"negative regulation of platelet-derived growth factor receptor signaling pathway","BP","Day7_Primary_AvM","Downregulated"
"47","GO:0044255",0.0188339606925377,0.999842738480272,1,10,"cellular lipid metabolic process","BP","Day7_Primary_AvM","Downregulated"
"48","GO:0001958",0.0204117873848176,0.999813319666532,1,11,"endochondral ossification","BP","Day7_Primary_AvM","Downregulated"
"49","GO:0043569",0.0207111224430242,0.999807782572619,1,11,"negative regulation of insulin-like growth factor receptor signaling pathway","BP","Day7_Primary_AvM","Downregulated"
"50","GO:0033627",0.0224285822533454,0.999776675654139,1,10,"cell adhesion mediated by integrin","BP","Day7_Primary_AvM","Downregulated"
"51","GO:0006541",0.0225194835151798,0.999770714191509,1,12,"glutamine metabolic process","BP","Day7_Primary_AvM","Downregulated"
"52","GO:0046856",0.0233213529938948,0.999758460873748,1,10,"phosphatidylinositol dephosphorylation","BP","Day7_Primary_AvM","Downregulated"
"53","GO:0015889",0.0243730200514775,0.999729364990292,1,13,"cobalamin transport","BP","Day7_Primary_AvM","Downregulated"
"54","GO:0060026",0.0278335883294876,0.999642709802635,1,15,"convergent extension","BP","Day7_Primary_AvM","Downregulated"
"55","GO:0030031",0.030641350304737,0.999558875865155,1,20,"cell projection assembly","BP","Day7_Primary_AvM","Downregulated"
"56","GO:0002376",0.0321450649323185,0.99951871507561,1,17,"immune system process","BP","Day7_Primary_AvM","Downregulated"
"57","GO:0046627",0.0342038068834521,0.99944825989897,1,21,"negative regulation of insulin receptor signaling pathway","BP","Day7_Primary_AvM","Downregulated"
"58","GO:0030866",0.036884801520929,0.999361086189597,1,19,"cortical actin cytoskeleton organization","BP","Day7_Primary_AvM","Downregulated"
"59","GO:0022416",0.0458349344375167,0.998990284616035,1,30,"chaeta development","BP","Day7_Primary_AvM","Downregulated"
"60","GO:0050807",0.0474728525733175,0.99892184402509,1,26,"regulation of synapse organization","BP","Day7_Primary_AvM","Downregulated"
