"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","anatomical structure development","GO:0048856",18,"GO:0001843","GO:0001843;GO:0003139;GO:0003148;GO:0003223;GO:0003281;GO:0007507;GO:0008584;GO:0030900;GO:0031100;GO:0035904;GO:0050769;GO:0060068;GO:0060976;GO:0060982;GO:0061156;GO:0061642;GO:0070447;GO:0140058",5,"PGEN_.00g054330;PGEN_.00g200990;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380","Day14_Down"
"2","anatomical structure formation invo...","GO:0048646",2,"GO:0001843","GO:0001843;GO:0003139",3,"PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380","Day14_Down"
"3","embryo development","GO:0009790",1,"GO:0001843","GO:0001843",3,"PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380","Day14_Down"
"4","transport","GO:0006810",13,"GO:0002576","GO:0002576;GO:0006814;GO:0006898;GO:0016197;GO:0020028;GO:0030001;GO:0035725;GO:0045056;GO:0045807;GO:0046879;GO:0061178;GO:0140077;GO:1904447",11,"PGEN_.00g031270;PGEN_.00g047650;PGEN_.00g092270;PGEN_.00g114310;PGEN_.00g194540;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g291220;PGEN_.00g299380;PGEN_.00g328490;PGEN_.00g336000","Day14_Down"
"5","vesicle-mediated transport","GO:0016192",6,"GO:0002576","GO:0002576;GO:0006898;GO:0016197;GO:0020028;GO:0045056;GO:0045807",6,"PGEN_.00g092270;PGEN_.00g114310;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g291220;PGEN_.00g299380","Day14_Down"
"6","small molecule metabolic process","GO:0044281",1,"GO:0006766","GO:0006766",2,"PGEN_.00g229320;PGEN_.00g229340","Day14_Down"
"7","nervous system process","GO:0050877",1,"GO:0007605","GO:0007605",5,"PGEN_.00g042540;PGEN_.00g163390;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380","Day14_Down"
"8","signal transduction","GO:0007165",4,"GO:0008543","GO:0008543;GO:0030514;GO:0051897;GO:0060070",6,"PGEN_.00g050460;PGEN_.00g054330;PGEN_.00g195980;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380","Day14_Down"
"9","reproduction","GO:0000003",2,"GO:0008584","GO:0008584;GO:0060068",3,"PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380","Day14_Down"
"10","cellular protein modification proce...","GO:0006464",2,"GO:0018108","GO:0018108;GO:0045860",3,"PGEN_.00g195980;PGEN_.00g230470;PGEN_.00g294440","Day14_Down"
"11","homeostatic process","GO:0042592",2,"GO:0020028","GO:0020028;GO:0061178",4,"PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380;PGEN_.00g328490","Day14_Down"
"12","protein transport","GO:0015031",3,"GO:0020028","GO:0020028;GO:0061178;GO:0140077",4,"PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380;PGEN_.00g328490","Day14_Down"
"13","transmembrane transport","GO:0055085",2,"GO:0035725","GO:0035725;GO:1904447",5,"PGEN_.00g031270;PGEN_.00g047650;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380","Day14_Down"
"14","biosynthetic process","GO:0009058",3,"GO:0042421","GO:0042421;GO:0042438;GO:0045944",11,"PGEN_.00g017110;PGEN_.00g027450;PGEN_.00g045080;PGEN_.00g047760;PGEN_.00g054330;PGEN_.00g168590;PGEN_.00g169010;PGEN_.00g279740;PGEN_.00g299380;PGEN_.00g316240;PGEN_.00g321390","Day14_Down"
"15","secondary metabolic process","GO:0019748",1,"GO:0042438","GO:0042438",3,"PGEN_.00g045080;PGEN_.00g168590;PGEN_.00g169010","Day14_Down"
"16","cellular nitrogen compound metaboli...","GO:0034641",1,"GO:0045944","GO:0045944",7,"PGEN_.00g017110;PGEN_.00g027450;PGEN_.00g047760;PGEN_.00g054330;PGEN_.00g299380;PGEN_.00g316240;PGEN_.00g321390","Day14_Down"
"17","cell-cell signaling","GO:0007267",3,"GO:0046879","GO:0046879;GO:0060070;GO:0061178",5,"PGEN_.00g054330;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380;PGEN_.00g328490","Day14_Down"
"18","cell differentiation","GO:0030154",4,"GO:0050769","GO:0050769;GO:0061642;GO:0070447;GO:0140058",3,"PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380","Day14_Down"
"19","cellular component assembly","GO:0022607",1,"GO:0051262","GO:0051262",2,"PGEN_.00g042540;PGEN_.00g110440","Day14_Down"
"20","protein-containing complex assembly","GO:0065003",1,"GO:0051262","GO:0051262",2,"PGEN_.00g042540;PGEN_.00g110440","Day14_Down"
"21","cell morphogenesis","GO:0000902",2,"GO:0061642","GO:0061642;GO:0140058",3,"PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380","Day14_Down"
"22","locomotion","GO:0040011",1,"GO:0061642","GO:0061642",2,"PGEN_.00g229320;PGEN_.00g229340","Day14_Down"
"23","cell population proliferation","GO:0008283",1,"GO:0070447","GO:0070447",3,"PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380","Day14_Down"
"24","response to stress","GO:0006950",1,"GO:0071456","GO:0071456",2,"PGEN_.00g017110;PGEN_.00g047650","Day14_Down"
