"","GO_terms","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","dir","Day","slim_term","Gene_IDs"
"1","GO:0001843",0.00466067775562396,0.999641472719708,3,57,"neural tube closure","BP","Down","Day14","anatomical structure development","PGEN_.00g054330;PGEN_.00g200990;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380"
"2","GO:0001843",0.00466067775562396,0.999641472719708,3,57,"neural tube closure","BP","Down","Day14","anatomical structure formation invo...","PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380"
"3","GO:0001843",0.00466067775562396,0.999641472719708,3,57,"neural tube closure","BP","Down","Day14","embryo development","PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380"
"4","GO:0002576",0.0364587150174994,0.996620106303468,2,47,"platelet degranulation","BP","Down","Day14","transport","PGEN_.00g031270;PGEN_.00g047650;PGEN_.00g092270;PGEN_.00g114310;PGEN_.00g194540;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g291220;PGEN_.00g299380;PGEN_.00g328490;PGEN_.00g336000"
"5","GO:0002576",0.0364587150174994,0.996620106303468,2,47,"platelet degranulation","BP","Down","Day14","vesicle-mediated transport","PGEN_.00g092270;PGEN_.00g114310;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g291220;PGEN_.00g299380"
"6","GO:0003139",2.82439392246655e-05,0.999999706546334,3,9,"secondary heart field specification","BP","Down","Day14","anatomical structure development","PGEN_.00g054330;PGEN_.00g200990;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380"
"7","GO:0003139",2.82439392246655e-05,0.999999706546334,3,9,"secondary heart field specification","BP","Down","Day14","anatomical structure formation invo...","PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380"
"8","GO:0003148",0.000200242413223521,0.999995176849791,3,21,"outflow tract septum morphogenesis","BP","Down","Day14","anatomical structure development","PGEN_.00g054330;PGEN_.00g200990;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380"
"9","GO:0003223",3.29133946738114e-05,0.999999627071793,3,10,"ventricular compact myocardium morphogenesis","BP","Down","Day14","anatomical structure development","PGEN_.00g054330;PGEN_.00g200990;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380"
"10","GO:0003281",0.0154497679385037,0.999116793946326,2,26,"ventricular septum development","BP","Down","Day14","anatomical structure development","PGEN_.00g054330;PGEN_.00g200990;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380"
"11","GO:0006766",0.000776322065584669,0.999991836350825,2,8,"vitamin metabolic process","BP","Down","Day14","small molecule metabolic process","PGEN_.00g229320;PGEN_.00g229340"
"12","GO:0006814",9.2531943350851e-05,0.999993690774807,5,99,"sodium ion transport","BP","Down","Day14","transport","PGEN_.00g031270;PGEN_.00g047650;PGEN_.00g092270;PGEN_.00g114310;PGEN_.00g194540;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g291220;PGEN_.00g299380;PGEN_.00g328490;PGEN_.00g336000"
"13","GO:0006898",0.00305057297033631,0.999666514546723,4,94,"receptor-mediated endocytosis","BP","Down","Day14","vesicle-mediated transport","PGEN_.00g092270;PGEN_.00g114310;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g291220;PGEN_.00g299380"
"14","GO:0006898",0.00305057297033631,0.999666514546723,4,94,"receptor-mediated endocytosis","BP","Down","Day14","transport","PGEN_.00g031270;PGEN_.00g047650;PGEN_.00g092270;PGEN_.00g114310;PGEN_.00g194540;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g291220;PGEN_.00g299380;PGEN_.00g328490;PGEN_.00g336000"
"15","GO:0007507",0.0119826964726821,0.998052004604858,4,141,"heart development","BP","Down","Day14","anatomical structure development","PGEN_.00g054330;PGEN_.00g200990;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380"
"16","GO:0007605",0.000294335627035528,0.999974235482319,5,99,"sensory perception of sound","BP","Down","Day14","nervous system process","PGEN_.00g042540;PGEN_.00g163390;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380"
"17","GO:0008543",0.0381545837689692,0.996397925118512,2,39,"fibroblast growth factor receptor signaling pathway","BP","Down","Day14","signal transduction","PGEN_.00g050460;PGEN_.00g054330;PGEN_.00g195980;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380"
"18","GO:0008584",0.000513613039043876,0.999982301807796,3,31,"male gonad development","BP","Down","Day14","reproduction","PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380"
"19","GO:0008584",0.000513613039043876,0.999982301807796,3,31,"male gonad development","BP","Down","Day14","anatomical structure development","PGEN_.00g054330;PGEN_.00g200990;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g299380"
