"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","carbohydrate metabolic process","GO:0005975",1,"GO:0000272","GO:0000272",2,"PGEN_.00g057130;PGEN_.00g169480","Day21_Up"
"2","catabolic process","GO:0009056",2,"GO:0000272","GO:0000272;GO:0006032",2,"PGEN_.00g057130;PGEN_.00g169480","Day21_Up"
"3","response to stress","GO:0006950",6,"GO:0002542","GO:0002542;GO:0007597;GO:0042730;GO:0048678;GO:0050830;GO:0051919",7,"PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g199810;PGEN_.00g205860;PGEN_.00g276360;PGEN_.00g279590","Day21_Up"
"4","protein maturation","GO:0051604",3,"GO:0002542","GO:0002542;GO:0031638;GO:0031639",3,"PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190","Day21_Up"
"5","biosynthetic process","GO:0009058",1,"GO:0006703","GO:0006703",2,"PGEN_.00g002290;PGEN_.00g282850","Day21_Up"
"6","lipid metabolic process","GO:0006629",1,"GO:0006703","GO:0006703",2,"PGEN_.00g002290;PGEN_.00g282850","Day21_Up"
"7","immune system process","GO:0002376",3,"GO:0006955","GO:0006955;GO:0043312;GO:0061844",5,"PGEN_.00g096560;PGEN_.00g169480;PGEN_.00g205860;PGEN_.00g276360;PGEN_.00g348850","Day21_Up"
"8","signal transduction","GO:0007165",1,"GO:0010642","GO:0010642",2,"PGEN_.00g279590;PGEN_.00g348850","Day21_Up"
"9","transport","GO:0006810",4,"GO:0010765","GO:0010765;GO:0043312;GO:0070633;GO:1902307",4,"PGEN_.00g169480;PGEN_.00g348220;PGEN_.00g348570;PGEN_.00g348850","Day21_Up"
"10","extracellular matrix organization","GO:0030198",1,"GO:0022617","GO:0022617",2,"PGEN_.00g033640;PGEN_.00g057190","Day21_Up"
"11","vesicle-mediated transport","GO:0016192",1,"GO:0043312","GO:0043312",2,"PGEN_.00g169480;PGEN_.00g348850","Day21_Up"
"12","cell differentiation","GO:0030154",1,"GO:0045599","GO:0045599",2,"PGEN_.00g152150;PGEN_.00g156260","Day21_Up"
"13","transmembrane transport","GO:0055085",1,"GO:1902307","GO:1902307",2,"PGEN_.00g348220;PGEN_.00g348570","Day21_Up"
