"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0072675",0.0018078077720527,0.999968956225566,2,12,"osteoclast fusion","BP"
"GO:0061045",0.00247580220400282,0.999949015585937,2,14,"negative regulation of wound healing","BP"
"GO:0032868",0.0028438125596046,0.999936614595451,2,15,"response to insulin","BP"
"GO:0045616",0.00284597200926254,0.999936541845943,2,15,"regulation of keratinocyte differentiation","BP"
"GO:0010839",0.00366208999268786,0.999905834714198,2,17,"negative regulation of keratinocyte proliferation","BP"
"GO:0002576",0.00506279273118466,0.999843964597723,2,20,"platelet degranulation","BP"
"GO:0006042",0.00538070098077952,1,1,1,"glucosamine biosynthetic process","BP"
"GO:0006047",0.00538070098077952,1,1,1,"UDP-N-acetylglucosamine metabolic process","BP"
"GO:0003428",0.00538090757337288,1,1,1,"chondrocyte intercalation involved in growth plate cartilage morphogenesis","BP"
"GO:0060536",0.00538090757337288,1,1,1,"cartilage morphogenesis","BP"
"GO:2000301",0.00538090757337288,1,1,1,"negative regulation of synaptic vesicle exocytosis","BP"
"GO:0006824",0.00538451882937941,1,1,1,"cobalt ion transport","BP"
"GO:0001942",0.00557602679102339,0.999818673613073,2,21,"hair follicle development","BP"
"GO:0030512",0.00785731445315623,0.999691144310764,2,25,"negative regulation of transforming growth factor beta receptor signaling pathway","BP"
"GO:0045719",0.0107329405365622,0.999971674851597,1,2,"negative regulation of glycogen biosynthetic process","BP"
"GO:0009744",0.0107368292170814,0.999971654265985,1,2,"response to sucrose","BP"
"GO:2000312",0.0107371811029954,0.999971652402826,1,2,"regulation of kainate selective glutamate receptor activity","BP"
"GO:0006083",0.0107406935651842,0.999971633801734,1,2,"acetate metabolic process","BP"
"GO:0019679",0.0107406935651842,0.999971633801734,1,2,"propionate metabolic process, methylcitrate cycle","BP"
"GO:0001933",0.011930861082016,0.999409987486652,2,31,"negative regulation of protein phosphorylation","BP"
"GO:0006048",0.0160478739657324,0.99991541350105,1,3,"UDP-N-acetylglucosamine biosynthetic process","BP"
"GO:0060269",0.0160545590145375,0.99991534275409,1,3,"centripetally migrating follicle cell migration","BP"
"GO:0032957",0.0160615388376594,0.999915268855782,1,3,"inositol trisphosphate metabolic process","BP"
"GO:0032486",0.0160620869750722,0.999915263051046,1,3,"Rap protein signal transduction","BP"
"GO:0045109",0.0160628534429474,0.999915254933871,1,3,"intermediate filament organization","BP"
"GO:0006002",0.016063338972655,0.999915249791731,1,3,"fructose 6-phosphate metabolic process","BP"
"GO:0015889",0.0160654383051094,0.999915227556348,1,3,"cobalamin transport","BP"
"GO:0006030",0.02134777491034,0.999831298990898,1,4,"chitin metabolic process","BP"
"GO:0006541",0.0213527702745139,0.999831219665333,1,4,"glutamine metabolic process","BP"
"GO:0043569",0.0213534718495976,0.999831208522928,1,4,"negative regulation of insulin-like growth factor receptor signaling pathway","BP"
"GO:0008156",0.0213574119837009,0.999831145938885,1,4,"negative regulation of DNA replication","BP"
"GO:0044255",0.0213619596364035,0.999831073690622,1,4,"cellular lipid metabolic process","BP"
"GO:0032525",0.026617471154238,0.99971973633066,1,5,"somite rostral/caudal axis specification","BP"
"GO:0010642",0.026624860147944,0.999719579843967,1,5,"negative regulation of platelet-derived growth factor receptor signaling pathway","BP"
"GO:0001958",0.0266319760060776,0.999719429100093,1,5,"endochondral ossification","BP"
"GO:0033627",0.0318627224357036,0.999580898685469,1,6,"cell adhesion mediated by integrin","BP"
"GO:0060026",0.0318667133543258,0.999580793011105,1,6,"convergent extension","BP"
"GO:0097178",0.0370790377056676,0.999415163711202,1,7,"ruffle assembly","BP"
"GO:0046627",0.0474202381835699,0.99900442741797,1,9,"negative regulation of insulin receptor signaling pathway","BP"
"GO:0046856",0.0474335012786179,0.999003865261899,1,9,"phosphatidylinositol dephosphorylation","BP"
"GO:0031092",0.00180800796863676,0.9999689510376,2,12,"platelet alpha granule membrane","CC"
"GO:0030057",0.00538296243730078,1,1,1,"desmosome","CC"
"GO:0031225",0.015062399849765,0.999153538458256,2,35,"anchored component of membrane","CC"
"GO:0031209",0.0213635993870786,0.999831047636185,1,4,"SCAR complex","CC"
"GO:0005576",0.0400345502886144,0.988970130205438,5,353,"extracellular region","CC"
"GO:0050431",0.00284614658860753,0.999936535963312,2,15,"transforming growth factor beta binding","MF"
"GO:0004727",0.00537976540941736,1,1,1,"prenylated protein tyrosine phosphatase activity","MF"
"GO:0004360",0.00538070098077952,1,1,1,"glutamine-fructose-6-phosphate transaminase (isomerizing) activity","MF"
"GO:0097367",0.00538070098077952,1,1,1,"carbohydrate derivative binding","MF"
"GO:0030368",0.00538389716288703,1,1,1,"interleukin-17 receptor activity","MF"
"GO:0008775",0.0107406935651842,0.999971633801734,1,2,"acetate CoA-transferase activity","MF"
"GO:0004867",0.0150678193339629,0.9991530737815,2,35,"serine-type endopeptidase inhibitor activity","MF"
