"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0043434",0.000145962917792895,0.999997033459283,3,15,"response to peptide hormone","BP"
"GO:0051385",0.000146687814625739,0.999999664069946,2,3,"response to mineralocorticoid","BP"
"GO:1902307",0.00025953043397663,0.999998880538034,2,4,"positive regulation of sodium ion transmembrane transport","BP"
"GO:0071638",0.00112306371529728,0.9999864435319,2,7,"negative regulation of monocyte chemotactic protein-1 production","BP"
"GO:0042493",0.0013733756567402,0.999882651316791,4,69,"response to drug","BP"
"GO:0070633",0.00167381139723129,0.999973557881219,2,9,"transepithelial transport","BP"
"GO:0048678",0.00440932183873177,0.999876915040923,2,14,"response to axon injury","BP"
"GO:0010765",0.00458575151494556,0.999869381545735,2,14,"positive regulation of sodium ion transport","BP"
"GO:1901998",0.00529656741495357,0.999836164541562,2,15,"toxin transport","BP"
"GO:0035811",0.00619242035158629,1,1,1,"negative regulation of urine volume","BP"
"GO:0036359",0.00619242035158629,1,1,1,"renal potassium excretion","BP"
"GO:1904659",0.00619242035158629,1,1,1,"glucose transmembrane transport","BP"
"GO:0010157",0.00744299996847033,1,1,1,"response to chlorate","BP"
"GO:0051592",0.0077098877637906,0.999704931357066,2,18,"response to calcium ion","BP"
"GO:0014012",0.00785217643451923,1,1,1,"peripheral nervous system axon regeneration","BP"
"GO:0060588",0.00785217643451923,1,1,1,"negative regulation of lipoprotein lipid oxidation","BP"
"GO:2000098",0.00785217643451923,1,1,1,"negative regulation of smooth muscle cell-matrix adhesion","BP"
"GO:0010640",0.00787466982657178,1,1,1,"regulation of platelet-derived growth factor receptor signaling pathway","BP"
"GO:0010944",0.00787466982657178,1,1,1,"negative regulation of transcription by competitive promoter binding","BP"
"GO:0051045",0.00787466982657178,1,1,1,"negative regulation of membrane protein ectodomain proteolysis","BP"
"GO:0050848",0.00787466982657178,1,1,1,"regulation of calcium-mediated signaling","BP"
"GO:0050714",0.0112681176714102,0.999465853518673,2,22,"positive regulation of protein secretion","BP"
"GO:0090240",0.0131269860513236,0.999957335357747,1,2,"positive regulation of histone H4 acetylation","BP"
"GO:0016071",0.01445539846374,0.999948228065371,1,2,"mRNA metabolic process","BP"
"GO:2000010",0.0144900097771222,0.999947978923212,1,2,"positive regulation of protein localization to cell surface","BP"
"GO:0006728",0.0148287321078024,0.999945508897552,1,2,"pteridine biosynthetic process","BP"
"GO:0043278",0.0152599964925158,0.999942280484807,1,2,"response to morphine","BP"
"GO:0009056",0.015554613642684,0.99994002116368,1,2,"catabolic process","BP"
"GO:0033629",0.0155978656856618,0.999939685797651,1,2,"negative regulation of cell adhesion mediated by integrin","BP"
"GO:2000405",0.0156660020063837,0.999939155572999,1,2,"negative regulation of T cell migration","BP"
"GO:2000312",0.0156751163175453,0.999939084469686,1,2,"regulation of kainate selective glutamate receptor activity","BP"
"GO:0014810",0.0156883210831351,0.999938981381334,1,2,"positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion","BP"
"GO:0036003",0.0182624755782992,0.999889721438144,1,3,"positive regulation of transcription from RNA polymerase II promoter in response to stress","BP"
"GO:0000302",0.0198703136195929,0.999869352523114,1,3,"response to reactive oxygen species","BP"
"GO:0043618",0.0199079342996102,0.999868855081386,1,3,"regulation of transcription from RNA polymerase II promoter in response to stress","BP"
"GO:0016266",0.0206172047172619,0.999859298143096,1,3,"O-glycan processing","BP"
"GO:2001222",0.020717768345206,0.999857915653924,1,3,"regulation of neuron migration","BP"
"GO:1902166",0.0215179133449305,0.999846672526839,1,3,"negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","BP"
"GO:0060742",0.0221238420519854,0.999837870692593,1,3,"epithelial cell differentiation involved in prostate gland development","BP"
"GO:0006726",0.0225839262697578,0.999831021655003,1,3,"eye pigment biosynthetic process","BP"
"GO:0010035",0.022850047413882,0.999826994686981,1,3,"response to inorganic substance","BP"
"GO:0042178",0.0229562065065526,0.999825374907534,1,3,"xenobiotic catabolic process","BP"
"GO:1901687",0.0229562065065526,0.999825374907534,1,3,"glutathione derivative biosynthetic process","BP"
"GO:0060315",0.0232671749350185,0.999820586240276,1,3,"negative regulation of ryanodine-sensitive calcium-release channel activity","BP"
"GO:0060316",0.0232671749350185,0.999820586240276,1,3,"positive regulation of ryanodine-sensitive calcium-release channel activity","BP"
"GO:0042246",0.0233782018715517,0.999818860653091,1,3,"tissue regeneration","BP"
"GO:0030858",0.0281045733509551,0.99970508781498,1,4,"positive regulation of epithelial cell differentiation","BP"
"GO:0043056",0.0299942527707955,0.999663821730725,1,4,"forward locomotion","BP"
"GO:0055002",0.0299942527707955,0.999663821730725,1,4,"striated muscle cell development","BP"
"GO:0060419",0.0299942527707955,0.999663821730725,1,4,"heart growth","BP"
"GO:1901897",0.0299942527707955,0.999663821730725,1,4,"regulation of relaxation of cardiac muscle","BP"
"GO:0060384",0.030012222335576,0.999663416184313,1,4,"innervation","BP"
"GO:0009308",0.0300465104670162,0.999662641664958,1,4,"amine metabolic process","BP"
"GO:0006978",0.0339007859681668,0.999541410988879,1,5,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator","BP"
"GO:1900016",0.0342214194979506,0.999532632895451,1,5,"negative regulation of cytokine production involved in inflammatory response","BP"
"GO:0048681",0.0351860417362191,0.999505714947142,1,5,"negative regulation of axon regeneration","BP"
"GO:0042308",0.0359254921822707,0.999484562525133,1,5,"negative regulation of protein import into nucleus","BP"
"GO:0010642",0.0363324213783673,0.999472730157485,1,5,"negative regulation of platelet-derived growth factor receptor signaling pathway","BP"
"GO:0060736",0.0365630772459581,0.999465962791005,1,5,"prostate gland growth","BP"
"GO:0030240",0.0365728935178804,0.999465673812901,1,5,"skeletal muscle thin filament assembly","BP"
"GO:0048769",0.0365728935178804,0.999465673812901,1,5,"sarcomerogenesis","BP"
"GO:0016486",0.0370092389065845,0.999452748197681,1,5,"peptide hormone processing","BP"
"GO:0006954",0.0370462546793564,0.996581624865475,2,43,"inflammatory response","BP"
"GO:0070165",0.038118316807665,0.999419188204446,1,5,"positive regulation of adiponectin secretion","BP"
"GO:0043043",0.0381772985746126,0.999417375040574,1,5,"peptide biosynthetic process","BP"
"GO:0001833",0.0383124385701828,0.99941320986455,1,5,"inner cell mass cell proliferation","BP"
"GO:0010880",0.0384242301532921,0.999409752922059,1,5,"regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","BP"
"GO:0044245",0.0391478538668795,0.999361877376743,1,6,"polysaccharide digestion","BP"
"GO:0055114",0.0412955416357487,0.99595195260418,2,45,"oxidation-reduction process","BP"
"GO:0035722",0.0414373249038794,0.999284390713471,1,6,"interleukin-12-mediated signaling pathway","BP"
"GO:0048662",0.0431638277896993,0.999222969989531,1,6,"negative regulation of smooth muscle cell proliferation","BP"
"GO:0051923",0.0439563168128269,0.99919391513948,1,6,"sulfation","BP"
"GO:0070206",0.0440592059711675,0.999190103119726,1,6,"protein trimerization","BP"
"GO:0019852",0.0440981423443594,0.999188658148342,1,6,"L-ascorbic acid metabolic process","BP"
"GO:0003300",0.0441587062815861,0.999186407948646,1,6,"cardiac muscle hypertrophy","BP"
"GO:0030241",0.0441641050432092,0.999186207208421,1,6,"skeletal muscle myosin thick filament assembly","BP"
"GO:0048739",0.0441641050432092,0.999186207208421,1,6,"cardiac muscle fiber development","BP"
"GO:0071688",0.0441641050432092,0.999186207208421,1,6,"striated muscle myosin thick filament assembly","BP"
"GO:0009617",0.0447145850130046,0.99541921893323,2,46,"response to bacterium","BP"
"GO:0007512",0.0451001486595795,0.9991510214022,1,6,"adult heart development","BP"
"GO:0032781",0.045429177819158,0.999138473054468,1,6,"positive regulation of ATPase activity","BP"
"GO:0006977",0.0455170745173412,0.999110726926485,1,7,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","BP"
"GO:0010881",0.0460010875284465,0.999116438658804,1,6,"regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion","BP"
"GO:0055008",0.0494899153733504,0.99894704299174,1,7,"cardiac muscle tissue morphogenesis","BP"
"GO:0021983",0.0498636471603173,0.998930919565455,1,7,"pituitary gland development","BP"
"GO:0005615",1.50397561872652e-08,0.999999998402031,14,291,"extracellular space","CC"
"GO:0031012",0.00049166549848148,0.999953022893126,5,89,"extracellular matrix","CC"
"GO:0017090",0.000600935820681144,0.999995400860768,2,5,"meprin A complex","CC"
"GO:0046658",0.00101878941329602,0.999988295585177,2,7,"anchored component of plasma membrane","CC"
"GO:0005576",0.00102689817100859,0.999773161220342,9,353,"extracellular region","CC"
"GO:0019897",0.00110708918108369,0.999986733196805,2,7,"extrinsic component of plasma membrane","CC"
"GO:0062023",0.0217404807061448,0.997070013376472,3,81,"collagen-containing extracellular matrix","CC"
"GO:0022626",0.0233665961817236,0.999819041420076,1,3,"cytosolic ribosome","CC"
"GO:0005859",0.0299942527707955,0.999663821730725,1,4,"muscle myosin complex","CC"
"GO:1904724",0.031517447703272,0.999604017908521,1,5,"tertiary granule lumen","CC"
"GO:0005865",0.0365728935178804,0.999465673812901,1,5,"striated muscle thin filament","CC"
"GO:0031674",0.0365728935178804,0.999465673812901,1,5,"I band","CC"
"GO:0005581",0.0392320201313543,0.996265597418404,2,43,"collagen trimer","CC"
"GO:0097708",0.0396739904010558,0.999344469580601,1,6,"intracellular vesicle","CC"
"GO:0043083",0.0460407795175596,0.999114898896128,1,6,"synaptic cleft","CC"
"GO:0004252",8.92313866203407e-05,0.999996465157185,4,33,"serine-type endopeptidase activity","MF"
"GO:0045174",0.000342841276230403,0.999998298155114,2,4,"glutathione dehydrogenase (ascorbate) activity","MF"
"GO:0017080",0.000696171181800424,0.999993754938136,2,6,"sodium channel regulator activity","MF"
"GO:0005044",0.0012765603302451,0.999940708581957,3,30,"scavenger receptor activity","MF"
"GO:0004364",0.00231706058680027,0.999955851548897,2,10,"glutathione transferase activity","MF"
"GO:0004222",0.00481294921398862,0.999633534462875,3,47,"metalloendopeptidase activity","MF"
"GO:0004032",0.00706403585552411,1,1,1,"alditol:NADP+ 1-oxidoreductase activity","MF"
"GO:0031409",0.00733477205206167,1,1,1,"pigment binding","MF"
"GO:1990829",0.00769574122780596,1,1,1,"C-rich single-stranded DNA binding","MF"
"GO:0047685",0.00778877297798575,1,1,1,"amine sulfotransferase activity","MF"
"GO:0034338",0.00787466701458169,1,1,1,"short-chain carboxylesterase activity","MF"
"GO:0004341",0.00787466982657178,1,1,1,"gluconolactonase activity","MF"
"GO:0004734",0.0148287321078024,0.999945508897552,1,2,"pyrimidodiazepine synthase activity","MF"
"GO:0016782",0.0148287321078024,0.999945508897552,1,2,"transferase activity, transferring sulfur-containing groups","MF"
"GO:0016807",0.0155646014177469,0.999939943804541,1,2,"cysteine-type carboxypeptidase activity","MF"
"GO:0017171",0.0156883182929369,0.999938981403126,1,2,"serine hydrolase activity","MF"
"GO:0050610",0.0156883210831351,0.999938981381334,1,2,"methylarsonate reductase activity","MF"
"GO:0005412",0.0217035076794996,0.999844002904902,1,3,"glucose:sodium symporter activity","MF"
"GO:0042301",0.0234414161289317,0.999817874443963,1,3,"phosphate ion binding","MF"
"GO:0004867",0.0291037319363781,0.997660652723543,2,35,"serine-type endopeptidase inhibitor activity","MF"
"GO:0008843",0.031517447703272,0.999604017908521,1,5,"endochitinase activity","MF"
"GO:0043559",0.0366269969626387,0.999464079654705,1,5,"insulin binding","MF"
"GO:0035375",0.0379776658959423,0.999423500382185,1,5,"zymogen binding","MF"
"GO:0038187",0.0379776658959423,0.999423500382185,1,5,"pattern recognition receptor activity","MF"
"GO:0070891",0.0379776658959423,0.999423500382185,1,5,"lipoteichoic acid binding","MF"
"GO:0000293",0.0380351261943554,0.999421740694749,1,5,"ferric-chelate reductase activity","MF"
"GO:0004090",0.0440392398031516,0.999190843577529,1,6,"carbonyl reductase (NADPH) activity","MF"
"GO:0031433",0.0441587062815861,0.999186407948646,1,6,"telethonin binding","MF"
