"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0031639",1.457158181236e-05,0.999999878517348,3,9,"plasminogen activation","BP"
"GO:0051919",2.07703789921831e-05,0.999999797895657,3,10,"positive regulation of fibrinolysis","BP"
"GO:0006508",4.56125596236084e-05,0.99999513946333,7,173,"proteolysis","BP"
"GO:0002542",9.21070801984554e-05,0.999999830806013,2,3,"Factor XII activation","BP"
"GO:0009617",0.000156114035337392,0.99998373859872,6,142,"response to bacterium","BP"
"GO:0007597",0.000294978178868725,0.999998402393576,2,5,"blood coagulation, intrinsic pathway","BP"
"GO:0007155",0.00030921571328216,0.999933294927471,10,458,"cell adhesion","BP"
"GO:0042730",0.00032262359552838,0.999990692914704,3,24,"fibrinolysis","BP"
"GO:0031638",0.000483117788349283,0.999983819437561,3,27,"zymogen activation","BP"
"GO:0044245",0.00148020059783964,0.999977246429382,2,10,"polysaccharide digestion","BP"
"GO:0022617",0.00226003700068322,0.999955022425925,2,13,"extracellular matrix disassembly","BP"
"GO:0030198",0.00284094609119152,0.999693580461826,4,104,"extracellular matrix organization","BP"
"GO:0071638",0.00407958723748302,0.999882512197531,2,27,"negative regulation of monocyte chemotactic protein-1 production","BP"
"GO:1901998",0.00446205096326051,0.999868840150653,2,19,"toxin transport","BP"
"GO:0042246",0.00638654806121398,0.999768399999453,2,27,"tissue regeneration","BP"
"GO:0008283",0.00676435551149139,0.999063836353281,4,142,"cell population proliferation","BP"
"GO:0000272",0.00757498443753248,0.999702192556662,2,24,"polysaccharide catabolic process","BP"
"GO:0051384",0.0075924267009321,0.999700350408149,2,25,"response to glucocorticoid","BP"
"GO:0006955",0.00826224525162063,0.999208140541391,3,82,"immune response","BP"
"GO:0006032",0.00867899046825536,0.999632881472586,2,25,"chitin catabolic process","BP"
"GO:0007162",0.00919313440833922,0.999597445364972,2,27,"negative regulation of cell adhesion","BP"
"GO:0002062",0.00979748749170972,0.999557547825506,2,26,"chondrocyte differentiation","BP"
"GO:0072675",0.0109392901568378,0.999475615813443,2,27,"osteoclast fusion","BP"
"GO:0003429",0.0109413531905409,0.99947437016696,2,28,"growth plate cartilage chondrocyte morphogenesis","BP"
"GO:0061045",0.0135643774505265,0.99926819763253,2,30,"negative regulation of wound healing","BP"
"GO:0045616",0.0136732452249056,0.999257988901124,2,31,"regulation of keratinocyte differentiation","BP"
"GO:0048678",0.0185025700361656,0.998809647985521,2,40,"response to axon injury","BP"
"GO:0006954",0.0214399770840207,0.997057770081637,3,116,"inflammatory response","BP"
"GO:0051603",0.0239468346114708,0.998230571181374,2,42,"proteolysis involved in cellular protein catabolic process","BP"
"GO:0044267",0.0279523044545708,0.997751633289127,2,45,"cellular protein metabolic process","BP"
"GO:0001942",0.0302698915177349,0.9974555052609,2,47,"hair follicle development","BP"
"GO:0002576",0.0304972839472758,0.997426073883066,2,47,"platelet degranulation","BP"
"GO:0010839",0.0332607792990571,0.997055073319783,2,49,"negative regulation of keratinocyte proliferation","BP"
"GO:0007601",0.0333343873250373,0.994582867300502,3,123,"visual perception","BP"
"GO:0007157",0.0343701490021544,0.994352360860715,3,117,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","BP"
"GO:0050896",0.0352596423928537,0.996772748734962,2,52,"response to stimulus","BP"
