"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0030041",0.000484806722841078,0.999995435767812,2,28,"actin filament polymerization","BP"
"GO:0003428",0.00154532651576658,1,1,1,"chondrocyte intercalation involved in growth plate cartilage morphogenesis","BP"
"GO:0060536",0.00268332420242779,0.999998255642421,1,2,"cartilage morphogenesis","BP"
"GO:0006083",0.00269097668858723,0.999998245671936,1,2,"acetate metabolic process","BP"
"GO:0019679",0.00269097668858723,0.999998245671936,1,2,"propionate metabolic process, methylcitrate cycle","BP"
"GO:0051125",0.00312149887762626,0.999997638901961,1,2,"regulation of actin nucleation","BP"
"GO:0061041",0.00312149887762626,0.999997638901961,1,2,"regulation of wound healing","BP"
"GO:2000392",0.00312149887762626,0.999997638901961,1,2,"regulation of lamellipodium morphogenesis","BP"
"GO:0032268",0.00358594658810182,0.999995326344228,1,4,"regulation of cellular protein metabolic process","BP"
"GO:2000301",0.00399840273351384,0.999994833495933,1,3,"negative regulation of synaptic vesicle exocytosis","BP"
"GO:0030335",0.00443530298166422,0.999866663962707,2,81,"positive regulation of cell migration","BP"
"GO:0034727",0.00450227828092995,0.99999262969569,1,4,"piecemeal microautophagy of the nucleus","BP"
"GO:0032486",0.00455316214922768,0.99999246199329,1,4,"Rap protein signal transduction","BP"
"GO:0060327",0.00467871015307717,0.999992923606667,1,3,"cytoplasmic actin-based contraction involved in cell motility","BP"
"GO:0098780",0.00545947489598872,0.999988436487755,1,5,"response to mitochondrial depolarisation","BP"
"GO:0006824",0.00591827849069297,0.999986408686875,1,5,"cobalt ion transport","BP"
"GO:2001135",0.00623646713705074,0.999984905970193,1,5,"regulation of endocytic recycling","BP"
"GO:0000423",0.00699662699901149,0.999980205883125,1,6,"mitophagy","BP"
"GO:0032233",0.0077840940737302,0.999976469942937,1,5,"positive regulation of actin filament bundle assembly","BP"
"GO:0045010",0.00787301791955671,0.999974927666471,1,6,"actin nucleation","BP"
"GO:0032525",0.00898852950197264,0.999966373044014,1,7,"somite rostral/caudal axis specification","BP"
"GO:0034497",0.00911342924540239,0.999965430318581,1,7,"protein localization to phagophore assembly site","BP"
"GO:0030042",0.0118248380108526,0.999939587547342,1,9,"actin filament depolymerization","BP"
"GO:0051014",0.0118474044958646,0.999939356217919,1,9,"actin filament severing","BP"
"GO:1903354",0.0125484005840111,0.999931949083946,1,9,"regulation of distal tip cell migration","BP"
"GO:0045948",0.0127583638817424,0.999929647041432,1,9,"positive regulation of translational initiation","BP"
"GO:0035262",0.0134486153145021,0.999920834534946,1,10,"gonad morphogenesis","BP"
"GO:0006885",0.0135279218059183,0.999920880503946,1,9,"regulation of pH","BP"
"GO:0001964",0.0140323919335776,0.999913793320916,1,10,"startle response","BP"
"GO:0035729",0.0142635934321337,0.999910025572117,1,11,"cellular response to hepatocyte growth factor stimulus","BP"
"GO:0015701",0.0149136259801186,0.999901613677476,1,11,"bicarbonate transport","BP"
"GO:0046856",0.0149751321435455,0.999901785556602,1,10,"phosphatidylinositol dephosphorylation","BP"
"GO:0044782",0.0153346550269925,0.999893745169721,1,14,"cilium organization","BP"
"GO:0051693",0.0163096098169153,0.999882270467589,1,11,"actin filament capping","BP"
"GO:0015889",0.0163189260714744,0.999880331679055,1,13,"cobalamin transport","BP"
"GO:0050793",0.0166294794421326,0.999876577740519,1,12,"regulation of developmental process","BP"
"GO:0060026",0.0186446378093954,0.999841928764578,1,15,"convergent extension","BP"
"GO:0010634",0.0192645954373583,0.999829793409994,1,17,"positive regulation of epithelial cell migration","BP"
"GO:0060271",0.0201367373053242,0.998657339493831,2,171,"cilium assembly","BP"
"GO:0061371",0.0203528677123894,0.999811517022725,1,15,"determination of heart left/right asymmetry","BP"
"GO:0051453",0.0215254166690227,0.999789081990184,1,15,"regulation of intracellular pH","BP"
"GO:0072583",0.0241036818044592,0.999733068066489,1,17,"clathrin-dependent endocytosis","BP"
"GO:0000422",0.0243216989756585,0.99972566779134,1,20,"autophagy of mitochondrion","BP"
"GO:0042438",0.0267934629091399,0.999662265924226,1,27,"melanin biosynthetic process","BP"
"GO:0061314",0.0288206432486041,0.999613195089975,1,21,"Notch signaling involved in heart development","BP"
"GO:0016540",0.0290318410594104,0.999606591327288,1,22,"protein autoprocessing","BP"
"GO:0071364",0.0299889727936986,0.999577700644237,1,25,"cellular response to epidermal growth factor stimulus","BP"
"GO:0007173",0.0315522837628799,0.999533934214605,1,23,"epidermal growth factor receptor signaling pathway","BP"
"GO:0071320",0.032710360167329,0.999494858196271,1,28,"cellular response to cAMP","BP"
"GO:0000045",0.0350730430618285,0.999418748802808,1,28,"autophagosome assembly","BP"
"GO:0031638",0.0352590898256528,0.99941332229716,1,27,"zymogen activation","BP"
"GO:0072675",0.0368167961434636,0.999359975146131,1,27,"osteoclast fusion","BP"
"GO:0016236",0.04088623840644,0.999204039468088,1,33,"macroautophagy","BP"
"GO:0061045",0.0413052928450024,0.999190019170035,1,30,"negative regulation of wound healing","BP"
"GO:0045616",0.041757910914003,0.999171125519295,1,31,"regulation of keratinocyte differentiation","BP"
"GO:1990316",0.00306253440937784,0.9999969703064,1,3,"Atg1/ULK1 kinase complex","CC"
"GO:0032432",0.00669961318665341,0.999982577486207,1,5,"actin filament bundle","CC"
"GO:0045334",0.00965642244256895,0.999961179816706,1,7,"clathrin-coated endocytic vesicle","CC"
"GO:0016282",0.0122327885394249,0.999934531872149,1,10,"eukaryotic 43S preinitiation complex","CC"
"GO:0032433",0.0126769983398626,0.999927883119258,1,13,"filopodium tip","CC"
"GO:0000407",0.0218824035917408,0.999779422450052,1,18,"phagophore assembly site","CC"
"GO:0005769",0.0273116667142755,0.997854990304575,2,210,"early endosome","CC"
"GO:0031092",0.0336818137580316,0.999466573234276,1,25,"platelet alpha granule membrane","CC"
"GO:0004727",0.00134427475150301,1,1,1,"prenylated protein tyrosine phosphatase activity","MF"
"GO:0008775",0.00269097668858723,0.999998245671936,1,2,"acetate CoA-transferase activity","MF"
"GO:0035727",0.00312149887762626,0.999997638901961,1,2,"lysophosphatidic acid binding","MF"
"GO:0008934",0.00448469574194535,0.999993498899728,1,3,"inositol monophosphate 1-phosphatase activity","MF"
"GO:0052832",0.00448469574194535,0.999993498899728,1,3,"inositol monophosphate 3-phosphatase activity","MF"
"GO:0052833",0.00448469574194535,0.999993498899728,1,3,"inositol monophosphate 4-phosphatase activity","MF"
"GO:0043812",0.00616453526924519,0.999986172835855,1,4,"phosphatidylinositol-4-phosphate phosphatase activity","MF"
"GO:0008510",0.00623341209130436,0.999985861705096,1,4,"sodium:bicarbonate symporter activity","MF"
"GO:0003986",0.0069728812307586,0.999980340201483,1,6,"acetyl-CoA hydrolase activity","MF"
"GO:0016805",0.011446355148669,0.999942119501656,1,11,"dipeptidase activity","MF"
"GO:0005452",0.0127904976204485,0.999929291331043,1,9,"inorganic anion exchanger activity","MF"
"GO:0004708",0.0131420137804891,0.999925341285317,1,9,"MAP kinase kinase activity","MF"
"GO:0019887",0.0132674174555659,0.999922183797814,1,11,"protein kinase regulator activity","MF"
"GO:0043024",0.0134146300243217,0.999921235161828,1,10,"ribosomal small subunit binding","MF"
"GO:0016716",0.0210748133448501,0.999794269353956,1,20,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","MF"
"GO:0008138",0.0232772759990305,0.9997481943639,1,21,"protein tyrosine/serine/threonine phosphatase activity","MF"
"GO:0031419",0.0257491671593334,0.999692359701397,1,20,"cobalamin binding","MF"
"GO:0003743",0.0382640062801565,0.999304200053453,1,32,"translation initiation factor activity","MF"
"GO:0005546",0.0393351644354424,0.999263701935399,1,33,"phosphatidylinositol-4,5-bisphosphate binding","MF"
