"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","effect_dir"
"1","catabolic process","GO:0009056",3,"GO:0000272","GO:0000272;GO:0006032;GO:0051603",4,"PGEN_.00g006380;PGEN_.00g057120;PGEN_.00g169480;PGEN_.00g285590","MAvAM_Down"
"2","carbohydrate metabolic process","GO:0005975",1,"GO:0000272","GO:0000272",2,"PGEN_.00g057120;PGEN_.00g169480","MAvAM_Down"
"3","anatomical structure development","GO:0048856",6,"GO:0001942","GO:0001942;GO:0002062;GO:0003429;GO:0042246;GO:0045616;GO:0072675",8,"PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230","MAvAM_Down"
"4","cell differentiation","GO:0030154",4,"GO:0002062","GO:0002062;GO:0003429;GO:0045616;GO:0072675",6,"PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990","MAvAM_Down"
"5","response to stress","GO:0006950",8,"GO:0002542","GO:0002542;GO:0006954;GO:0007597;GO:0042246;GO:0042730;GO:0048678;GO:0051919;GO:0061045",10,"PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g199810;PGEN_.00g279590;PGEN_.00g346230","MAvAM_Down"
"6","protein maturation","GO:0051604",3,"GO:0002542","GO:0002542;GO:0031638;GO:0031639",4,"PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g344990","MAvAM_Down"
"7","transport","GO:0006810",2,"GO:0002576","GO:0002576;GO:1901998",4,"PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g164540;PGEN_.00g164660","MAvAM_Down"
"8","vesicle-mediated transport","GO:0016192",1,"GO:0002576","GO:0002576",2,"PGEN_.00g086610;PGEN_.00g086660","MAvAM_Down"
"9","growth","GO:0040007",2,"GO:0003429","GO:0003429;GO:0042246",4,"PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230","MAvAM_Down"
"10","cell morphogenesis","GO:0000902",1,"GO:0003429","GO:0003429",2,"PGEN_.00g119470;PGEN_.00g127990","MAvAM_Down"
"11","immune system process","GO:0002376",2,"GO:0006955","GO:0006955;GO:0072675",5,"PGEN_.00g057120;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g169480;PGEN_.00g344510","MAvAM_Down"
"12","cell adhesion","GO:0007155",4,"GO:0007157","GO:0007157;GO:0007160;GO:0007162",7,"PGEN_.00g046020;PGEN_.00g085780;PGEN_.00g095380;PGEN_.00g116130;PGEN_.00g177260;PGEN_.00g211890;PGEN_.00g332560","MAvAM_Down"
"13","nervous system process","GO:0050877",1,"GO:0007601","GO:0007601",3,"PGEN_.00g085780;PGEN_.00g095380;PGEN_.00g332560","MAvAM_Down"
"14","cell population proliferation","GO:0008283",2,"GO:0010839","GO:0010839",2,"PGEN_.00g086610;PGEN_.00g086660","MAvAM_Down"
"15","extracellular matrix organization","GO:0030198",2,"GO:0022617","GO:0022617",2,"PGEN_.00g033640;PGEN_.00g057190","MAvAM_Down"
"16","signal transduction","GO:0007165",1,"GO:0030512","GO:0030512",2,"PGEN_.00g086610;PGEN_.00g086660","MAvAM_Down"
"17","anatomical structure formation invo...","GO:0048646",1,"GO:0072675","GO:0072675",2,"PGEN_.00g086610;PGEN_.00g086660","MAvAM_Down"
