"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0072675",0.00151839165279583,0.99997415885136,2,27,"osteoclast fusion","BP"
"GO:0032868",0.00174169637269555,0.999967706769948,2,37,"response to insulin","BP"
"GO:0061045",0.00192995177556855,0.999962675105026,2,30,"negative regulation of wound healing","BP"
"GO:0045616",0.00196895178597566,0.999961465157107,2,31,"regulation of keratinocyte differentiation","BP"
"GO:0002576",0.00401720454560529,0.999884886351129,2,47,"platelet degranulation","BP"
"GO:0001942",0.00412195883849827,0.999880315733571,2,47,"hair follicle development","BP"
"GO:0010839",0.00490905370036893,0.999843877882737,2,49,"negative regulation of keratinocyte proliferation","BP"
"GO:0030512",0.00569787991398525,0.999802852660718,2,65,"negative regulation of transforming growth factor beta receptor signaling pathway","BP"
"GO:0001933",0.00884282373403085,0.999615050026743,2,73,"negative regulation of protein phosphorylation","BP"
"GO:0031092",0.00127247808865245,0.999980296107721,2,25,"platelet alpha granule membrane","CC"
"GO:0030057",0.00661315583590133,0.999982127209515,1,6,"desmosome","CC"
"GO:0031209",0.0113592221568137,0.999945663649401,1,7,"SCAR complex","CC"
"GO:0031225",0.0227843408131265,0.998357789564509,2,120,"anchored component of membrane","CC"
"GO:0005576",0.0411775715863636,0.988517028333312,5,1105,"extracellular region","CC"
"GO:0050431",0.00286714556337117,0.999931326665658,2,39,"transforming growth factor beta binding","MF"
"GO:0004867",0.00889169365139516,0.999611924707941,2,72,"serine-type endopeptidase inhibitor activity","MF"
