"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","cellular protein modification proce...","GO:0006464",1,"GO:0001933","GO:0001933",2,"PGEN_.00g092260;PGEN_.00g092270","Day7_Down"
"2","anatomical structure development","GO:0048856",3,"GO:0001942","GO:0001942;GO:0045616;GO:0072675",2,"PGEN_.00g092260;PGEN_.00g092270","Day7_Down"
"3","transport","GO:0006810",1,"GO:0002576","GO:0002576",2,"PGEN_.00g092260;PGEN_.00g092270","Day7_Down"
"4","vesicle-mediated transport","GO:0016192",1,"GO:0002576","GO:0002576",2,"PGEN_.00g092260;PGEN_.00g092270","Day7_Down"
"5","cell population proliferation","GO:0008283",1,"GO:0010839","GO:0010839",2,"PGEN_.00g092260;PGEN_.00g092270","Day7_Down"
"6","signal transduction","GO:0007165",1,"GO:0030512","GO:0030512",2,"PGEN_.00g092260;PGEN_.00g092270","Day7_Down"
"7","cell differentiation","GO:0030154",2,"GO:0045616","GO:0045616;GO:0072675",2,"PGEN_.00g092260;PGEN_.00g092270","Day7_Down"
"8","response to stress","GO:0006950",1,"GO:0061045","GO:0061045",2,"PGEN_.00g092260;PGEN_.00g092270","Day7_Down"
"9","anatomical structure formation invo...","GO:0048646",1,"GO:0072675","GO:0072675",2,"PGEN_.00g092260;PGEN_.00g092270","Day7_Down"
"10","immune system process","GO:0002376",1,"GO:0072675","GO:0072675",2,"PGEN_.00g092260;PGEN_.00g092270","Day7_Down"
