"","GO_terms","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","dir","Day","slim_term","Gene_IDs"
"1","GO:0001933",0.00884282373403085,0.999615050026743,2,73,"negative regulation of protein phosphorylation","BP","Down","Day7","cellular protein modification proce...","PGEN_.00g092260;PGEN_.00g092270"
"2","GO:0001942",0.00412195883849827,0.999880315733571,2,47,"hair follicle development","BP","Down","Day7","anatomical structure development","PGEN_.00g092260;PGEN_.00g092270"
"3","GO:0002576",0.00401720454560529,0.999884886351129,2,47,"platelet degranulation","BP","Down","Day7","vesicle-mediated transport","PGEN_.00g092260;PGEN_.00g092270"
"4","GO:0002576",0.00401720454560529,0.999884886351129,2,47,"platelet degranulation","BP","Down","Day7","transport","PGEN_.00g092260;PGEN_.00g092270"
"5","GO:0010839",0.00490905370036893,0.999843877882737,2,49,"negative regulation of keratinocyte proliferation","BP","Down","Day7","cell population proliferation","PGEN_.00g092260;PGEN_.00g092270"
"6","GO:0030512",0.00569787991398525,0.999802852660718,2,65,"negative regulation of transforming growth factor beta receptor signaling pathway","BP","Down","Day7","signal transduction","PGEN_.00g092260;PGEN_.00g092270"
"7","GO:0045616",0.00196895178597566,0.999961465157107,2,31,"regulation of keratinocyte differentiation","BP","Down","Day7","cell differentiation","PGEN_.00g092260;PGEN_.00g092270"
"8","GO:0045616",0.00196895178597566,0.999961465157107,2,31,"regulation of keratinocyte differentiation","BP","Down","Day7","anatomical structure development","PGEN_.00g092260;PGEN_.00g092270"
"9","GO:0061045",0.00192995177556855,0.999962675105026,2,30,"negative regulation of wound healing","BP","Down","Day7","response to stress","PGEN_.00g092260;PGEN_.00g092270"
"10","GO:0072675",0.00151839165279583,0.99997415885136,2,27,"osteoclast fusion","BP","Down","Day7","immune system process","PGEN_.00g092260;PGEN_.00g092270"
"11","GO:0072675",0.00151839165279583,0.99997415885136,2,27,"osteoclast fusion","BP","Down","Day7","cell differentiation","PGEN_.00g092260;PGEN_.00g092270"
"12","GO:0072675",0.00151839165279583,0.99997415885136,2,27,"osteoclast fusion","BP","Down","Day7","anatomical structure development","PGEN_.00g092260;PGEN_.00g092270"
"13","GO:0072675",0.00151839165279583,0.99997415885136,2,27,"osteoclast fusion","BP","Down","Day7","anatomical structure formation invo...","PGEN_.00g092260;PGEN_.00g092270"
