"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","effect","dir","Gene_terms"
"1","PGEN_.00g006380","catabolic process",0.00406716929963371,"GO:0042420","dopamine catabolic process","BP","secondAvM","Down","Counting factor associated protein D"
"2","PGEN_.00g006380","catabolic process",0.0006249075076588,"GO:0051603","proteolysis involved in cellular protein catabolic process","BP","secondAvM","Down","Counting factor associated protein D"
"3","PGEN_.00g009930","transport",0.0359169550073166,"GO:0043312","neutrophil degranulation","BP","secondAvM","Down","Neurotrypsin"
"4","PGEN_.00g009930","transport",0.0329898094177552,"GO:0006887","exocytosis","BP","secondAvM","Down","Neurotrypsin"
"5","PGEN_.00g009930","transport",0.0160334544867965,"GO:0002576","platelet degranulation","BP","secondAvM","Down","Neurotrypsin"
"6","PGEN_.00g009930","vesicle-mediated transport",0.0329898094177552,"GO:0006887","exocytosis","BP","secondAvM","Down","Neurotrypsin"
"7","PGEN_.00g009930","vesicle-mediated transport",0.0359169550073166,"GO:0043312","neutrophil degranulation","BP","secondAvM","Down","Neurotrypsin"
"8","PGEN_.00g009930","vesicle-mediated transport",0.0160334544867965,"GO:0002576","platelet degranulation","BP","secondAvM","Down","Neurotrypsin"
"9","PGEN_.00g021440","cell differentiation",0.000296441654720692,"GO:0045616","regulation of keratinocyte differentiation","BP","secondAvM","Down","Sphingosine-1-phosphate phosphatase 1 (SPPase1) (Spp1) (hSPP1) (hSPPase1)"
"10","PGEN_.00g021440","anatomical structure development",0.00491982122945583,"GO:0003429","growth plate cartilage chondrocyte morphogenesis","BP","secondAvM","Down","Sphingosine-1-phosphate phosphatase 1 (SPPase1) (Spp1) (hSPP1) (hSPPase1)"
"11","PGEN_.00g021440","anatomical structure development",0.00596576318147863,"GO:0072675","osteoclast fusion","BP","secondAvM","Down","Sphingosine-1-phosphate phosphatase 1 (SPPase1) (Spp1) (hSPP1) (hSPPase1)"
"12","PGEN_.00g021440","cell differentiation",0.00596576318147863,"GO:0072675","osteoclast fusion","BP","secondAvM","Down","Sphingosine-1-phosphate phosphatase 1 (SPPase1) (Spp1) (hSPP1) (hSPPase1)"
