"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006824",0.00115664301333559,0.999999531531463,1,5,"cobalt ion transport","BP"
"GO:0015889",0.00304366181937726,0.999996254319684,1,13,"cobalamin transport","BP"
"GO:0072675",0.00642612214930888,0.99998255942008,1,27,"osteoclast fusion","BP"
"GO:0061045",0.00715702992269905,0.99997827721551,1,30,"negative regulation of wound healing","BP"
"GO:0045616",0.00734725473584426,0.999977080046911,1,31,"regulation of keratinocyte differentiation","BP"
"GO:0001942",0.0110337129665149,0.999947650660874,1,47,"hair follicle development","BP"
"GO:0002576",0.0110597205990863,0.999947403056208,1,47,"platelet degranulation","BP"
"GO:0010839",0.0115448148286033,0.99994262654495,1,49,"negative regulation of keratinocyte proliferation","BP"
"GO:0030512",0.0151095438780685,0.999901088518813,1,65,"negative regulation of transforming growth factor beta receptor signaling pathway","BP"
"GO:0001933",0.0170149627760533,0.999874263042663,1,73,"negative regulation of protein phosphorylation","BP"
"GO:0031092",0.0059554627899411,0.999985069350655,1,25,"platelet alpha granule membrane","CC"
"GO:0005576",0.0253901260978475,0.998358935133838,2,1105,"extracellular region","CC"
"GO:0031225",0.0279075628142943,0.99965849047603,1,120,"anchored component of membrane","CC"
"GO:0031419",0.00467641576166346,0.99999089423459,1,20,"cobalamin binding","MF"
"GO:0050431",0.0091809380648648,0.999963942369308,1,39,"transforming growth factor beta binding","MF"
"GO:0004867",0.0169467803727528,0.999875295910091,1,72,"serine-type endopeptidase inhibitor activity","MF"
