"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0042493",5.68890339505931e-07,0.999999994468903,4,152,"response to drug","BP"
"GO:0043434",5.70217512377421e-07,0.999999998276267,3,36,"response to peptide hormone","BP"
"GO:0051385",7.89102562731117e-07,0.999999999879941,2,3,"response to mineralocorticoid","BP"
"GO:1902307",1.42514893962322e-06,0.999999999587869,2,4,"positive regulation of sodium ion transmembrane transport","BP"
"GO:0070633",1.84459100491128e-05,0.999999970689474,2,13,"transepithelial transport","BP"
"GO:0010765",4.20520813658135e-05,0.99999989370287,2,21,"positive regulation of sodium ion transport","BP"
"GO:0071638",4.46627957637206e-05,0.999999881581596,2,27,"negative regulation of monocyte chemotactic protein-1 production","BP"
"GO:0048678",0.000145783006059482,0.999999286406097,2,40,"response to axon injury","BP"
"GO:0010157",0.000528725833760346,1,1,1,"response to chlorate","BP"
"GO:0010944",0.00132327313807998,0.999999457681498,1,3,"negative regulation of transcription by competitive promoter binding","BP"
"GO:0090240",0.00141154841088554,0.999999382886201,1,3,"positive regulation of histone H4 acetylation","BP"
"GO:0050848",0.00173777064764499,0.999998947659704,1,4,"regulation of calcium-mediated signaling","BP"
"GO:0043618",0.00186364327410622,0.999998789621236,1,4,"regulation of transcription from RNA polymerase II promoter in response to stress","BP"
"GO:0033629",0.00202464961387456,0.999998476158701,1,5,"negative regulation of cell adhesion mediated by integrin","BP"
"GO:0036003",0.00245695183398626,0.999997755529679,1,5,"positive regulation of transcription from RNA polymerase II promoter in response to stress","BP"
"GO:0043278",0.00258558177243707,0.999997410734972,1,6,"response to morphine","BP"
"GO:0060588",0.00275429301279556,0.999996977717263,1,7,"negative regulation of lipoprotein lipid oxidation","BP"
"GO:2000098",0.00275429301279556,0.999996977717263,1,7,"negative regulation of smooth muscle cell-matrix adhesion","BP"
"GO:0006978",0.00328086729282582,0.999995710707337,1,7,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator","BP"
"GO:2000405",0.00331194387280937,0.999995538042127,1,8,"negative regulation of T cell migration","BP"
"GO:1902166",0.00332130227254478,0.999995604256515,1,7,"negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","BP"
"GO:0010035",0.00346811980138523,0.999995206753039,1,7,"response to inorganic substance","BP"
"GO:0014012",0.00379095459369773,0.99999406020122,1,9,"peripheral nervous system axon regeneration","BP"
"GO:0043043",0.00433884546608524,0.999992217526983,1,9,"peptide biosynthetic process","BP"
"GO:0032781",0.00449828695950805,0.999991530097711,1,10,"positive regulation of ATPase activity","BP"
"GO:0070555",0.00463067868626161,0.999991134382172,1,9,"response to interleukin-1","BP"
"GO:0010642",0.00482576476832584,0.999990152399406,1,11,"negative regulation of platelet-derived growth factor receptor signaling pathway","BP"
"GO:0000302",0.00496172242983295,0.999989502535264,1,12,"response to reactive oxygen species","BP"
"GO:0044245",0.00501494283129997,0.999989470578703,1,10,"polysaccharide digestion","BP"
"GO:0021983",0.00525268290770664,0.999988331017514,1,11,"pituitary gland development","BP"
"GO:1900016",0.00657494456121961,0.999981220495182,1,15,"negative regulation of cytokine production involved in inflammatory response","BP"
"GO:0070165",0.00671189337237674,0.999980135379165,1,19,"positive regulation of adiponectin secretion","BP"
"GO:0042308",0.00696323634198427,0.99997883994716,1,16,"negative regulation of protein import into nucleus","BP"
"GO:0070206",0.00723286870985405,0.999976863452298,1,20,"protein trimerization","BP"
"GO:0006977",0.00832014483746796,0.999969550708086,1,18,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","BP"
"GO:0035356",0.00912684542659048,0.999962811374246,1,24,"cellular triglyceride homeostasis","BP"
"GO:0002223",0.00939415924906167,0.999960938650624,1,20,"stimulatory C-type lectin receptor signaling pathway","BP"
"GO:0070542",0.00946111186240419,0.999960279900885,1,21,"response to fatty acid","BP"
"GO:0051895",0.009689693363327,0.999958333845034,1,21,"negative regulation of focal adhesion assembly","BP"
"GO:0016486",0.0106086151406851,0.99994982257019,1,23,"peptide hormone processing","BP"
"GO:0016540",0.0108258582712966,0.999947849770826,1,22,"protein autoprocessing","BP"
"GO:0048662",0.011265414677521,0.999943198111134,1,25,"negative regulation of smooth muscle cell proliferation","BP"
"GO:0042246",0.0114687634806754,0.999940943497906,1,27,"tissue regeneration","BP"
"GO:0000272",0.0114727355154319,0.999941185498159,1,24,"polysaccharide catabolic process","BP"
"GO:0051384",0.0118640358215052,0.999936986928905,1,25,"response to glucocorticoid","BP"
"GO:0016266",0.0118696564070923,0.999936646658254,1,28,"O-glycan processing","BP"
"GO:0006032",0.0121452301444766,0.999933957579592,1,25,"chitin catabolic process","BP"
"GO:0031016",0.0124383160177364,0.999930511179158,1,27,"pancreas development","BP"
"GO:0031667",0.012700511854603,0.999927543599043,1,27,"response to nutrient levels","BP"
"GO:0045721",0.0138363375046665,0.999913289845613,1,34,"negative regulation of gluconeogenesis","BP"
"GO:1901223",0.0142905901326048,0.999907407629515,1,35,"negative regulation of NIK/NF-kappaB signaling","BP"
"GO:0009749",0.016543531124774,0.999875807730848,1,35,"response to glucose","BP"
"GO:0019221",0.0171288052039271,0.999866625590223,1,37,"cytokine-mediated signaling pathway","BP"
"GO:0050714",0.0185926293963731,0.999842655579534,1,38,"positive regulation of protein secretion","BP"
"GO:0045444",0.019609882748066,0.999824354463235,1,43,"fat cell differentiation","BP"
"GO:0051592",0.0219281671462674,0.99977984240416,1,46,"response to calcium ion","BP"
"GO:0016485",0.0238383087226417,0.999738970135621,1,52,"protein processing","BP"
"GO:0014070",0.024185828945184,0.999730984445986,1,55,"response to organic cyclic compound","BP"
"GO:0022008",0.0257656761666443,0.999694316583019,1,57,"neurogenesis","BP"
"GO:0006869",0.0277733348869024,0.999644558921311,1,57,"lipid transport","BP"
"GO:0006874",0.0282150140470079,0.999632580775092,1,62,"cellular calcium ion homeostasis","BP"
"GO:0006629",0.0287326992587957,0.999618901360081,1,62,"lipid metabolic process","BP"
"GO:0032496",0.0317032111228226,0.999534383376734,1,73,"response to lipopolysaccharide","BP"
"GO:0050728",0.0317278236282252,0.999533403119603,1,76,"negative regulation of inflammatory response","BP"
"GO:0006955",0.0357630648460197,0.999405710733405,1,82,"immune response","BP"
"GO:0006006",0.0359084707850631,0.999400748111709,1,83,"glucose metabolic process","BP"
"GO:0043312",0.0366423682012826,0.999376314556923,1,78,"neutrophil degranulation","BP"
"GO:0007568",0.0433740488157531,0.999121630359638,1,98,"aging","BP"
"GO:0005615",8.56758297845918e-07,0.999999973706886,6,796,"extracellular space","CC"
"GO:0046658",8.52458359842613e-06,0.999999991379174,2,9,"anchored component of plasma membrane","CC"
"GO:0019897",4.41007424828025e-05,0.999999885833718,2,21,"extrinsic component of plasma membrane","CC"
"GO:0045121",0.00283181347931643,0.999935974868697,2,182,"membrane raft","CC"
"GO:0022626",0.00445930042381659,0.999991592451465,1,11,"cytosolic ribosome","CC"
"GO:1904724",0.00652335907081,0.999981608493169,1,14,"tertiary granule lumen","CC"
"GO:0035580",0.00740222912373136,0.999976083797095,1,16,"specific granule lumen","CC"
"GO:0043025",0.011310009050394,0.999475466856381,2,345,"neuronal cell body","CC"
"GO:0034774",0.0117535771837866,0.999938264307219,1,24,"secretory granule lumen","CC"
