"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"114","GO:0006886",7.60149240045205e-07,0.999999767730035,29,184,"intracellular protein transport","BP","brown","Day14"
"435","GO:0071638",2.94931323577572e-06,0.999999818281086,7,27,"negative regulation of monocyte chemotactic protein-1 production","BP","brown","Day14"
"416","GO:0070165",2.52959957027496e-05,0.999998847900462,5,19,"positive regulation of adiponectin secretion","BP","brown","Day14"
"286","GO:0035356",4.57795759481217e-05,0.999996610226606,6,24,"cellular triglyceride homeostasis","BP","brown","Day14"
"417","GO:0070206",6.34005581916982e-05,0.999996450173676,5,20,"protein trimerization","BP","brown","Day14"
"425","GO:0071243",9.64660572263914e-05,0.999995444281183,5,10,"cellular response to arsenic-containing substance","BP","brown","Day14"
"388","GO:0051603",0.000124146241522321,0.999978105685806,10,42,"proteolysis involved in cellular protein catabolic process","BP","brown","Day14"
"127","GO:0007596",0.000147327366169701,0.999969933670029,11,57,"blood coagulation","BP","brown","Day14"
"175","GO:0016192",0.000254557043632996,0.999926739263947,15,99,"vesicle-mediated transport","BP","brown","Day14"
"316","GO:0042493",0.000264976144542456,0.999909121993473,19,152,"response to drug","BP","brown","Day14"
"200","GO:0019254",0.000268840365133326,1,3,3,"carnitine metabolic process, CoA-linked","BP","brown","Day14"
"378","GO:0050920",0.000272393994809871,1,3,3,"regulation of chemotaxis","BP","brown","Day14"
"464","GO:1900165",0.000275305951688157,0.999978262825832,5,23,"negative regulation of interleukin-6 secretion","BP","brown","Day14"
"373","GO:0050715",0.000357194527606882,0.999969419313338,5,27,"positive regulation of cytokine secretion","BP","brown","Day14"
"323","GO:0042759",0.00039685900927305,0.999992952471945,3,5,"long-chain fatty acid biosynthetic process","BP","brown","Day14"
"470","GO:1901687",0.000425118546015201,0.999994722777924,3,4,"glutathione derivative biosynthetic process","BP","brown","Day14"
"270","GO:0033539",0.00067600988205848,0.999967108123561,4,8,"fatty acid beta-oxidation using acyl-CoA dehydrogenase","BP","brown","Day14"
"272","GO:0033572",0.000686363560329884,0.999966465028428,4,8,"transferrin transport","BP","brown","Day14"
"268","GO:0033227",0.000753265422804058,0.999983264302974,3,5,"dsRNA transport","BP","brown","Day14"
"259","GO:0032780",0.000850884380747339,0.99995259370828,4,9,"negative regulation of ATPase activity","BP","brown","Day14"
"251","GO:0032367",0.000916296151666633,0.999914032550384,5,15,"intracellular cholesterol transport","BP","brown","Day14"
"103","GO:0006635",0.000983536612973839,0.999842886612869,7,28,"fatty acid beta-oxidation","BP","brown","Day14"
"239","GO:0031639",0.00115488065341415,0.999930006949253,4,9,"plasminogen activation","BP","brown","Day14"
"237","GO:0031585",0.00120084142127732,1,2,2,"regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity","BP","brown","Day14"
"469","GO:1901223",0.00131999056246038,0.999804890145437,6,35,"negative regulation of NIK/NF-kappaB signaling","BP","brown","Day14"
"321","GO:0042732",0.00156336552238622,0.999811270316652,5,30,"D-xylose metabolic process","BP","brown","Day14"
"8","GO:0001561",0.00178702518225406,0.999946061966832,3,5,"fatty acid alpha-oxidation","BP","brown","Day14"
"393","GO:0051919",0.00178965057757651,0.999871053910145,4,10,"positive regulation of fibrinolysis","BP","brown","Day14"
"363","GO:0048268",0.00183534280607994,0.999873446060122,4,9,"clathrin coat assembly","BP","brown","Day14"
"391","GO:0051897",0.00187782806328247,0.999544405101823,9,60,"positive regulation of protein kinase B signaling","BP","brown","Day14"
"311","GO:0042178",0.00194464869602927,0.999928363261297,3,6,"xenobiotic catabolic process","BP","brown","Day14"
"112","GO:0006869",0.00214222810794208,0.99942945481172,10,57,"lipid transport","BP","brown","Day14"
"320","GO:0042730",0.00227404735748847,0.999644628959893,6,24,"fibrinolysis","BP","brown","Day14"
"310","GO:0042147",0.00266967011142774,0.999393161368899,8,45,"retrograde transport, endosome to Golgi","BP","brown","Day14"
"374","GO:0050728",0.00273808331281364,0.999285827967401,9,76,"negative regulation of inflammatory response","BP","brown","Day14"
"471","GO:1901879",0.00281139142259836,1,2,2,"regulation of protein depolymerization","BP","brown","Day14"
"225","GO:0030522",0.00287806388639438,1,2,2,"intracellular receptor signaling pathway","BP","brown","Day14"
"196","GO:0017148",0.00291337666441211,0.999331310027134,8,43,"negative regulation of translation","BP","brown","Day14"
"408","GO:0061045",0.00293363801490453,0.999423605945739,7,30,"negative regulation of wound healing","BP","brown","Day14"
"25","GO:0003429",0.00321657524788703,0.999446988520333,6,28,"growth plate cartilage chondrocyte morphogenesis","BP","brown","Day14"
"308","GO:0042118",0.00324626727373281,0.999856228513103,3,6,"endothelial cell activation","BP","brown","Day14"
"438","GO:0072673",0.0033570950542921,1,2,2,"lamellipodium morphogenesis","BP","brown","Day14"
"352","GO:0046512",0.00367944559237278,0.999662474887386,4,11,"sphingosine biosynthetic process","BP","brown","Day14"
"379","GO:0050975",0.00376096159095685,0.999851390320435,3,5,"sensory perception of touch","BP","brown","Day14"
"400","GO:0055117",0.00385374684512632,0.999439097045817,5,25,"regulation of cardiac muscle contraction","BP","brown","Day14"
"322","GO:0042758",0.00399899316213427,1,2,2,"long-chain fatty acid catabolic process","BP","brown","Day14"
"487","GO:1990126",0.0046871608508921,0.999289370012867,5,24,"retrograde transport, endosome to plasma membrane","BP","brown","Day14"
"217","GO:0030245",0.00477223253158686,0.999756802967045,3,6,"cellulose catabolic process","BP","brown","Day14"
"174","GO:0016182",0.00477575455999299,1,2,2,"synaptic vesicle budding from endosome","BP","brown","Day14"
"331","GO:0043666",0.00491465732833032,0.999746829181969,3,6,"regulation of phosphoprotein phosphatase activity","BP","brown","Day14"
"94","GO:0005997",0.00496333359671041,0.999405651670586,4,28,"xylulose metabolic process","BP","brown","Day14"
"207","GO:0022904",0.00526746513067057,0.999673675372086,3,8,"respiratory electron transport chain","BP","brown","Day14"
"476","GO:1902751",0.00529675421342425,1,2,2,"positive regulation of cell cycle G2/M phase transition","BP","brown","Day14"
"249","GO:0032308",0.00563403824693463,1,2,2,"positive regulation of prostaglandin secretion","BP","brown","Day14"
"290","GO:0035590",0.00563403824693463,1,2,2,"purinergic nucleotide receptor signaling pathway","BP","brown","Day14"
"401","GO:0055119",0.00563403824693463,1,2,2,"relaxation of cardiac muscle","BP","brown","Day14"
"443","GO:0090650",0.00563403824693463,1,2,2,"cellular response to oxygen-glucose deprivation","BP","brown","Day14"
"477","GO:1904124",0.00563403824693463,1,2,2,"microglial cell migration","BP","brown","Day14"
"478","GO:1904141",0.00563403824693463,1,2,2,"positive regulation of microglial cell migration","BP","brown","Day14"
"399","GO:0055114",0.00564530637258368,0.997792705986824,14,153,"oxidation-reduction process","BP","brown","Day14"
"164","GO:0014810",0.00606342904354725,0.999904944040518,2,3,"positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion","BP","brown","Day14"
"115","GO:0006897",0.00618865758971266,0.99739938288458,16,143,"endocytosis","BP","brown","Day14"
"338","GO:0045054",0.00644961984623597,0.9998955626012,2,3,"constitutive secretory pathway","BP","brown","Day14"
"481","GO:1904801",0.00656115842210117,0.999810248486358,2,6,"positive regulation of neuron remodeling","BP","brown","Day14"
"20","GO:0002542",0.00688562634492567,0.999884605346553,2,3,"Factor XII activation","BP","brown","Day14"
"346","GO:0045721",0.00695456607899548,0.998793160021466,5,34,"negative regulation of gluconeogenesis","BP","brown","Day14"
"299","GO:0036010",0.00695571631284949,0.999551809737743,3,7,"protein localization to endosome","BP","brown","Day14"
"16","GO:0002042",0.00698922206808144,0.999807753610795,2,5,"cell migration involved in sprouting angiogenesis","BP","brown","Day14"
"381","GO:0051046",0.00717824826159282,0.999877039185142,2,3,"regulation of secretion","BP","brown","Day14"
"102","GO:0006631",0.00735444894546527,0.997770812011674,9,73,"fatty acid metabolic process","BP","brown","Day14"
"465","GO:1900825",0.00756040056439749,0.999783344859399,2,5,"regulation of membrane depolarization during cardiac muscle cell action potential","BP","brown","Day14"
"243","GO:0032024",0.00788077604962449,0.998653447986046,5,23,"positive regulation of insulin secretion","BP","brown","Day14"
"151","GO:0009756",0.00800208741448016,0.999796012832215,2,4,"carbohydrate mediated signaling","BP","brown","Day14"
"171","GO:0016042",0.00814063055389168,0.997710229284264,8,61,"lipid catabolic process","BP","brown","Day14"
"108","GO:0006703",0.00815060084325902,0.999380465587241,3,9,"estrogen biosynthetic process","BP","brown","Day14"
"313","GO:0042264",0.00826526160880952,0.999847492491262,2,3,"peptidyl-aspartic acid hydroxylation","BP","brown","Day14"
"452","GO:0098761",0.00842152737475962,0.999843063579734,2,3,"cellular response to interleukin-7","BP","brown","Day14"
"407","GO:0060355",0.00845624547959411,0.999283258377494,3,13,"positive regulation of cell adhesion molecule production","BP","brown","Day14"
"121","GO:0007059",0.00860286701838905,0.997584619024706,8,52,"chromosome segregation","BP","brown","Day14"
"418","GO:0070328",0.00877860133705582,0.999272988310243,3,11,"triglyceride homeostasis","BP","brown","Day14"
"298","GO:0035987",0.00880885454966926,0.998836157844157,4,17,"endodermal cell differentiation","BP","brown","Day14"
"274","GO:0034138",0.00888076386314843,0.999233600398428,3,13,"toll-like receptor 3 signaling pathway","BP","brown","Day14"
"295","GO:0035722",0.00933014725475877,0.999254405513899,3,9,"interleukin-12-mediated signaling pathway","BP","brown","Day14"
"24","GO:0003007",0.00945525563941699,0.997607555834948,7,39,"heart morphogenesis","BP","brown","Day14"
"368","GO:0050427",0.00960258400380472,0.998197284385011,5,34,"3'-phosphoadenosine 5'-phosphosulfate metabolic process","BP","brown","Day14"
"269","GO:0033344",0.00962809081696045,0.998709129597646,4,16,"cholesterol efflux","BP","brown","Day14"
"117","GO:0007015",0.00979231090229218,0.996911160186451,9,66,"actin filament organization","BP","brown","Day14"
"262","GO:0033119",0.00994626322008556,0.999715722881855,2,4,"negative regulation of RNA splicing","BP","brown","Day14"
"99","GO:0006508",0.00996627329636534,0.995337012888851,18,173,"proteolysis","BP","brown","Day14"
"14","GO:0001934",0.0101689024617683,0.996772613212132,9,66,"positive regulation of protein phosphorylation","BP","brown","Day14"
"427","GO:0071318",0.0103345245429045,0.999178900989892,3,8,"cellular response to ATP","BP","brown","Day14"
"306","GO:0036465",0.0104312095432514,0.999782252509273,2,3,"synaptic vesicle recycling","BP","brown","Day14"
"162","GO:0010955",0.0106868227257947,0.999774023442526,2,3,"negative regulation of protein processing","BP","brown","Day14"
"133","GO:0008203",0.0108158438512877,0.996273754154521,10,77,"cholesterol metabolic process","BP","brown","Day14"
"347","GO:0046168",0.0109429151152974,0.999765670861483,2,3,"glycerol-3-phosphate catabolic process","BP","brown","Day14"
"429","GO:0071353",0.0110418321646811,0.997936412287107,5,24,"cellular response to interleukin-4","BP","brown","Day14"
"327","GO:0043312",0.0112325053464405,0.996104957161016,10,78,"neutrophil degranulation","BP","brown","Day14"
"266","GO:0033198",0.0113364749109192,0.999067497566872,3,8,"response to ATP","BP","brown","Day14"
"98","GO:0006482",0.0113748092838331,0.999751342230274,2,3,"protein demethylation","BP","brown","Day14"
"386","GO:0051384",0.011589713719195,0.997795499084331,5,25,"response to glucocorticoid","BP","brown","Day14"
"138","GO:0008283",0.011741747406516,0.995002954556585,14,142,"cell population proliferation","BP","brown","Day14"
"106","GO:0006684",0.011884250543396,0.999734055647173,2,3,"sphingomyelin metabolic process","BP","brown","Day14"
"479","GO:1904504",0.0123766416128936,0.998900848580938,3,9,"positive regulation of lipophagy","BP","brown","Day14"
"345","GO:0045616",0.0129662910952757,0.996962581555856,6,31,"regulation of keratinocyte differentiation","BP","brown","Day14"
"170","GO:0015918",0.013286890885053,0.998716239124984,3,11,"sterol transport","BP","brown","Day14"
"440","GO:0080111",0.0134563001354481,0.999548593038105,2,4,"DNA demethylation","BP","brown","Day14"
"279","GO:0034727",0.0138710822685512,0.999527091857619,2,4,"piecemeal microautophagy of the nucleus","BP","brown","Day14"
"329","GO:0043618",0.0139207457536227,0.999524493676151,2,4,"regulation of transcription from RNA polymerase II promoter in response to stress","BP","brown","Day14"
"448","GO:0097193",0.0141375105043504,0.998735967292475,3,8,"intrinsic apoptotic signaling pathway","BP","brown","Day14"
"428","GO:0071346",0.0141790392115587,0.995587452536554,8,64,"cellular response to interferon-gamma","BP","brown","Day14"
"497","GO:2001237",0.0142265640686824,0.997857761603574,4,16,"negative regulation of extrinsic apoptotic signaling pathway","BP","brown","Day14"
"96","GO:0006032",0.0143576886229326,0.997117679159376,5,25,"chitin catabolic process","BP","brown","Day14"
"392","GO:0051900",0.0145211208925597,0.999638173863159,2,3,"regulation of mitochondrial depolarization","BP","brown","Day14"
"332","GO:0044070",0.0146040866180759,0.999488233958715,2,4,"regulation of anion transport","BP","brown","Day14"
"431","GO:0071417",0.0146788204160773,0.999271818794741,2,9,"cellular response to organonitrogen compound","BP","brown","Day14"
"122","GO:0007088",0.0148398468083294,0.998542283822825,3,10,"regulation of mitotic nuclear division","BP","brown","Day14"
"495","GO:2001020",0.0150351256084834,0.998623875211282,3,8,"regulation of response to DNA damage stimulus","BP","brown","Day14"
"118","GO:0007029",0.0150395463099971,0.997648447251416,4,18,"endoplasmic reticulum organization","BP","brown","Day14"
"302","GO:0036099",0.0153589753342912,0.997583275974503,4,18,"female germ-line stem cell population maintenance","BP","brown","Day14"
"250","GO:0032365",0.0153705469776315,1,1,1,"intracellular lipid transport","BP","brown","Day14"
"423","GO:0071073",0.0153705469776315,1,1,1,"positive regulation of phospholipid biosynthetic process","BP","brown","Day14"
"462","GO:0140214",0.0153705469776315,1,1,1,"positive regulation of long-chain fatty acid import into cell","BP","brown","Day14"
"498","GO:2001245",0.0153705469776315,1,1,1,"regulation of phosphatidylcholine biosynthetic process","BP","brown","Day14"
"353","GO:0046513",0.0154176523662824,0.996865443547842,5,24,"ceramide biosynthetic process","BP","brown","Day14"
"206","GO:0021675",0.0156331569423052,0.999594653197711,2,3,"nerve development","BP","brown","Day14"
"351","GO:0046511",0.0158708673590254,0.99958512126655,2,3,"sphinganine biosynthetic process","BP","brown","Day14"
"256","GO:0032502",0.0158911808604751,0.999229144708624,2,7,"developmental process","BP","brown","Day14"
"486","GO:1905289",0.0159160326941853,0.99958330117748,2,3,"regulation of CAMKK-AMPK signaling cascade","BP","brown","Day14"
"277","GO:0034405",0.0160573184411588,0.999577589084348,2,3,"response to fluid shear stress","BP","brown","Day14"
