"","slim_term","slim_cat","category","Gene.Count","GO.Count","module_day"
"1","cell cycle","GO:0007049","GO:0000132",23,11,"Day14_brown"
"2","cytoskeleton organization","GO:0007010","GO:0000132",20,7,"Day14_brown"
"3","catabolic process","GO:0009056","GO:0000272",71,22,"Day14_brown"
"4","carbohydrate metabolic process","GO:0005975","GO:0000272",21,6,"Day14_brown"
"5","cellular protein modification proce...","GO:0006464","GO:0000413",31,10,"Day14_brown"
"6","lipid metabolic process","GO:0006629","GO:0001561",69,28,"Day14_brown"
"7","small molecule metabolic process","GO:0044281","GO:0001561",67,21,"Day14_brown"
"8","anatomical structure development","GO:0048856","GO:0001570",61,29,"Day14_brown"
"9","cell differentiation","GO:0030154","GO:0001570",35,16,"Day14_brown"
"10","anatomical structure formation invo...","GO:0048646","GO:0001744",22,8,"Day14_brown"
"11","cell motility","GO:0048870","GO:0002042",5,7,"Day14_brown"
"12","locomotion","GO:0040011","GO:0002042",5,8,"Day14_brown"
"13","immune system process","GO:0002376","GO:0002522",32,14,"Day14_brown"
"14","response to stress","GO:0006950","GO:0002542",47,14,"Day14_brown"
"15","biosynthetic process","GO:0009058","GO:0002642",46,20,"Day14_brown"
"16","reproduction","GO:0000003","GO:0003006",8,7,"Day14_brown"
"17","transport","GO:0006810","GO:0006625",122,53,"Day14_brown"
"18","protein transport","GO:0015031","GO:0006625",47,10,"Day14_brown"
"19","cellular nitrogen compound metaboli...","GO:0034641","GO:0006672",39,16,"Day14_brown"
"20","homeostatic process","GO:0042592","GO:0006879",33,14,"Day14_brown"
"21","vesicle-mediated transport","GO:0016192","GO:0006897",47,13,"Day14_brown"
"22","cellular component assembly","GO:0022607","GO:0007057",28,10,"Day14_brown"
"23","signal transduction","GO:0007165","GO:0009756",49,24,"Day14_brown"
"24","transmembrane transport","GO:0055085","GO:0010849",14,11,"Day14_brown"
"25","cell death","GO:0008219","GO:0010939",14,8,"Day14_brown"
"26","membrane organization","GO:0061024","GO:0016182",8,6,"Day14_brown"
"27","protein-containing complex assembly","GO:0065003","GO:0017055",25,8,"Day14_brown"
"28","cell-cell signaling","GO:0007267","GO:0032024",20,8,"Day14_brown"
