"","slim_term","slim_cat","category","Gene.Count","GO.Count","module_day"
"1","cell cycle","GO:0007049","GO:0000086",16,10,"Day14_magenta"
"2","small molecule metabolic process","GO:0044281","GO:0000096",5,6,"Day14_magenta"
"3","cellular nitrogen compound metaboli...","GO:0034641","GO:0000381",36,21,"Day14_magenta"
"4","mRNA processing","GO:0006397","GO:0000381",16,7,"Day14_magenta"
"5","anatomical structure development","GO:0048856","GO:0001944",35,31,"Day14_magenta"
"6","immune system process","GO:0002376","GO:0002250",20,26,"Day14_magenta"
"7","transport","GO:0006810","GO:0002554",13,16,"Day14_magenta"
"8","response to stress","GO:0006950","GO:0002554",8,10,"Day14_magenta"
"9","locomotion","GO:0040011","GO:0003428",7,8,"Day14_magenta"
"10","cell motility","GO:0048870","GO:0003428",6,7,"Day14_magenta"
"11","biosynthetic process","GO:0009058","GO:0006275",18,8,"Day14_magenta"
"12","cellular component assembly","GO:0022607","GO:0006334",20,13,"Day14_magenta"
"13","chromosome organization","GO:0051276","GO:0006334",14,14,"Day14_magenta"
"14","protein-containing complex assembly","GO:0065003","GO:0006334",7,6,"Day14_magenta"
"15","homeostatic process","GO:0042592","GO:0006882",7,6,"Day14_magenta"
"16","cell death","GO:0008219","GO:0006915",15,10,"Day14_magenta"
"17","cellular protein modification proce...","GO:0006464","GO:0007257",31,15,"Day14_magenta"
"18","signal transduction","GO:0007165","GO:0007257",19,16,"Day14_magenta"
"19","cell differentiation","GO:0030154","GO:0014902",10,8,"Day14_magenta"
"20","catabolic process","GO:0009056","GO:0042176",6,6,"Day14_magenta"
