"","slim_term","slim_cat","category","Gene.Count","GO.Count","module_day"
"1","cellular nitrogen compound metaboli...","GO:0034641","GO:0000122",26,16,"Day14_pink"
"2","biosynthetic process","GO:0009058","GO:0000122",25,13,"Day14_pink"
"3","anatomical structure development","GO:0048856","GO:0001654",31,31,"Day14_pink"
"4","growth","GO:0040007","GO:0001834",9,7,"Day14_pink"
"5","transport","GO:0006810","GO:0002091",12,13,"Day14_pink"
"6","vesicle-mediated transport","GO:0016192","GO:0002091",7,7,"Day14_pink"
"7","response to stress","GO:0006950","GO:0002227",5,7,"Day14_pink"
"8","small molecule metabolic process","GO:0044281","GO:0006083",7,7,"Day14_pink"
"9","catabolic process","GO:0009056","GO:0006914",11,7,"Day14_pink"
"10","signal transduction","GO:0007165","GO:0006990",9,10,"Day14_pink"
"11","cell differentiation","GO:0030154","GO:0010718",21,14,"Day14_pink"
"12","cellular component assembly","GO:0022607","GO:0016226",8,7,"Day14_pink"
"13","cellular protein modification proce...","GO:0006464","GO:0018027",7,7,"Day14_pink"
