"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","ion binding","GO:0043167",7,"GO:0000062","GO:0000062;GO:0005504;GO:0005540;GO:0019003;GO:0030976;GO:0035091;GO:0050660",33,"PGEN_.00g005530;PGEN_.00g018500;PGEN_.00g024130;PGEN_.00g077860;PGEN_.00g095990;PGEN_.00g127760;PGEN_.00g132090;PGEN_.00g135000;PGEN_.00g135600;PGEN_.00g153420;PGEN_.00g162260;PGEN_.00g166570;PGEN_.00g177440;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g213920;PGEN_.00g220140;PGEN_.00g234530;PGEN_.00g258130;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g268580;PGEN_.00g272730;PGEN_.00g285980;PGEN_.00g286040;PGEN_.00g311860;PGEN_.00g318440;PGEN_.00g323100;PGEN_.00g333110;PGEN_.00g339990;PGEN_.00g340820;PGEN_.00g340990;PGEN_.00g343270","Day14_brown"
"2","isomerase activity","GO:0016853",2,"GO:0003755","GO:0003755;GO:0004165",6,"PGEN_.00g049490;PGEN_.00g069180;PGEN_.00g161950;PGEN_.00g183520;PGEN_.00g184550;PGEN_.00g282910","Day14_brown"
"3","cytoskeletal protein binding","GO:0008092",1,"GO:0003779","GO:0003779",16,"PGEN_.00g005660;PGEN_.00g009370;PGEN_.00g014630;PGEN_.00g065040;PGEN_.00g080030;PGEN_.00g113630;PGEN_.00g131030;PGEN_.00g172290;PGEN_.00g201320;PGEN_.00g212320;PGEN_.00g264620;PGEN_.00g282910;PGEN_.00g306890;PGEN_.00g329150;PGEN_.00g331050;PGEN_.00g341690","Day14_brown"
"4","oxidoreductase activity","GO:0016491",23,"GO:0003834","GO:0003834;GO:0003857;GO:0003858;GO:0003997;GO:0004022;GO:0004090;GO:0004303;GO:0004367;GO:0004597;GO:0004602;GO:0009055;GO:0010436;GO:0015037;GO:0016404;GO:0016655;GO:0044105;GO:0045174;GO:0047035;GO:0050038;GO:0050610;GO:0070330;GO:0070576;GO:0101021",45,"PGEN_.00g002290;PGEN_.00g006490;PGEN_.00g010860;PGEN_.00g012200;PGEN_.00g018500;PGEN_.00g039290;PGEN_.00g040690;PGEN_.00g048930;PGEN_.00g049360;PGEN_.00g057660;PGEN_.00g068260;PGEN_.00g069180;PGEN_.00g076740;PGEN_.00g104910;PGEN_.00g116940;PGEN_.00g119840;PGEN_.00g120210;PGEN_.00g121900;PGEN_.00g121940;PGEN_.00g135600;PGEN_.00g161270;PGEN_.00g162660;PGEN_.00g169370;PGEN_.00g169390;PGEN_.00g169450;PGEN_.00g176480;PGEN_.00g180320;PGEN_.00g180630;PGEN_.00g199660;PGEN_.00g203570;PGEN_.00g213920;PGEN_.00g231830;PGEN_.00g236540;PGEN_.00g261210;PGEN_.00g282850;PGEN_.00g291710;PGEN_.00g297980;PGEN_.00g300030;PGEN_.00g310290;PGEN_.00g310300;PGEN_.00g311290;PGEN_.00g317160;PGEN_.00g318780;PGEN_.00g325650;PGEN_.00g325710","Day14_brown"
"5","ligase activity","GO:0016874",4,"GO:0003996","GO:0003996;GO:0031957;GO:0047676;GO:0102391",3,"PGEN_.00g048000;PGEN_.00g177020;PGEN_.00g234660","Day14_brown"
"6","peptidase activity","GO:0008233",5,"GO:0004197","GO:0004197;GO:0004252;GO:0004298;GO:0008238;GO:0008239",29,"PGEN_.00g006380;PGEN_.00g009930;PGEN_.00g015030;PGEN_.00g019210;PGEN_.00g025650;PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g047200;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g075120;PGEN_.00g108800;PGEN_.00g170120;PGEN_.00g170730;PGEN_.00g187940;PGEN_.00g199810;PGEN_.00g208780;PGEN_.00g269110;PGEN_.00g272650;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g321220;PGEN_.00g344990;PGEN_.00g345410;PGEN_.00g345610;PGEN_.00g345680;PGEN_.00g346560;PGEN_.00g348220;PGEN_.00g348570","Day14_brown"
"7","lyase activity","GO:0016829",2,"GO:0004300","GO:0004300;GO:0016830",5,"PGEN_.00g041480;PGEN_.00g069180;PGEN_.00g184550;PGEN_.00g267990;PGEN_.00g268270","Day14_brown"
"8","transferase activity, transferring ...","GO:0016765",1,"GO:0004364","GO:0004364",5,"PGEN_.00g169370;PGEN_.00g169390;PGEN_.00g180630;PGEN_.00g215140;PGEN_.00g219960","Day14_brown"
"9","transferase activity, transferring ...","GO:0016746",2,"GO:0004364","GO:0004596;GO:0004758",4,"PGEN_.00g031840;PGEN_.00g171780;PGEN_.00g194520;PGEN_.00g206080","Day14_brown"
"10","transferase activity, transferring ...","GO:0016757",0,"GO:0004364","",0,"","Day14_brown"
