"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"380","GO:0140289",2.89570052010492e-10,0.999999999986809,11,36,"protein mono-ADP-ribosylation","BP","pink","Day21"
"22","GO:0002040",4.65432671037191e-09,0.999999999641245,12,54,"sprouting angiogenesis","BP","pink","Day21"
"75","GO:0006471",4.5878748024764e-07,0.999999964164504,9,45,"protein ADP-ribosylation","BP","pink","Day21"
"302","GO:0051607",4.96648938968281e-07,0.999999922098035,14,140,"defense response to virus","BP","pink","Day21"
"234","GO:0042531",5.27640985756544e-07,0.999999967470964,8,31,"positive regulation of tyrosine phosphorylation of STAT protein","BP","pink","Day21"
"310","GO:0060336",1.3171992053087e-06,0.999999930531011,7,24,"negative regulation of interferon-gamma-mediated signaling pathway","BP","pink","Day21"
"410","GO:2000051",2.88286941719767e-06,0.999999879527069,6,18,"negative regulation of non-canonical Wnt signaling pathway","BP","pink","Day21"
"262","GO:0045087",5.7943472864112e-06,0.999998554236084,18,298,"innate immune response","BP","pink","Day21"
"128","GO:0016567",6.61294706608704e-06,0.999998259265174,19,314,"protein ubiquitination","BP","pink","Day21"
"24","GO:0002230",1.33578398755389e-05,0.999999200163018,6,26,"positive regulation of defense response to virus by host","BP","pink","Day21"
"392","GO:1902216",1.55369661888743e-05,0.999999066449896,6,23,"positive regulation of interleukin-4-mediated signaling pathway","BP","pink","Day21"
"78","GO:0006511",2.26948212511751e-05,0.99999402681595,17,230,"ubiquitin-dependent protein catabolic process","BP","pink","Day21"
"178","GO:0032757",2.46662591365983e-05,0.999999435682465,4,10,"positive regulation of interleukin-8 production","BP","pink","Day21"
"162","GO:0032088",2.65824863816436e-05,0.999997542532101,7,42,"negative regulation of NF-kappaB transcription factor activity","BP","pink","Day21"
"328","GO:0070212",3.0396490582197e-05,0.999997145188633,7,40,"protein poly-ADP-ribosylation","BP","pink","Day21"
"304","GO:0051865",3.34426892501931e-05,0.999995242093686,9,89,"protein autoubiquitination","BP","pink","Day21"
"276","GO:0045944",4.31369989312673e-05,0.999983731555368,27,548,"positive regulation of transcription by RNA polymerase II","BP","pink","Day21"
"235","GO:0042532",5.22383239276745e-05,0.99999588562834,6,31,"negative regulation of tyrosine phosphorylation of STAT protein","BP","pink","Day21"
"184","GO:0033262",5.81365386977822e-05,0.999999638002754,3,4,"regulation of nuclear cell cycle DNA replication","BP","pink","Day21"
"173","GO:0032725",7.86199808901599e-05,0.9999994571899,3,4,"positive regulation of granulocyte macrophage colony-stimulating factor production","BP","pink","Day21"
"225","GO:0039529",7.86199808901599e-05,0.9999994571899,3,4,"RIG-I signaling pathway","BP","pink","Day21"
"381","GO:0140374",7.86199808901599e-05,0.9999994571899,3,4,"antiviral innate immune response","BP","pink","Day21"
"91","GO:0008015",8.74900637985071e-05,0.999992308541361,6,35,"blood circulation","BP","pink","Day21"
"215","GO:0035726",9.75344270568805e-05,0.99999893518722,3,5,"common myeloid progenitor cell proliferation","BP","pink","Day21"
"139","GO:0019216",0.000134104988491442,0.999987381527777,6,32,"regulation of lipid metabolic process","BP","pink","Day21"
"288","GO:0048536",0.000178865730267048,0.999992147792684,4,15,"spleen development","BP","pink","Day21"
"308","GO:0060333",0.000240635333756826,0.999995744986692,3,6,"interferon-gamma-mediated signaling pathway","BP","pink","Day21"
"230","GO:0042104",0.000268933514335091,0.999995058756646,3,6,"positive regulation of activated T cell proliferation","BP","pink","Day21"
"244","GO:0043123",0.000289471843362016,0.999959240904671,7,62,"positive regulation of I-kappaB kinase/NF-kappaB signaling","BP","pink","Day21"
"211","GO:0035549",0.000302695194167204,0.999994206631249,3,6,"positive regulation of interferon-beta secretion","BP","pink","Day21"
"394","GO:1902741",0.000302695194167204,0.999994206631249,3,6,"positive regulation of interferon-alpha secretion","BP","pink","Day21"
"103","GO:0009615",0.000323454611154196,0.999962443763125,6,51,"response to virus","BP","pink","Day21"
"32","GO:0002735",0.000358220106247132,0.999992732636153,3,6,"positive regulation of myeloid dendritic cell cytokine production","BP","pink","Day21"
"245","GO:0043124",0.000440833266332747,0.999960255223226,5,29,"negative regulation of I-kappaB kinase/NF-kappaB signaling","BP","pink","Day21"
"329","GO:0070213",0.000468448212869252,0.999971932640685,4,20,"protein auto-ADP-ribosylation","BP","pink","Day21"
"82","GO:0006952",0.000482789254732209,0.999954147506913,5,40,"defense response","BP","pink","Day21"
"149","GO:0031048",0.000499185230823106,0.999985982673541,3,9,"heterochromatin assembly by small RNA","BP","pink","Day21"
"102","GO:0009597",0.000534549434740082,0.999986242933985,3,7,"detection of virus","BP","pink","Day21"
"261","GO:0045086",0.000540717516057023,0.999986028603062,3,7,"positive regulation of interleukin-2 biosynthetic process","BP","pink","Day21"
"318","GO:0060760",0.000545127219527479,0.999985874845052,3,7,"positive regulation of response to cytokine stimulus","BP","pink","Day21"
"26","GO:0002376",0.000550769625479825,0.999966499232522,4,17,"immune system process","BP","pink","Day21"
