"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"80","GO:0006659",0.000145263156192059,0.999996542058994,4,6,"phosphatidylserine biosynthetic process","BP","red","Day21"
"367","GO:1903912",0.000259041960107578,1,2,2,"negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation","BP","red","Day21"
"295","GO:0051490",0.000731723929305446,0.99998392446022,3,5,"negative regulation of filopodium assembly","BP","red","Day21"
"244","GO:0045141",0.000786810778531085,0.999964254593215,4,7,"meiotic telomere clustering","BP","red","Day21"
"96","GO:0007566",0.00101655787478906,0.999931342202075,4,13,"embryo implantation","BP","red","Day21"
"115","GO:0010172",0.00115793586765982,0.999915943416433,4,15,"embryonic body morphogenesis","BP","red","Day21"
"193","GO:0033137",0.0011732483518881,0.999917587719622,4,13,"negative regulation of peptidyl-serine phosphorylation","BP","red","Day21"
"69","GO:0006310",0.00147818776205462,0.99972359093444,7,65,"DNA recombination","BP","red","Day21"
"177","GO:0031952",0.00177317566391925,1,2,2,"regulation of protein autophosphorylation","BP","red","Day21"
"232","GO:0043496",0.00197472609753998,1,2,2,"regulation of protein homodimerization activity","BP","red","Day21"
"183","GO:0032218",0.00260603239729675,1,2,2,"riboflavin transport","BP","red","Day21"
"306","GO:0070527",0.00289175613812051,0.99972952334747,4,15,"platelet aggregation","BP","red","Day21"
"327","GO:0090037",0.0030155139660907,0.999724625047334,4,13,"positive regulation of protein kinase C signaling","BP","red","Day21"
"83","GO:0006809",0.00320475273212492,0.999949249972643,2,4,"nitric oxide biosynthetic process","BP","red","Day21"
"62","GO:0006283",0.00326165604449174,0.999680039735229,4,16,"transcription-coupled nucleotide-excision repair","BP","red","Day21"
"292","GO:0051292",0.00377266886753486,0.999805838023539,3,7,"nuclear pore complex assembly","BP","red","Day21"
"307","GO:0070542",0.0038747194410607,0.99958218703497,4,21,"response to fatty acid","BP","red","Day21"
"125","GO:0010955",0.00394151538117888,0.999950677017121,2,3,"negative regulation of protein processing","BP","red","Day21"
"356","GO:1902499",0.0039918264859424,1,2,2,"positive regulation of protein autoubiquitination","BP","red","Day21"
"72","GO:0006360",0.00408290684161401,0.999947964036505,2,3,"transcription by RNA polymerase I","BP","red","Day21"
"357","GO:1902511",0.00415625565375654,1,1,1,"negative regulation of apoptotic DNA fragmentation","BP","red","Day21"
"77","GO:0006457",0.00422500716984593,0.999047392568155,7,64,"protein folding","BP","red","Day21"
"332","GO:0097628",0.0047424335877022,1,2,2,"distal tip cell migration","BP","red","Day21"
"362","GO:1903356",0.0047424335877022,1,2,2,"positive regulation of distal tip cell migration","BP","red","Day21"
"375","GO:1905815",0.0047424335877022,1,2,2,"regulation of dorsal/ventral axon guidance","BP","red","Day21"
"350","GO:1900242",0.00475995298768851,0.999716079472003,3,8,"regulation of synaptic vesicle endocytosis","BP","red","Day21"
"73","GO:0006367",0.00481483077701832,0.999064824551485,6,40,"transcription initiation from RNA polymerase II promoter","BP","red","Day21"
"68","GO:0006298",0.00482136925644641,0.999508467216559,4,12,"mismatch repair","BP","red","Day21"
"260","GO:0046662",0.00483344016503813,0.999874184212346,2,7,"regulation of oviposition","BP","red","Day21"
"271","GO:0048304",0.00490525518489239,0.999722263956662,3,7,"positive regulation of isotype switching to IgG isotypes","BP","red","Day21"
"17","GO:0001744",0.00509557488522656,0.999993501480757,1,2,"optic lobe placode formation","BP","red","Day21"
"95","GO:0007299",0.00509557488522656,0.999993501480757,1,2,"ovarian follicle cell-cell adhesion","BP","red","Day21"
"138","GO:0016325",0.00509557488522656,0.999993501480757,1,2,"oocyte microtubule cytoskeleton organization","BP","red","Day21"
"218","GO:0042248",0.00509557488522656,0.999993501480757,1,2,"maintenance of polarity of follicular epithelium","BP","red","Day21"
"238","GO:0044539",0.00512627329558759,0.999926448093244,2,3,"long-chain fatty acid import into cell","BP","red","Day21"
"189","GO:0032868",0.00515330274059344,0.999162807032474,5,37,"response to insulin","BP","red","Day21"
"259","GO:0046627",0.00522558083487523,0.999386665440373,4,21,"negative regulation of insulin receptor signaling pathway","BP","red","Day21"
"354","GO:1901536",0.00570275119187311,1,1,1,"negative regulation of DNA demethylation","BP","red","Day21"
"324","GO:0072593",0.00570385585006136,0.99931834657254,4,20,"reactive oxygen species metabolic process","BP","red","Day21"
"135","GO:0016242",0.00583155498085316,0.999625421891478,3,8,"negative regulation of macroautophagy","BP","red","Day21"
"250","GO:0046038",0.00584831925415401,1,2,2,"GMP catabolic process","BP","red","Day21"
"213","GO:0036315",0.00590596320568138,1,1,1,"cellular response to sterol","BP","red","Day21"
"323","GO:0072539",0.00590596320568138,1,1,1,"T-helper 17 cell differentiation","BP","red","Day21"
"214","GO:0036493",0.00599794608079903,1,1,1,"positive regulation of translation in response to endoplasmic reticulum stress","BP","red","Day21"
"366","GO:1903898",0.00599794608079903,1,1,1,"negative regulation of PERK-mediated unfolded protein response","BP","red","Day21"
"378","GO:1990441",0.00599794608079903,1,1,1,"negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress","BP","red","Day21"
"61","GO:0006281",0.00676058053271132,0.997194557952825,15,195,"DNA repair","BP","red","Day21"
"308","GO:0070734",0.00685806384202893,0.999885398348666,2,3,"histone H3-K27 methylation","BP","red","Day21"
"286","GO:0051016",0.00710473717476524,0.999803053602798,2,5,"barbed-end actin filament capping","BP","red","Day21"
"290","GO:0051223",0.00720986043233359,0.99949934946342,3,8,"regulation of protein transport","BP","red","Day21"
"57","GO:0006104",0.00741563335304357,0.999818495131966,2,4,"succinyl-CoA metabolic process","BP","red","Day21"
"245","GO:0045190",0.0080129477519494,0.999395342472194,3,9,"isotype switching","BP","red","Day21"
"176","GO:0031667",0.00803114756302371,0.998901564015944,4,27,"response to nutrient levels","BP","red","Day21"
"97","GO:0007568",0.00805871788315545,0.997490439587932,9,98,"aging","BP","red","Day21"
"226","GO:0043060",0.00837405362743885,1,2,2,"meiotic metaphase I plate congression","BP","red","Day21"
"248","GO:0045950",0.00837405362743885,1,2,2,"negative regulation of mitotic recombination","BP","red","Day21"
"291","GO:0051257",0.00837405362743885,1,2,2,"meiotic spindle midzone assembly","BP","red","Day21"
"78","GO:0006612",0.00851090323933663,0.998867095139629,4,19,"protein targeting to membrane","BP","red","Day21"
"351","GO:1901030",0.0085155544246409,0.999775894534691,2,4,"positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","BP","red","Day21"
"24","GO:0002522",0.00895675266757159,1,1,1,"leukocyte migration involved in immune response","BP","red","Day21"
"330","GO:0097021",0.00895675266757159,1,1,1,"lymphocyte migration into lymphoid organs","BP","red","Day21"
"374","GO:1904994",0.00895675266757159,1,1,1,"regulation of leukocyte adhesion to vascular endothelial cell","BP","red","Day21"
"384","GO:2000389",0.00895675266757159,1,1,1,"regulation of neutrophil extravasation","BP","red","Day21"
