"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0030036",5.08828531188211e-06,0.999998854755175,17,100,"actin cytoskeleton organization","BP","yellow","Day21"
"2","GO:0006897",0.000212498200178132,0.999933374648895,17,143,"endocytosis","BP","yellow","Day21"
"3","GO:0016477",0.000323882132423949,0.999899265161668,16,124,"cell migration","BP","yellow","Day21"
"4","GO:0045087",0.00135259716175486,0.999416790434943,22,298,"innate immune response","BP","yellow","Day21"
"5","GO:0006470",0.00159155081254375,0.999418882587374,16,146,"protein dephosphorylation","BP","yellow","Day21"
"6","GO:0030335",0.0026996005999218,0.99923854778644,10,81,"positive regulation of cell migration","BP","yellow","Day21"
"7","GO:0006915",0.00311463799183233,0.998487285666988,25,308,"apoptotic process","BP","yellow","Day21"
"8","GO:0006355",0.00343569263793408,0.998309191973273,25,401,"regulation of transcription, DNA-templated","BP","yellow","Day21"
"9","GO:0000122",0.00536224313652001,0.997158894623282,28,402,"negative regulation of transcription by RNA polymerase II","BP","yellow","Day21"
"10","GO:0051607",0.00956378247857145,0.996328649506149,12,140,"defense response to virus","BP","yellow","Day21"
"11","GO:0045893",0.0138728120718902,0.992688625158675,22,302,"positive regulation of transcription, DNA-templated","BP","yellow","Day21"
"12","GO:0043066",0.0181241184810066,0.990513953431237,20,286,"negative regulation of apoptotic process","BP","yellow","Day21"
"13","GO:0007155",0.024046045161987,0.985467379859074,29,458,"cell adhesion","BP","yellow","Day21"
"14","GO:0045944",0.0257949672754803,0.983666631993096,34,548,"positive regulation of transcription by RNA polymerase II","BP","yellow","Day21"
"15","GO:0016055",0.0304661212773702,0.986247207084584,12,142,"Wnt signaling pathway","BP","yellow","Day21"
"16","GO:0030027",7.23465571877721e-09,0.999999998500161,25,129,"lamellipodium","CC","yellow","Day21"
"17","GO:0005856",1.81729604788808e-05,0.999993284657424,29,274,"cytoskeleton","CC","yellow","Day21"
"18","GO:0001726",5.46321619419313e-05,0.999989208556584,12,59,"ruffle","CC","yellow","Day21"
"19","GO:0005634",5.47686126854766e-05,0.999962476114274,173,3216,"nucleus","CC","yellow","Day21"
"20","GO:0030175",0.000101072665159628,0.99998453080073,9,39,"filopodium","CC","yellow","Day21"
"21","GO:0005829",0.000162205078814987,0.999889457736669,139,2336,"cytosol","CC","yellow","Day21"
"22","GO:0043197",0.000200551890370867,0.999943091824601,15,115,"dendritic spine","CC","yellow","Day21"
"23","GO:0030424",0.000209806872821488,0.99990869267634,30,316,"axon","CC","yellow","Day21"
"24","GO:0005737",0.000576888212346207,0.999577197163876,181,3388,"cytoplasm","CC","yellow","Day21"
"25","GO:0071006",0.000700319762848423,0.999963026555176,4,9,"U2-type catalytic step 1 spliceosome","CC","yellow","Day21"
"26","GO:0005654",0.000715352948472974,0.999528423358174,92,1479,"nucleoplasm","CC","yellow","Day21"
"27","GO:0098845",0.00158456357666702,1,2,2,"postsynaptic endosome","CC","yellow","Day21"
"28","GO:0071819",0.00167401528048252,1,2,2,"DUBm complex","CC","yellow","Day21"
"29","GO:0005923",0.0017950280705957,0.999615397253534,8,48,"bicellular tight junction","CC","yellow","Day21"
"30","GO:0070381",0.00188099821536496,1,2,2,"endosome to plasma membrane transport vesicle","CC","yellow","Day21"
"31","GO:0071458",0.00232814510608168,0.999977794558378,2,3,"integral component of cytoplasmic side of endoplasmic reticulum membrane","CC","yellow","Day21"
"32","GO:0071556",0.00232814510608168,0.999977794558378,2,3,"integral component of lumenal side of endoplasmic reticulum membrane","CC","yellow","Day21"
"33","GO:0032996",0.00289160653834973,1,2,2,"Bcl3-Bcl10 complex","CC","yellow","Day21"
"34","GO:0033257",0.00289160653834973,1,2,2,"Bcl3/NF-kappaB2 complex","CC","yellow","Day21"
"35","GO:0071797",0.00293872120327187,1,2,2,"LUBAC complex","CC","yellow","Day21"
"36","GO:0097449",0.00322702433527625,0.999693499206673,4,14,"astrocyte projection","CC","yellow","Day21"
"37","GO:0030849",0.0035240780072562,1,2,2,"autosome","CC","yellow","Day21"
"38","GO:0015629",0.00431787136189363,0.998520164256674,12,108,"actin cytoskeleton","CC","yellow","Day21"
"39","GO:0014069",0.00499409679956856,0.997872204141801,17,188,"postsynaptic density","CC","yellow","Day21"
"40","GO:0099065",0.00508578872234696,0.999927296514557,2,3,"integral component of spine apparatus membrane","CC","yellow","Day21"
"41","GO:0005886",0.00513018091294219,0.996133646551761,140,2639,"plasma membrane","CC","yellow","Day21"
"42","GO:0034774",0.00556815839665988,0.99912065532215,5,24,"secretory granule lumen","CC","yellow","Day21"
"43","GO:0008180",0.00604248688677675,0.999588687454139,3,9,"COP9 signalosome","CC","yellow","Day21"
"44","GO:0005911",0.00618291900731499,0.997569774242221,14,136,"cell-cell junction","CC","yellow","Day21"
"45","GO:0030660",0.00619235741653618,0.99957469351522,3,9,"Golgi-associated vesicle membrane","CC","yellow","Day21"
"46","GO:0032587",0.0064771917272448,0.99846224692222,7,43,"ruffle membrane","CC","yellow","Day21"
"47","GO:0000805",0.00728539035612887,0.999874266555278,2,3,"X chromosome","CC","yellow","Day21"
"48","GO:0000806",0.00728539035612887,0.999874266555278,2,3,"Y chromosome","CC","yellow","Day21"
"49","GO:0042641",0.00756423037040186,0.99868228201303,5,29,"actomyosin","CC","yellow","Day21"
"50","GO:0070724",0.00837859644139925,1,1,1,"BMP receptor complex","CC","yellow","Day21"
"51","GO:0000785",0.00842462719541369,0.997608400988284,8,65,"chromatin","CC","yellow","Day21"
"52","GO:0030425",0.00855627263907423,0.99541687801346,26,368,"dendrite","CC","yellow","Day21"
"53","GO:0043198",0.010549799737546,0.997964083473255,5,36,"dendritic shaft","CC","yellow","Day21"
"54","GO:0070390",0.0107860434763477,0.999627730116637,2,5,"transcription export complex 2","CC","yellow","Day21"
"55","GO:0097413",0.0109291427461714,0.999620163038775,2,5,"Lewy body","CC","yellow","Day21"
"56","GO:0055038",0.0111221253800762,0.997412199077758,6,41,"recycling endosome membrane","CC","yellow","Day21"
"57","GO:0030139",0.011616371226427,0.996510832902986,8,65,"endocytic vesicle","CC","yellow","Day21"
"58","GO:0005884",0.0122759856134977,0.997590077992734,5,29,"actin filament","CC","yellow","Day21"
"59","GO:0000124",0.0131366382150866,0.99871104152741,3,12,"SAGA complex","CC","yellow","Day21"
"60","GO:0031904",0.0139370194769092,0.998663544779914,3,10,"endosome lumen","CC","yellow","Day21"
"61","GO:0031594",0.0150247772515128,0.994801509857098,9,106,"neuromuscular junction","CC","yellow","Day21"
"62","GO:0048471",0.0162141876625288,0.990524514283053,29,429,"perinuclear region of cytoplasm","CC","yellow","Day21"
"63","GO:0002102",0.0162149700031255,0.998353462153863,3,10,"podosome","CC","yellow","Day21"
"64","GO:0048786",0.0167024261097337,0.996431877046389,5,31,"presynaptic active zone","CC","yellow","Day21"
"65","GO:0098978",0.0188205298854733,0.990496336497815,18,247,"glutamatergic synapse","CC","yellow","Day21"
"66","GO:0032432",0.0210542587970042,0.99896260592853,2,5,"actin filament bundle","CC","yellow","Day21"
"67","GO:0016607",0.0211885173848421,0.989412521929935,17,216,"nuclear speck","CC","yellow","Day21"
"68","GO:0097433",0.0212172193891934,0.998950225427806,2,5,"dense body","CC","yellow","Day21"
"69","GO:1990904",0.0222237613857824,0.991833080733968,9,91,"ribonucleoprotein complex","CC","yellow","Day21"
"70","GO:0044853",0.0229190853878882,0.997107065323648,3,15,"plasma membrane raft","CC","yellow","Day21"
"71","GO:0042734",0.0251218822124666,0.991289731990775,8,68,"presynaptic membrane","CC","yellow","Day21"
"72","GO:0098888",0.0263272875601196,0.998536018557712,2,5,"extrinsic component of presynaptic membrane","CC","yellow","Day21"
"73","GO:0005673",0.0325992006700606,1,1,1,"transcription factor TFIIE complex","CC","yellow","Day21"
"74","GO:0005925",0.0355661384451615,0.982465113945342,14,168,"focal adhesion","CC","yellow","Day21"
"75","GO:0005912",0.0356889761461577,0.98667196995421,8,79,"adherens junction","CC","yellow","Day21"
"76","GO:0030677",0.0382772190953278,1,1,1,"ribonuclease P complex","CC","yellow","Day21"
"77","GO:0005942",0.0398042659356187,0.996715632440503,2,8,"phosphatidylinositol 3-kinase complex","CC","yellow","Day21"
"78","GO:0005905",0.0405517281444177,0.985724825959684,7,63,"clathrin-coated pit","CC","yellow","Day21"
"79","GO:0099059",0.0412444878874508,0.996652193109926,2,7,"integral component of presynaptic active zone membrane","CC","yellow","Day21"
"80","GO:0097733",0.0440258869414736,1,1,1,"photoreceptor cell cilium","CC","yellow","Day21"
"81","GO:1904813",0.0442544854482557,0.992596037276913,3,18,"ficolin-1-rich granule lumen","CC","yellow","Day21"
"82","GO:0005762",0.0452318596487574,0.989229669242363,4,41,"mitochondrial large ribosomal subunit","CC","yellow","Day21"
