"","slim_term","slim_cat","category","Gene.Count","GO.Count","module_day"
"1","cell cycle","GO:0007049","GO:0000082",12,9,"Day21_red"
"2","signal transduction","GO:0007165","GO:0000186",47,16,"Day21_red"
"3","cellular protein modification proce...","GO:0006464","GO:0000186",30,16,"Day21_red"
"4","cellular nitrogen compound metaboli...","GO:0034641","GO:0000447",84,63,"Day21_red"
"5","response to stress","GO:0006950","GO:0000715",47,27,"Day21_red"
"6","DNA metabolic process","GO:0006259","GO:0000715",32,27,"Day21_red"
"7","chromosome organization","GO:0051276","GO:0000715",17,8,"Day21_red"
"8","anatomical structure development","GO:0048856","GO:0001744",39,34,"Day21_red"
"9","immune system process","GO:0002376","GO:0001776",17,15,"Day21_red"
"10","cell differentiation","GO:0030154","GO:0002317",17,13,"Day21_red"
"11","cell motility","GO:0048870","GO:0002522",4,6,"Day21_red"
"12","locomotion","GO:0040011","GO:0002522",4,8,"Day21_red"
"13","small molecule metabolic process","GO:0044281","GO:0006104",22,14,"Day21_red"
"14","biosynthetic process","GO:0009058","GO:0006260",58,30,"Day21_red"
"15","cellular component assembly","GO:0022607","GO:0006293",25,14,"Day21_red"
"16","protein-containing complex assembly","GO:0065003","GO:0006293",19,10,"Day21_red"
"17","transport","GO:0006810","GO:0006406",65,28,"Day21_red"
"18","protein transport","GO:0015031","GO:0006406",23,7,"Day21_red"
"19","lipid metabolic process","GO:0006629","GO:0006655",21,10,"Day21_red"
"20","vesicle-mediated transport","GO:0016192","GO:0006897",23,8,"Day21_red"
"21","cell death","GO:0008219","GO:0006915",36,11,"Day21_red"
"22","cytoskeleton organization","GO:0007010","GO:0007015",21,10,"Day21_red"
"23","reproduction","GO:0000003","GO:0007060",17,13,"Day21_red"
"24","catabolic process","GO:0009056","GO:0010508",24,15,"Day21_red"
"25","nucleobase-containing compound cata...","GO:0034655","GO:0015938",8,7,"Day21_red"
