"","slim_term","slim_cat","category","Gene.Count","GO.Count","module_day"
"1","RNA binding","GO:0003723","GO:0000049",54,16,"Day21_black"
"2","enzyme binding","GO:0019899","GO:0000993",32,9,"Day21_black"
"3","transcription factor binding","GO:0008134","GO:0001096",9,5,"Day21_black"
"4","ATPase activity","GO:0016887","GO:0003678",19,4,"Day21_black"
"5","DNA binding","GO:0003677","GO:0003690",29,9,"Day21_black"
"6","mRNA binding","GO:0003729","GO:0003730",11,3,"Day21_black"
"7","isomerase activity","GO:0016853","GO:0003755",7,5,"Day21_black"
"8","transferase activity, transferring ...","GO:0016746","GO:0003870",4,7,"Day21_black"
"9","kinase activity","GO:0016301","GO:0003872",9,7,"Day21_black"
"10","lyase activity","GO:0016829","GO:0004123",3,5,"Day21_black"
"11","enzyme regulator activity","GO:0030234","GO:0004864",13,5,"Day21_black"
"12","ion binding","GO:0043167","GO:0005524",165,6,"Day21_black"
"13","methyltransferase activity","GO:0008168","GO:0008650",12,12,"Day21_black"
"14","phosphatase activity","GO:0016791","GO:0043716",2,4,"Day21_black"
