"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","nuclease activity","GO:0004518",3,"GO:0000014","GO:0000014;GO:0004521;GO:0008409",4,"PGEN_.00g008010;PGEN_.00g041570;PGEN_.00g186320;PGEN_.00g272750","Day21_magenta"
"2","RNA binding","GO:0003723",4,"GO:0000049","GO:0000049;GO:0003746;GO:0019843",9,"PGEN_.00g020710;PGEN_.00g032110;PGEN_.00g145740;PGEN_.00g159800;PGEN_.00g183890;PGEN_.00g210730;PGEN_.00g213730;PGEN_.00g235390;PGEN_.00g285800","Day21_magenta"
"3","structural molecule activity","GO:0005198",1,"GO:0003735","GO:0003735",7,"PGEN_.00g021960;PGEN_.00g159800;PGEN_.00g188330;PGEN_.00g209000;PGEN_.00g214760;PGEN_.00g249480;PGEN_.00g287530","Day21_magenta"
"4","translation factor activity, RNA bi...","GO:0008135",1,"GO:0003746","GO:0003746",2,"PGEN_.00g210730;PGEN_.00g235390","Day21_magenta"
"5","isomerase activity","GO:0016853",1,"GO:0003756","GO:0003756",3,"PGEN_.00g117300;PGEN_.00g199660;PGEN_.00g297980","Day21_magenta"
"6","peptidase activity","GO:0008233",2,"GO:0004298","GO:0004298;GO:0008234",4,"PGEN_.00g019210;PGEN_.00g110360;PGEN_.00g116480;PGEN_.00g150010","Day21_magenta"
"7","enzyme regulator activity","GO:0030234",1,"GO:0004860","GO:0004860",2,"PGEN_.00g122460;PGEN_.00g209070","Day21_magenta"
"8","ion binding","GO:0043167",4,"GO:0005524","GO:0005524;GO:0005525;GO:0016597;GO:0043531",36,"PGEN_.00g033030;PGEN_.00g033890;PGEN_.00g042000;PGEN_.00g042450;PGEN_.00g061000;PGEN_.00g072380;PGEN_.00g088660;PGEN_.00g093050;PGEN_.00g110440;PGEN_.00g145470;PGEN_.00g145740;PGEN_.00g154880;PGEN_.00g176570;PGEN_.00g183890;PGEN_.00g187300;PGEN_.00g188120;PGEN_.00g204280;PGEN_.00g206570;PGEN_.00g208330;PGEN_.00g209070;PGEN_.00g210730;PGEN_.00g213730;PGEN_.00g228900;PGEN_.00g235390;PGEN_.00g258190;PGEN_.00g270460;PGEN_.00g271390;PGEN_.00g274350;PGEN_.00g299330;PGEN_.00g306480;PGEN_.00g321630;PGEN_.00g323140;PGEN_.00g338640;PGEN_.00g339830;PGEN_.00g342850;PGEN_.00g342950","Day21_magenta"
"9","cytoskeletal protein binding","GO:0008092",2,"GO:0008017","GO:0008017;GO:0015631",9,"PGEN_.00g004170;PGEN_.00g013740;PGEN_.00g033030;PGEN_.00g044290;PGEN_.00g044320;PGEN_.00g072380;PGEN_.00g176570;PGEN_.00g306480;PGEN_.00g321630","Day21_magenta"
"10","oxidoreductase activity","GO:0016491",1,"GO:0015037","GO:0015037",3,"PGEN_.00g117300;PGEN_.00g199660;PGEN_.00g297980","Day21_magenta"
"11","transmembrane transporter activity","GO:0022857",1,"GO:0015129","GO:0015129",2,"PGEN_.00g110490;PGEN_.00g112100","Day21_magenta"
"12","histone binding","GO:0042393",2,"GO:0035064","GO:0035064",2,"PGEN_.00g082940;PGEN_.00g192900","Day21_magenta"
"13","enzyme binding","GO:0019899",1,"GO:0051020","GO:0051020",3,"PGEN_.00g030980;PGEN_.00g213730;PGEN_.00g228900","Day21_magenta"
