"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","RNA binding","GO:0003723",2,"GO:0003729","GO:0003729;GO:0035197",10,"PGEN_.00g020370;PGEN_.00g041110;PGEN_.00g046670;PGEN_.00g051170;PGEN_.00g053040;PGEN_.00g077840;PGEN_.00g143080;PGEN_.00g196640;PGEN_.00g202750;PGEN_.00g283300","Day21_red"
"2","oxidoreductase activity","GO:0016491",1,"GO:0003958","GO:0003958",2,"PGEN_.00g144370;PGEN_.00g146860","Day21_red"
"3","phosphatase activity","GO:0016791",2,"GO:0004063","GO:0004063;GO:0043812",4,"PGEN_.00g001620;PGEN_.00g185800;PGEN_.00g255880;PGEN_.00g335720","Day21_red"
"4","kinase activity","GO:0016301",2,"GO:0004674","GO:0004674;GO:0008440",25,"PGEN_.00g007520;PGEN_.00g019700;PGEN_.00g019740;PGEN_.00g056200;PGEN_.00g056460;PGEN_.00g068120;PGEN_.00g073370;PGEN_.00g140070;PGEN_.00g145700;PGEN_.00g164800;PGEN_.00g201990;PGEN_.00g215910;PGEN_.00g220820;PGEN_.00g279050;PGEN_.00g280220;PGEN_.00g306720;PGEN_.00g321880;PGEN_.00g322890;PGEN_.00g330340;PGEN_.00g330670;PGEN_.00g330680;PGEN_.00g332680;PGEN_.00g333140;PGEN_.00g335030;PGEN_.00g341690","Day21_red"
"5","ion binding","GO:0043167",3,"GO:0005524","GO:0005524;GO:0031402;GO:0046872",154,"PGEN_.00g004180;PGEN_.00g004940;PGEN_.00g005330;PGEN_.00g007520;PGEN_.00g008320;PGEN_.00g009780;PGEN_.00g014630;PGEN_.00g019700;PGEN_.00g019740;PGEN_.00g027270;PGEN_.00g030880;PGEN_.00g031720;PGEN_.00g035360;PGEN_.00g036410;PGEN_.00g040510;PGEN_.00g041840;PGEN_.00g043010;PGEN_.00g044130;PGEN_.00g047770;PGEN_.00g048590;PGEN_.00g052730;PGEN_.00g055470;PGEN_.00g055800;PGEN_.00g056200;PGEN_.00g056460;PGEN_.00g058240;PGEN_.00g060410;PGEN_.00g062850;PGEN_.00g063140;PGEN_.00g065880;PGEN_.00g068120;PGEN_.00g068700;PGEN_.00g070310;PGEN_.00g070940;PGEN_.00g072340;PGEN_.00g073370;PGEN_.00g077890;PGEN_.00g077930;PGEN_.00g080210;PGEN_.00g087180;PGEN_.00g088380;PGEN_.00g089900;PGEN_.00g090980;PGEN_.00g101290;PGEN_.00g103460;PGEN_.00g110770;PGEN_.00g113470;PGEN_.00g113530;PGEN_.00g114720;PGEN_.00g126680;PGEN_.00g127770;PGEN_.00g129980;PGEN_.00g132650;PGEN_.00g133850;PGEN_.00g134590;PGEN_.00g134840;PGEN_.00g136940;PGEN_.00g138340;PGEN_.00g139700;PGEN_.00g140070;PGEN_.00g142480;PGEN_.00g143080;PGEN_.00g144140;PGEN_.00g145700;PGEN_.00g148030;PGEN_.00g149210;PGEN_.00g150480;PGEN_.00g151640;PGEN_.00g159950;PGEN_.00g160820;PGEN_.00g164720;PGEN_.00g164800;PGEN_.00g170510;PGEN_.00g171770;PGEN_.00g175440;PGEN_.00g177110;PGEN_.00g177880;PGEN_.00g179680;PGEN_.00g186470;PGEN_.00g186870;PGEN_.00g188040;PGEN_.00g193700;PGEN_.00g200590;PGEN_.00g201990;PGEN_.00g203870;PGEN_.00g205570;PGEN_.00g206280;PGEN_.00g206470;PGEN_.00g211940;PGEN_.00g213450;PGEN_.00g215910;PGEN_.00g220820;PGEN_.00g221600;PGEN_.00g228480;PGEN_.00g230610;PGEN_.00g232000;PGEN_.00g243680;PGEN_.00g243780;PGEN_.00g245760;PGEN_.00g249840;PGEN_.00g251740;PGEN_.00g252370;PGEN_.00g254330;PGEN_.00g256850;PGEN_.00g260620;PGEN_.00g262100;PGEN_.00g266170;PGEN_.00g266210;PGEN_.00g266390;PGEN_.00g266590;PGEN_.00g266630;PGEN_.00g267370;PGEN_.00g267550;PGEN_.00g270470;PGEN_.00g271380;PGEN_.00g275080;PGEN_.00g278670;PGEN_.00g279050;PGEN_.00g280220;PGEN_.00g283300;PGEN_.00g283960;PGEN_.00g284630;PGEN_.00g291750;PGEN_.00g292370;PGEN_.00g293060;PGEN_.00g296350;PGEN_.00g302360;PGEN_.00g306720;PGEN_.00g308170;PGEN_.00g308510;PGEN_.00g308900;PGEN_.00g313950;PGEN_.00g314560;PGEN_.00g314760;PGEN_.00g315140;PGEN_.00g315350;PGEN_.00g320370;PGEN_.00g321640;PGEN_.00g321880;PGEN_.00g322890;PGEN_.00g323920;PGEN_.00g325120;PGEN_.00g325720;PGEN_.00g330340;PGEN_.00g330670;PGEN_.00g330680;PGEN_.00g332680;PGEN_.00g333140;PGEN_.00g335030;PGEN_.00g336660;PGEN_.00g338720;PGEN_.00g341570;PGEN_.00g341690;PGEN_.00g347160","Day21_red"
"6","ATPase activity","GO:0016887",2,"GO:0008094","GO:0008094;GO:0043139",4,"PGEN_.00g014630;PGEN_.00g087180;PGEN_.00g134590;PGEN_.00g262100","Day21_red"
"7","DNA binding","GO:0003677",3,"GO:0008327","GO:0008327;GO:0032137",4,"PGEN_.00g135950;PGEN_.00g202750;PGEN_.00g266590;PGEN_.00g266630","Day21_red"
"8","nuclease activity","GO:0004518",3,"GO:0008409","GO:0008409;GO:0017108",4,"PGEN_.00g030880;PGEN_.00g053040;PGEN_.00g065880;PGEN_.00g134590","Day21_red"
"9","transmembrane transporter activity","GO:0022857",3,"GO:0015179","GO:0015179;GO:0032217;GO:0046873",8,"PGEN_.00g055800;PGEN_.00g156200;PGEN_.00g178020;PGEN_.00g189680;PGEN_.00g189690;PGEN_.00g283110;PGEN_.00g314560;PGEN_.00g315350","Day21_red"
"10","transferase activity, transferring ...","GO:0016746",2,"GO:0016409","GO:0016409;GO:0019706",3,"PGEN_.00g059100;PGEN_.00g175860;PGEN_.00g176350","Day21_red"
