"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0006631",13,0.00505455941161023,0.998354373492389,11,73,"fatty acid metabolic process","BP","blue","Day21","lipid metabolic process","PGEN_.00g033320;PGEN_.00g049060;PGEN_.00g154780;PGEN_.00g160790;PGEN_.00g177020;PGEN_.00g177440;PGEN_.00g194480;PGEN_.00g194630;PGEN_.00g234660;PGEN_.00g244610;PGEN_.00g267170"
"2","GO:0006631",13,0.00505455941161023,0.998354373492389,11,73,"fatty acid metabolic process","BP","blue","Day21","small molecule metabolic process","PGEN_.00g033320;PGEN_.00g049060;PGEN_.00g154780;PGEN_.00g160790;PGEN_.00g177020;PGEN_.00g177440;PGEN_.00g194480;PGEN_.00g194630;PGEN_.00g234660;PGEN_.00g244610;PGEN_.00g267170"
"3","GO:0006869",9,0.00183756824378147,0.999432689894011,13,57,"lipid transport","BP","blue","Day21","transport","PGEN_.00g006210;PGEN_.00g008030;PGEN_.00g008070;PGEN_.00g012190;PGEN_.00g013560;PGEN_.00g020290;PGEN_.00g021240;PGEN_.00g022820;PGEN_.00g024130;PGEN_.00g024630;PGEN_.00g026480;PGEN_.00g030380;PGEN_.00g032460;PGEN_.00g034470;PGEN_.00g034480;PGEN_.00g035110;PGEN_.00g036040;PGEN_.00g037810;PGEN_.00g040080;PGEN_.00g040090;PGEN_.00g041520;PGEN_.00g043260;PGEN_.00g050660;PGEN_.00g052880;PGEN_.00g054860;PGEN_.00g056330;PGEN_.00g062340;PGEN_.00g071930;PGEN_.00g075760;PGEN_.00g075780;PGEN_.00g077860;PGEN_.00g079020;PGEN_.00g079680;PGEN_.00g080000;PGEN_.00g080030;PGEN_.00g083720;PGEN_.00g100450;PGEN_.00g103380;PGEN_.00g108790;PGEN_.00g114300;PGEN_.00g114930;PGEN_.00g127920;PGEN_.00g131980;PGEN_.00g132070;PGEN_.00g132090;PGEN_.00g134530;PGEN_.00g147170;PGEN_.00g147870;PGEN_.00g148510;PGEN_.00g149140;PGEN_.00g150640;PGEN_.00g155710;PGEN_.00g156310;PGEN_.00g157600;PGEN_.00g162260;PGEN_.00g166220;PGEN_.00g166570;PGEN_.00g171520;PGEN_.00g178110;PGEN_.00g180380;PGEN_.00g181780;PGEN_.00g184620;PGEN_.00g185010;PGEN_.00g185910;PGEN_.00g186210;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g199150;PGEN_.00g199700;PGEN_.00g205320;PGEN_.00g205330;PGEN_.00g205400;PGEN_.00g205860;PGEN_.00g207950;PGEN_.00g208710;PGEN_.00g208790;PGEN_.00g210520;PGEN_.00g212320;PGEN_.00g214470;PGEN_.00g219400;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g238470;PGEN_.00g240510;PGEN_.00g243370;PGEN_.00g246740;PGEN_.00g249860;PGEN_.00g254890;PGEN_.00g255300;PGEN_.00g257240;PGEN_.00g257250;PGEN_.00g262850;PGEN_.00g272730;PGEN_.00g273940;PGEN_.00g277740;PGEN_.00g279590;PGEN_.00g282910;PGEN_.00g283520;PGEN_.00g284150;PGEN_.00g285320;PGEN_.00g290440;PGEN_.00g294670;PGEN_.00g297280;PGEN_.00g305230;PGEN_.00g305670;PGEN_.00g305960;PGEN_.00g313720;PGEN_.00g313730;PGEN_.00g313920;PGEN_.00g316080;PGEN_.00g319270;PGEN_.00g323600;PGEN_.00g325430;PGEN_.00g328600;PGEN_.00g331010;PGEN_.00g331740;PGEN_.00g331940;PGEN_.00g332010"
"4","GO:0006886",1,1.96892703808892e-07,0.999999934957434,37,184,"intracellular protein transport","BP","blue","Day21","protein transport","PGEN_.00g006210;PGEN_.00g012190;PGEN_.00g013560;PGEN_.00g021240;PGEN_.00g024130;PGEN_.00g026480;PGEN_.00g032460;PGEN_.00g040080;PGEN_.00g040090;PGEN_.00g054860;PGEN_.00g083720;PGEN_.00g100450;PGEN_.00g127920;PGEN_.00g131980;PGEN_.00g132090;PGEN_.00g134530;PGEN_.00g147170;PGEN_.00g149140;PGEN_.00g155710;PGEN_.00g162260;PGEN_.00g166220;PGEN_.00g180380;PGEN_.00g181780;PGEN_.00g185010;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g199700;PGEN_.00g208790;PGEN_.00g210520;PGEN_.00g262850;PGEN_.00g272730;PGEN_.00g290440;PGEN_.00g305230;PGEN_.00g305960;PGEN_.00g313920;PGEN_.00g325430;PGEN_.00g331740"
"5","GO:0006886",1,1.96892703808892e-07,0.999999934957434,37,184,"intracellular protein transport","BP","blue","Day21","transport","PGEN_.00g006210;PGEN_.00g008030;PGEN_.00g008070;PGEN_.00g012190;PGEN_.00g013560;PGEN_.00g020290;PGEN_.00g021240;PGEN_.00g022820;PGEN_.00g024130;PGEN_.00g024630;PGEN_.00g026480;PGEN_.00g030380;PGEN_.00g032460;PGEN_.00g034470;PGEN_.00g034480;PGEN_.00g035110;PGEN_.00g036040;PGEN_.00g037810;PGEN_.00g040080;PGEN_.00g040090;PGEN_.00g041520;PGEN_.00g043260;PGEN_.00g050660;PGEN_.00g052880;PGEN_.00g054860;PGEN_.00g056330;PGEN_.00g062340;PGEN_.00g071930;PGEN_.00g075760;PGEN_.00g075780;PGEN_.00g077860;PGEN_.00g079020;PGEN_.00g079680;PGEN_.00g080000;PGEN_.00g080030;PGEN_.00g083720;PGEN_.00g100450;PGEN_.00g103380;PGEN_.00g108790;PGEN_.00g114300;PGEN_.00g114930;PGEN_.00g127920;PGEN_.00g131980;PGEN_.00g132070;PGEN_.00g132090;PGEN_.00g134530;PGEN_.00g147170;PGEN_.00g147870;PGEN_.00g148510;PGEN_.00g149140;PGEN_.00g150640;PGEN_.00g155710;PGEN_.00g156310;PGEN_.00g157600;PGEN_.00g162260;PGEN_.00g166220;PGEN_.00g166570;PGEN_.00g171520;PGEN_.00g178110;PGEN_.00g180380;PGEN_.00g181780;PGEN_.00g184620;PGEN_.00g185010;PGEN_.00g185910;PGEN_.00g186210;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g199150;PGEN_.00g199700;PGEN_.00g205320;PGEN_.00g205330;PGEN_.00g205400;PGEN_.00g205860;PGEN_.00g207950;PGEN_.00g208710;PGEN_.00g208790;PGEN_.00g210520;PGEN_.00g212320;PGEN_.00g214470;PGEN_.00g219400;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g238470;PGEN_.00g240510;PGEN_.00g243370;PGEN_.00g246740;PGEN_.00g249860;PGEN_.00g254890;PGEN_.00g255300;PGEN_.00g257240;PGEN_.00g257250;PGEN_.00g262850;PGEN_.00g272730;PGEN_.00g273940;PGEN_.00g277740;PGEN_.00g279590;PGEN_.00g282910;PGEN_.00g283520;PGEN_.00g284150;PGEN_.00g285320;PGEN_.00g290440;PGEN_.00g294670;PGEN_.00g297280;PGEN_.00g305230;PGEN_.00g305670;PGEN_.00g305960;PGEN_.00g313720;PGEN_.00g313730;PGEN_.00g313920;PGEN_.00g316080;PGEN_.00g319270;PGEN_.00g323600;PGEN_.00g325430;PGEN_.00g328600;PGEN_.00g331010;PGEN_.00g331740;PGEN_.00g331940;PGEN_.00g332010"
"6","GO:0006897",17,0.0118361826739991,0.994177651088296,20,143,"endocytosis","BP","blue","Day21","transport","PGEN_.00g006210;PGEN_.00g008030;PGEN_.00g008070;PGEN_.00g012190;PGEN_.00g013560;PGEN_.00g020290;PGEN_.00g021240;PGEN_.00g022820;PGEN_.00g024130;PGEN_.00g024630;PGEN_.00g026480;PGEN_.00g030380;PGEN_.00g032460;PGEN_.00g034470;PGEN_.00g034480;PGEN_.00g035110;PGEN_.00g036040;PGEN_.00g037810;PGEN_.00g040080;PGEN_.00g040090;PGEN_.00g041520;PGEN_.00g043260;PGEN_.00g050660;PGEN_.00g052880;PGEN_.00g054860;PGEN_.00g056330;PGEN_.00g062340;PGEN_.00g071930;PGEN_.00g075760;PGEN_.00g075780;PGEN_.00g077860;PGEN_.00g079020;PGEN_.00g079680;PGEN_.00g080000;PGEN_.00g080030;PGEN_.00g083720;PGEN_.00g100450;PGEN_.00g103380;PGEN_.00g108790;PGEN_.00g114300;PGEN_.00g114930;PGEN_.00g127920;PGEN_.00g131980;PGEN_.00g132070;PGEN_.00g132090;PGEN_.00g134530;PGEN_.00g147170;PGEN_.00g147870;PGEN_.00g148510;PGEN_.00g149140;PGEN_.00g150640;PGEN_.00g155710;PGEN_.00g156310;PGEN_.00g157600;PGEN_.00g162260;PGEN_.00g166220;PGEN_.00g166570;PGEN_.00g171520;PGEN_.00g178110;PGEN_.00g180380;PGEN_.00g181780;PGEN_.00g184620;PGEN_.00g185010;PGEN_.00g185910;PGEN_.00g186210;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g199150;PGEN_.00g199700;PGEN_.00g205320;PGEN_.00g205330;PGEN_.00g205400;PGEN_.00g205860;PGEN_.00g207950;PGEN_.00g208710;PGEN_.00g208790;PGEN_.00g210520;PGEN_.00g212320;PGEN_.00g214470;PGEN_.00g219400;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g238470;PGEN_.00g240510;PGEN_.00g243370;PGEN_.00g246740;PGEN_.00g249860;PGEN_.00g254890;PGEN_.00g255300;PGEN_.00g257240;PGEN_.00g257250;PGEN_.00g262850;PGEN_.00g272730;PGEN_.00g273940;PGEN_.00g277740;PGEN_.00g279590;PGEN_.00g282910;PGEN_.00g283520;PGEN_.00g284150;PGEN_.00g285320;PGEN_.00g290440;PGEN_.00g294670;PGEN_.00g297280;PGEN_.00g305230;PGEN_.00g305670;PGEN_.00g305960;PGEN_.00g313720;PGEN_.00g313730;PGEN_.00g313920;PGEN_.00g316080;PGEN_.00g319270;PGEN_.00g323600;PGEN_.00g325430;PGEN_.00g328600;PGEN_.00g331010;PGEN_.00g331740;PGEN_.00g331940;PGEN_.00g332010"
"7","GO:0006897",17,0.0118361826739991,0.994177651088296,20,143,"endocytosis","BP","blue","Day21","vesicle-mediated transport","PGEN_.00g020290;PGEN_.00g024130;PGEN_.00g024630;PGEN_.00g035110;PGEN_.00g050660;PGEN_.00g056330;PGEN_.00g062340;PGEN_.00g075760;PGEN_.00g079680;PGEN_.00g108790;PGEN_.00g114300;PGEN_.00g127920;PGEN_.00g132070;PGEN_.00g132090;PGEN_.00g147170;PGEN_.00g157600;PGEN_.00g185010;PGEN_.00g185910;PGEN_.00g186210;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g205400;PGEN_.00g208710;PGEN_.00g212320;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g240510;PGEN_.00g243370;PGEN_.00g249860;PGEN_.00g257240;PGEN_.00g257250;PGEN_.00g282910;PGEN_.00g283520;PGEN_.00g284150;PGEN_.00g297280;PGEN_.00g313720;PGEN_.00g313730;PGEN_.00g323600;PGEN_.00g328600"
"8","GO:0006914",15,0.00603291640711158,0.997687196913807,14,86,"autophagy","BP","blue","Day21","catabolic process","PGEN_.00g003240;PGEN_.00g006380;PGEN_.00g014140;PGEN_.00g021240;PGEN_.00g025650;PGEN_.00g035110;PGEN_.00g051140;PGEN_.00g067870;PGEN_.00g069760;PGEN_.00g103520;PGEN_.00g127920;PGEN_.00g147170;PGEN_.00g193090;PGEN_.00g193120;PGEN_.00g208780;PGEN_.00g208790;PGEN_.00g210520;PGEN_.00g228750;PGEN_.00g262850;PGEN_.00g274640;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g323120;PGEN_.00g328600;PGEN_.00g331110;PGEN_.00g345680;PGEN_.00g348160"
"9","GO:0015031",3,1.60461476670884e-05,0.999992941892013,43,287,"protein transport","BP","blue","Day21","transport","PGEN_.00g006210;PGEN_.00g008030;PGEN_.00g008070;PGEN_.00g012190;PGEN_.00g013560;PGEN_.00g020290;PGEN_.00g021240;PGEN_.00g022820;PGEN_.00g024130;PGEN_.00g024630;PGEN_.00g026480;PGEN_.00g030380;PGEN_.00g032460;PGEN_.00g034470;PGEN_.00g034480;PGEN_.00g035110;PGEN_.00g036040;PGEN_.00g037810;PGEN_.00g040080;PGEN_.00g040090;PGEN_.00g041520;PGEN_.00g043260;PGEN_.00g050660;PGEN_.00g052880;PGEN_.00g054860;PGEN_.00g056330;PGEN_.00g062340;PGEN_.00g071930;PGEN_.00g075760;PGEN_.00g075780;PGEN_.00g077860;PGEN_.00g079020;PGEN_.00g079680;PGEN_.00g080000;PGEN_.00g080030;PGEN_.00g083720;PGEN_.00g100450;PGEN_.00g103380;PGEN_.00g108790;PGEN_.00g114300;PGEN_.00g114930;PGEN_.00g127920;PGEN_.00g131980;PGEN_.00g132070;PGEN_.00g132090;PGEN_.00g134530;PGEN_.00g147170;PGEN_.00g147870;PGEN_.00g148510;PGEN_.00g149140;PGEN_.00g150640;PGEN_.00g155710;PGEN_.00g156310;PGEN_.00g157600;PGEN_.00g162260;PGEN_.00g166220;PGEN_.00g166570;PGEN_.00g171520;PGEN_.00g178110;PGEN_.00g180380;PGEN_.00g181780;PGEN_.00g184620;PGEN_.00g185010;PGEN_.00g185910;PGEN_.00g186210;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g199150;PGEN_.00g199700;PGEN_.00g205320;PGEN_.00g205330;PGEN_.00g205400;PGEN_.00g205860;PGEN_.00g207950;PGEN_.00g208710;PGEN_.00g208790;PGEN_.00g210520;PGEN_.00g212320;PGEN_.00g214470;PGEN_.00g219400;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g238470;PGEN_.00g240510;PGEN_.00g243370;PGEN_.00g246740;PGEN_.00g249860;PGEN_.00g254890;PGEN_.00g255300;PGEN_.00g257240;PGEN_.00g257250;PGEN_.00g262850;PGEN_.00g272730;PGEN_.00g273940;PGEN_.00g277740;PGEN_.00g279590;PGEN_.00g282910;PGEN_.00g283520;PGEN_.00g284150;PGEN_.00g285320;PGEN_.00g290440;PGEN_.00g294670;PGEN_.00g297280;PGEN_.00g305230;PGEN_.00g305670;PGEN_.00g305960;PGEN_.00g313720;PGEN_.00g313730;PGEN_.00g313920;PGEN_.00g316080;PGEN_.00g319270;PGEN_.00g323600;PGEN_.00g325430;PGEN_.00g328600;PGEN_.00g331010;PGEN_.00g331740;PGEN_.00g331940;PGEN_.00g332010"
"10","GO:0016192",8,0.00133106236287978,0.999516651731529,17,99,"vesicle-mediated transport","BP","blue","Day21","transport","PGEN_.00g006210;PGEN_.00g008030;PGEN_.00g008070;PGEN_.00g012190;PGEN_.00g013560;PGEN_.00g020290;PGEN_.00g021240;PGEN_.00g022820;PGEN_.00g024130;PGEN_.00g024630;PGEN_.00g026480;PGEN_.00g030380;PGEN_.00g032460;PGEN_.00g034470;PGEN_.00g034480;PGEN_.00g035110;PGEN_.00g036040;PGEN_.00g037810;PGEN_.00g040080;PGEN_.00g040090;PGEN_.00g041520;PGEN_.00g043260;PGEN_.00g050660;PGEN_.00g052880;PGEN_.00g054860;PGEN_.00g056330;PGEN_.00g062340;PGEN_.00g071930;PGEN_.00g075760;PGEN_.00g075780;PGEN_.00g077860;PGEN_.00g079020;PGEN_.00g079680;PGEN_.00g080000;PGEN_.00g080030;PGEN_.00g083720;PGEN_.00g100450;PGEN_.00g103380;PGEN_.00g108790;PGEN_.00g114300;PGEN_.00g114930;PGEN_.00g127920;PGEN_.00g131980;PGEN_.00g132070;PGEN_.00g132090;PGEN_.00g134530;PGEN_.00g147170;PGEN_.00g147870;PGEN_.00g148510;PGEN_.00g149140;PGEN_.00g150640;PGEN_.00g155710;PGEN_.00g156310;PGEN_.00g157600;PGEN_.00g162260;PGEN_.00g166220;PGEN_.00g166570;PGEN_.00g171520;PGEN_.00g178110;PGEN_.00g180380;PGEN_.00g181780;PGEN_.00g184620;PGEN_.00g185010;PGEN_.00g185910;PGEN_.00g186210;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g199150;PGEN_.00g199700;PGEN_.00g205320;PGEN_.00g205330;PGEN_.00g205400;PGEN_.00g205860;PGEN_.00g207950;PGEN_.00g208710;PGEN_.00g208790;PGEN_.00g210520;PGEN_.00g212320;PGEN_.00g214470;PGEN_.00g219400;PGEN_.00g229320;PGEN_.00g229340;PGEN_.00g238470;PGEN_.00g240510;PGEN_.00g243370;PGEN_.00g246740;PGEN_.00g249860;PGEN_.00g254890;PGEN_.00g255300;PGEN_.00g257240;PGEN_.00g257250;PGEN_.00g262850;PGEN_.00g272730;PGEN_.00g273940;PGEN_.00g277740;PGEN_.00g279590;PGEN_.00g282910;PGEN_.00g283520;PGEN_.00g284150;PGEN_.00g285320;PGEN_.00g290440;PGEN_.00g294670;PGEN_.00g297280;PGEN_.00g305230;PGEN_.00g305670;PGEN_.00g305960;PGEN_.00g313720;PGEN_.00g313730;PGEN_.00g313920;PGEN_.00g316080;PGEN_.00g319270;PGEN_.00g323600;PGEN_.00g325430;PGEN_.00g328600;PGEN_.00g331010;PGEN_.00g331740;PGEN_.00g331940;PGEN_.00g332010"
