"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0000122",10,0.00133922104234304,0.99947719500245,18,402,"negative regulation of transcription by RNA polymerase II","BP","pink","Day21","biosynthetic process","PGEN_.00g002230;PGEN_.00g006280;PGEN_.00g006290;PGEN_.00g009980;PGEN_.00g012340;PGEN_.00g012890;PGEN_.00g019830;PGEN_.00g030670;PGEN_.00g047730;PGEN_.00g048200;PGEN_.00g053860;PGEN_.00g055720;PGEN_.00g081800;PGEN_.00g083640;PGEN_.00g086520;PGEN_.00g089770;PGEN_.00g104790;PGEN_.00g112400;PGEN_.00g155000;PGEN_.00g165840;PGEN_.00g170430;PGEN_.00g173070;PGEN_.00g176580;PGEN_.00g200160;PGEN_.00g205690;PGEN_.00g222910;PGEN_.00g226380;PGEN_.00g243700;PGEN_.00g245360;PGEN_.00g248150;PGEN_.00g248180;PGEN_.00g248800;PGEN_.00g249890;PGEN_.00g256280;PGEN_.00g256920;PGEN_.00g279490;PGEN_.00g302300;PGEN_.00g305680;PGEN_.00g324000;PGEN_.00g324750"
"2","GO:0000122",10,0.00133922104234304,0.99947719500245,18,402,"negative regulation of transcription by RNA polymerase II","BP","pink","Day21","cellular nitrogen compound metaboli...","PGEN_.00g002230;PGEN_.00g006280;PGEN_.00g006290;PGEN_.00g009980;PGEN_.00g012340;PGEN_.00g012890;PGEN_.00g019830;PGEN_.00g030670;PGEN_.00g047730;PGEN_.00g048200;PGEN_.00g053860;PGEN_.00g055720;PGEN_.00g081800;PGEN_.00g083640;PGEN_.00g086520;PGEN_.00g089770;PGEN_.00g104790;PGEN_.00g112400;PGEN_.00g155000;PGEN_.00g165840;PGEN_.00g170430;PGEN_.00g173070;PGEN_.00g176580;PGEN_.00g200160;PGEN_.00g205690;PGEN_.00g222910;PGEN_.00g226380;PGEN_.00g243700;PGEN_.00g245360;PGEN_.00g248150;PGEN_.00g248180;PGEN_.00g248800;PGEN_.00g249890;PGEN_.00g256280;PGEN_.00g256920;PGEN_.00g279490;PGEN_.00g302300;PGEN_.00g305680;PGEN_.00g324000;PGEN_.00g324750"
"3","GO:0002040",2,4.65432671037191e-09,0.999999999641245,12,54,"sprouting angiogenesis","BP","pink","Day21","anatomical structure development","PGEN_.00g010670;PGEN_.00g010690;PGEN_.00g063070;PGEN_.00g064570;PGEN_.00g064580;PGEN_.00g064590;PGEN_.00g064600;PGEN_.00g064610;PGEN_.00g064620;PGEN_.00g182540;PGEN_.00g182630;PGEN_.00g182650"
"4","GO:0002040",2,4.65432671037191e-09,0.999999999641245,12,54,"sprouting angiogenesis","BP","pink","Day21","anatomical structure formation invo...","PGEN_.00g010670;PGEN_.00g010690;PGEN_.00g063070;PGEN_.00g064570;PGEN_.00g064580;PGEN_.00g064590;PGEN_.00g064600;PGEN_.00g064610;PGEN_.00g064620;PGEN_.00g182540;PGEN_.00g182630;PGEN_.00g182650"
"5","GO:0006511",6,2.26948212511751e-05,0.99999402681595,17,230,"ubiquitin-dependent protein catabolic process","BP","pink","Day21","catabolic process","PGEN_.00g010670;PGEN_.00g010690;PGEN_.00g063070;PGEN_.00g064570;PGEN_.00g064580;PGEN_.00g064590;PGEN_.00g064600;PGEN_.00g064610;PGEN_.00g064620;PGEN_.00g128360;PGEN_.00g150610;PGEN_.00g182540;PGEN_.00g182630;PGEN_.00g182650;PGEN_.00g183530;PGEN_.00g239600;PGEN_.00g248150"
"6","GO:0006915",9,0.00118332382029504,0.999573672251736,16,308,"apoptotic process","BP","pink","Day21","cell death","PGEN_.00g009410;PGEN_.00g012340;PGEN_.00g012890;PGEN_.00g023400;PGEN_.00g036880;PGEN_.00g048200;PGEN_.00g064380;PGEN_.00g071850;PGEN_.00g072730;PGEN_.00g087030;PGEN_.00g089770;PGEN_.00g092020;PGEN_.00g104790;PGEN_.00g122440;PGEN_.00g127730;PGEN_.00g131350;PGEN_.00g132130;PGEN_.00g150610;PGEN_.00g176580;PGEN_.00g192120;PGEN_.00g200160;PGEN_.00g240240;PGEN_.00g250420;PGEN_.00g279490;PGEN_.00g291950;PGEN_.00g302520;PGEN_.00g313060;PGEN_.00g327960;PGEN_.00g330020"
"7","GO:0016567",5,6.61294706608704e-06,0.999998259265174,19,314,"protein ubiquitination","BP","pink","Day21","cellular protein modification proce...","PGEN_.00g008060;PGEN_.00g010690;PGEN_.00g045780;PGEN_.00g048200;PGEN_.00g063070;PGEN_.00g064570;PGEN_.00g064580;PGEN_.00g091150;PGEN_.00g094060;PGEN_.00g150610;PGEN_.00g155000;PGEN_.00g162530;PGEN_.00g164120;PGEN_.00g182540;PGEN_.00g182630;PGEN_.00g187410;PGEN_.00g200740;PGEN_.00g212520;PGEN_.00g238100;PGEN_.00g246900;PGEN_.00g249890;PGEN_.00g250480;PGEN_.00g250820;PGEN_.00g251680;PGEN_.00g254630;PGEN_.00g296910;PGEN_.00g316170;PGEN_.00g317980;PGEN_.00g323240;PGEN_.00g325940"
"8","GO:0043066",8,0.000776910220884773,0.999741915992125,15,286,"negative regulation of apoptotic process","BP","pink","Day21","cell death","PGEN_.00g009410;PGEN_.00g012340;PGEN_.00g012890;PGEN_.00g023400;PGEN_.00g036880;PGEN_.00g048200;PGEN_.00g064380;PGEN_.00g071850;PGEN_.00g072730;PGEN_.00g087030;PGEN_.00g089770;PGEN_.00g092020;PGEN_.00g104790;PGEN_.00g122440;PGEN_.00g127730;PGEN_.00g131350;PGEN_.00g132130;PGEN_.00g150610;PGEN_.00g176580;PGEN_.00g192120;PGEN_.00g200160;PGEN_.00g240240;PGEN_.00g250420;PGEN_.00g279490;PGEN_.00g291950;PGEN_.00g302520;PGEN_.00g313060;PGEN_.00g327960;PGEN_.00g330020"
"9","GO:0045087",4,5.7943472864112e-06,0.999998554236084,18,298,"innate immune response","BP","pink","Day21","immune system process","PGEN_.00g053860;PGEN_.00g067470;PGEN_.00g089770;PGEN_.00g091150;PGEN_.00g096560;PGEN_.00g132640;PGEN_.00g157390;PGEN_.00g164120;PGEN_.00g165840;PGEN_.00g176580;PGEN_.00g183530;PGEN_.00g203340;PGEN_.00g210210;PGEN_.00g210270;PGEN_.00g236410;PGEN_.00g246900;PGEN_.00g248150;PGEN_.00g248180;PGEN_.00g248800;PGEN_.00g250480;PGEN_.00g251680;PGEN_.00g254630;PGEN_.00g256280;PGEN_.00g256920"
"10","GO:0045087",4,5.7943472864112e-06,0.999998554236084,18,298,"innate immune response","BP","pink","Day21","response to stress","PGEN_.00g053860;PGEN_.00g067470;PGEN_.00g089770;PGEN_.00g091150;PGEN_.00g096560;PGEN_.00g132640;PGEN_.00g157390;PGEN_.00g164120;PGEN_.00g165840;PGEN_.00g176580;PGEN_.00g183530;PGEN_.00g203340;PGEN_.00g210210;PGEN_.00g210270;PGEN_.00g236410;PGEN_.00g246900;PGEN_.00g248150;PGEN_.00g248180;PGEN_.00g248800;PGEN_.00g250480;PGEN_.00g251680;PGEN_.00g254630;PGEN_.00g256280;PGEN_.00g256920"
