"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0000213",108,0.00429970392548774,1,2,2,"tRNA-intron endonuclease activity","MF","turquoise","Day21","nuclease activity","PGEN_.00g299320;PGEN_.00g306010"
"2","GO:0001046",128,0.0277172738852433,0.999016459371179,2,3,"core promoter sequence-specific DNA binding","MF","turquoise","Day21","DNA binding","PGEN_.00g187250;PGEN_.00g214430"
"3","GO:0001103",122,0.0209039420386791,0.996692840389513,4,12,"RNA polymerase II repressing transcription factor binding","MF","turquoise","Day21","transcription factor binding","PGEN_.00g015730;PGEN_.00g015860;PGEN_.00g094000;PGEN_.00g179830"
"4","GO:0001671",137,0.0423122184032556,0.993745706992188,3,10,"ATPase activator activity","MF","turquoise","Day21","enzyme regulator activity","PGEN_.00g011560;PGEN_.00g021180;PGEN_.00g023070;PGEN_.00g147650;PGEN_.00g227670"
"5","GO:0003810",127,0.0266346779177124,0.994190857093832,5,16,"protein-glutamine gamma-glutamyltransferase activity","MF","turquoise","Day21","transferase activity, transferring ...","PGEN_.00g172220;PGEN_.00g177350;PGEN_.00g177380;PGEN_.00g184420;PGEN_.00g280940"
"6","GO:0003950",126,0.0261926459547543,0.989826837749133,10,56,"NAD+ ADP-ribosyltransferase activity","MF","turquoise","Day21","transferase activity, transferring ...","PGEN_.00g165850;PGEN_.00g177090;PGEN_.00g206220;PGEN_.00g245100;PGEN_.00g246750;PGEN_.00g247060;PGEN_.00g250040;PGEN_.00g250530;PGEN_.00g258830;PGEN_.00g316150"
"7","GO:0004017",106,0.00331349138714157,0.999729705552901,4,9,"adenylate kinase activity","MF","turquoise","Day21","kinase activity","PGEN_.00g014120;PGEN_.00g016290;PGEN_.00g017180;PGEN_.00g030920;PGEN_.00g034620;PGEN_.00g035180;PGEN_.00g046220;PGEN_.00g053030;PGEN_.00g056490;PGEN_.00g056780;PGEN_.00g062320;PGEN_.00g062370;PGEN_.00g063840;PGEN_.00g069090;PGEN_.00g072020;PGEN_.00g079740;PGEN_.00g085690;PGEN_.00g089320;PGEN_.00g095260;PGEN_.00g098860;PGEN_.00g117650;PGEN_.00g130130;PGEN_.00g130200;PGEN_.00g138680;PGEN_.00g140080;PGEN_.00g144640;PGEN_.00g147680;PGEN_.00g175740;PGEN_.00g177910;PGEN_.00g184290;PGEN_.00g184640;PGEN_.00g197620;PGEN_.00g197710;PGEN_.00g200450;PGEN_.00g212730;PGEN_.00g213430;PGEN_.00g216710;PGEN_.00g220300;PGEN_.00g223690;PGEN_.00g224420;PGEN_.00g229460;PGEN_.00g231150;PGEN_.00g231160;PGEN_.00g251160;PGEN_.00g258910;PGEN_.00g258920;PGEN_.00g264480;PGEN_.00g266550;PGEN_.00g274340;PGEN_.00g275460;PGEN_.00g281870;PGEN_.00g281890;PGEN_.00g282580;PGEN_.00g287520;PGEN_.00g293460;PGEN_.00g316320;PGEN_.00g322810;PGEN_.00g332760;PGEN_.00g332770;PGEN_.00g337470;PGEN_.00g337480"
"8","GO:0004111",115,0.0141748063354063,0.999651221372642,2,3,"creatine kinase activity","MF","turquoise","Day21","kinase activity","PGEN_.00g014120;PGEN_.00g016290;PGEN_.00g017180;PGEN_.00g030920;PGEN_.00g034620;PGEN_.00g035180;PGEN_.00g046220;PGEN_.00g053030;PGEN_.00g056490;PGEN_.00g056780;PGEN_.00g062320;PGEN_.00g062370;PGEN_.00g063840;PGEN_.00g069090;PGEN_.00g072020;PGEN_.00g079740;PGEN_.00g085690;PGEN_.00g089320;PGEN_.00g095260;PGEN_.00g098860;PGEN_.00g117650;PGEN_.00g130130;PGEN_.00g130200;PGEN_.00g138680;PGEN_.00g140080;PGEN_.00g144640;PGEN_.00g147680;PGEN_.00g175740;PGEN_.00g177910;PGEN_.00g184290;PGEN_.00g184640;PGEN_.00g197620;PGEN_.00g197710;PGEN_.00g200450;PGEN_.00g212730;PGEN_.00g213430;PGEN_.00g216710;PGEN_.00g220300;PGEN_.00g223690;PGEN_.00g224420;PGEN_.00g229460;PGEN_.00g231150;PGEN_.00g231160;PGEN_.00g251160;PGEN_.00g258910;PGEN_.00g258920;PGEN_.00g264480;PGEN_.00g266550;PGEN_.00g274340;PGEN_.00g275460;PGEN_.00g281870;PGEN_.00g281890;PGEN_.00g282580;PGEN_.00g287520;PGEN_.00g293460;PGEN_.00g316320;PGEN_.00g322810;PGEN_.00g332760;PGEN_.00g332770;PGEN_.00g337470;PGEN_.00g337480"
"9","GO:0004127",118,0.0154584888420034,0.999601446575736,2,3,"cytidylate kinase activity","MF","turquoise","Day21","kinase activity","PGEN_.00g014120;PGEN_.00g016290;PGEN_.00g017180;PGEN_.00g030920;PGEN_.00g034620;PGEN_.00g035180;PGEN_.00g046220;PGEN_.00g053030;PGEN_.00g056490;PGEN_.00g056780;PGEN_.00g062320;PGEN_.00g062370;PGEN_.00g063840;PGEN_.00g069090;PGEN_.00g072020;PGEN_.00g079740;PGEN_.00g085690;PGEN_.00g089320;PGEN_.00g095260;PGEN_.00g098860;PGEN_.00g117650;PGEN_.00g130130;PGEN_.00g130200;PGEN_.00g138680;PGEN_.00g140080;PGEN_.00g144640;PGEN_.00g147680;PGEN_.00g175740;PGEN_.00g177910;PGEN_.00g184290;PGEN_.00g184640;PGEN_.00g197620;PGEN_.00g197710;PGEN_.00g200450;PGEN_.00g212730;PGEN_.00g213430;PGEN_.00g216710;PGEN_.00g220300;PGEN_.00g223690;PGEN_.00g224420;PGEN_.00g229460;PGEN_.00g231150;PGEN_.00g231160;PGEN_.00g251160;PGEN_.00g258910;PGEN_.00g258920;PGEN_.00g264480;PGEN_.00g266550;PGEN_.00g274340;PGEN_.00g275460;PGEN_.00g281870;PGEN_.00g281890;PGEN_.00g282580;PGEN_.00g287520;PGEN_.00g293460;PGEN_.00g316320;PGEN_.00g322810;PGEN_.00g332760;PGEN_.00g332770;PGEN_.00g337470;PGEN_.00g337480"
"10","GO:0004298",135,0.0399823431640026,0.994083272673834,3,11,"threonine-type endopeptidase activity","MF","turquoise","Day21","peptidase activity","PGEN_.00g019780;PGEN_.00g023620;PGEN_.00g076290;PGEN_.00g187440;PGEN_.00g255080;PGEN_.00g269110;PGEN_.00g301730"
