"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g001500","ion binding",0.00416375039196054,"GO:0061507","cyclic-GMP-AMP binding","MF","yellow","E3 ubiquitin-protein ligase DZIP3"
"2","PGEN_.00g001500","ion binding",0.0434307490604599,"GO:0046872","metal ion binding","MF","yellow","E3 ubiquitin-protein ligase DZIP3"
"3","PGEN_.00g001500","ion binding",0.00416375039196054,"GO:0035438","cyclic-di-GMP binding","MF","yellow","E3 ubiquitin-protein ligase DZIP3"
"4","PGEN_.00g001500","ion binding",0.00766599167382443,"GO:0070905","serine binding","MF","yellow","E3 ubiquitin-protein ligase DZIP3"
"5","PGEN_.00g001690","enzyme binding",0.0190663820138534,"GO:0030676","Rac guanyl-nucleotide exchange factor activity","MF","yellow","TBC1 domain family member 2B"
"6","PGEN_.00g001690","enzyme binding",0.0136736320578528,"GO:0089720","caspase binding","MF","yellow","TBC1 domain family member 2B"
"7","PGEN_.00g001690","enzyme binding",0.000736304971679569,"GO:0031625","ubiquitin protein ligase binding","MF","yellow","TBC1 domain family member 2B"
"8","PGEN_.00g001690","enzyme binding",0.0477553724831103,"GO:0044390","ubiquitin-like protein conjugating enzyme binding","MF","yellow","TBC1 domain family member 2B"
"9","PGEN_.00g001690","enzyme binding",0.0253577935784975,"GO:0008157","protein phosphatase 1 binding","MF","yellow","TBC1 domain family member 2B"
"10","PGEN_.00g001690","enzyme binding",0.00316882785734296,"GO:0017137","Rab GTPase binding","MF","yellow","TBC1 domain family member 2B"
"11","PGEN_.00g001690","enzyme binding",0.0343584271788141,"GO:0030971","receptor tyrosine kinase binding","MF","yellow","TBC1 domain family member 2B"
"12","PGEN_.00g003130","ion binding",0.00766599167382443,"GO:0070905","serine binding","MF","yellow","Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)"
"13","PGEN_.00g003130","ion binding",0.00416375039196054,"GO:0061507","cyclic-GMP-AMP binding","MF","yellow","Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)"
"14","PGEN_.00g003130","ion binding",0.0434307490604599,"GO:0046872","metal ion binding","MF","yellow","Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)"
"15","PGEN_.00g003130","ion binding",0.00416375039196054,"GO:0035438","cyclic-di-GMP binding","MF","yellow","Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)"
"16","PGEN_.00g003300","DNA binding",0.048376904170169,"GO:0043565","sequence-specific DNA binding","MF","yellow","PR domain zinc finger protein 2"
"17","PGEN_.00g004280","kinase activity",0.0194478702041406,"GO:0016303","1-phosphatidylinositol-3-kinase activity","MF","yellow","Tyrosine-protein kinase STK"
"18","PGEN_.00g004280","kinase activity",0.0101327164016324,"GO:0046934","phosphatidylinositol-4,5-bisphosphate 3-kinase activity","MF","yellow","Tyrosine-protein kinase STK"
"19","PGEN_.00g004280","kinase activity",0.0035125270020992,"GO:0035005","1-phosphatidylinositol-4-phosphate 3-kinase activity","MF","yellow","Tyrosine-protein kinase STK"
