"","slim_term","slim_cat","category","Gene.Count","GO.Count","module_day"
"1","biosynthetic process","GO:0009058","GO:0000122",23,15,"Day7_green"
"2","cellular nitrogen compound metaboli...","GO:0034641","GO:0000122",18,12,"Day7_green"
"3","signal transduction","GO:0007165","GO:0001836",11,10,"Day7_green"
"4","immune system process","GO:0002376","GO:0002291",8,10,"Day7_green"
"5","anatomical structure development","GO:0048856","GO:0002329",22,46,"Day7_green"
"6","cell differentiation","GO:0030154","GO:0002329",18,28,"Day7_green"
"7","small molecule metabolic process","GO:0044281","GO:0006163",9,15,"Day7_green"
"8","cellular protein modification proce...","GO:0006464","GO:0006478",8,8,"Day7_green"
"9","lipid metabolic process","GO:0006629","GO:0006641",8,8,"Day7_green"
"10","chromosome organization","GO:0051276","GO:0007079",6,7,"Day7_green"
"11","reproduction","GO:0000003","GO:0007290",5,7,"Day7_green"
"12","transport","GO:0006810","GO:0010875",12,14,"Day7_green"
"13","catabolic process","GO:0009056","GO:0016095",8,7,"Day7_green"
"14","cellular component assembly","GO:0022607","GO:0034379",12,9,"Day7_green"
