"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","DNA binding","GO:0003677",3,"GO:0000976","GO:0000976;GO:0000978",14,"PGEN_.00g019730;PGEN_.00g034140;PGEN_.00g068100;PGEN_.00g083640;PGEN_.00g103860;PGEN_.00g104030;PGEN_.00g104810;PGEN_.00g160860;PGEN_.00g164100;PGEN_.00g197760;PGEN_.00g222910;PGEN_.00g271820;PGEN_.00g283300;PGEN_.00g302170","Day7_yellow"
"2","DNA-binding transcription factor ac...","GO:0003700",2,"GO:0000981","GO:0000981",11,"PGEN_.00g011050;PGEN_.00g017990;PGEN_.00g019730;PGEN_.00g056570;PGEN_.00g083640;PGEN_.00g164100;PGEN_.00g176580;PGEN_.00g197760;PGEN_.00g222910;PGEN_.00g259100;PGEN_.00g302170","Day7_yellow"
"3","ion binding","GO:0043167",4,"GO:0001786","GO:0001786;GO:0005524;GO:0005547;GO:0046872",123,"PGEN_.00g001920;PGEN_.00g006290;PGEN_.00g007330;PGEN_.00g007860;PGEN_.00g007870;PGEN_.00g008400;PGEN_.00g013370;PGEN_.00g014620;PGEN_.00g022810;PGEN_.00g026180;PGEN_.00g030650;PGEN_.00g034750;PGEN_.00g043410;PGEN_.00g044190;PGEN_.00g044420;PGEN_.00g045090;PGEN_.00g047650;PGEN_.00g055470;PGEN_.00g056370;PGEN_.00g056490;PGEN_.00g056570;PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g058570;PGEN_.00g061020;PGEN_.00g063140;PGEN_.00g063200;PGEN_.00g067330;PGEN_.00g071850;PGEN_.00g081280;PGEN_.00g082000;PGEN_.00g083640;PGEN_.00g090980;PGEN_.00g100250;PGEN_.00g104080;PGEN_.00g104170;PGEN_.00g108980;PGEN_.00g109150;PGEN_.00g112690;PGEN_.00g118120;PGEN_.00g118490;PGEN_.00g119410;PGEN_.00g122260;PGEN_.00g122400;PGEN_.00g127070;PGEN_.00g128360;PGEN_.00g131630;PGEN_.00g139740;PGEN_.00g140080;PGEN_.00g140230;PGEN_.00g140560;PGEN_.00g141520;PGEN_.00g141950;PGEN_.00g142260;PGEN_.00g149230;PGEN_.00g158020;PGEN_.00g164700;PGEN_.00g166530;PGEN_.00g170430;PGEN_.00g175210;PGEN_.00g176570;PGEN_.00g181770;PGEN_.00g183190;PGEN_.00g183210;PGEN_.00g183550;PGEN_.00g186060;PGEN_.00g186210;PGEN_.00g192440;PGEN_.00g192790;PGEN_.00g195300;PGEN_.00g195980;PGEN_.00g202790;PGEN_.00g202830;PGEN_.00g204080;PGEN_.00g207030;PGEN_.00g213450;PGEN_.00g213830;PGEN_.00g215560;PGEN_.00g216710;PGEN_.00g220500;PGEN_.00g220600;PGEN_.00g223150;PGEN_.00g223560;PGEN_.00g223990;PGEN_.00g224070;PGEN_.00g224320;PGEN_.00g224980;PGEN_.00g225900;PGEN_.00g227520;PGEN_.00g229460;PGEN_.00g231680;PGEN_.00g231870;PGEN_.00g233710;PGEN_.00g234590;PGEN_.00g238430;PGEN_.00g243080;PGEN_.00g243690;PGEN_.00g244000;PGEN_.00g248070;PGEN_.00g249840;PGEN_.00g251160;PGEN_.00g257480;PGEN_.00g258910;PGEN_.00g259100;PGEN_.00g261650;PGEN_.00g262050;PGEN_.00g262720;PGEN_.00g271100;PGEN_.00g271420;PGEN_.00g274040;PGEN_.00g278670;PGEN_.00g283300;PGEN_.00g302370;PGEN_.00g308890;PGEN_.00g309800;PGEN_.00g311070;PGEN_.00g317310;PGEN_.00g320760;PGEN_.00g322450;PGEN_.00g325640;PGEN_.00g328840;PGEN_.00g329270;PGEN_.00g331910","Day7_yellow"
"4","lipid binding","GO:0008289",2,"GO:0001786","GO:0001786;GO:0005547",9,"PGEN_.00g001920;PGEN_.00g045090;PGEN_.00g056370;PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g127070;PGEN_.00g195300;PGEN_.00g195980;PGEN_.00g238430","Day7_yellow"
"5","cytoskeletal protein binding","GO:0008092",3,"GO:0003779","GO:0003779;GO:0048487;GO:0051011",18,"PGEN_.00g014620;PGEN_.00g057650;PGEN_.00g058570;PGEN_.00g099510;PGEN_.00g139380;PGEN_.00g140090;PGEN_.00g147960;PGEN_.00g164700;PGEN_.00g181830;PGEN_.00g190490;PGEN_.00g198770;PGEN_.00g223100;PGEN_.00g223990;PGEN_.00g224070;PGEN_.00g224980;PGEN_.00g238430;PGEN_.00g238440;PGEN_.00g301490","Day7_yellow"
"6","kinase activity","GO:0016301",4,"GO:0004672","GO:0004672;GO:0004674;GO:0005025",22,"PGEN_.00g055470;PGEN_.00g056490;PGEN_.00g056570;PGEN_.00g118120;PGEN_.00g131630;PGEN_.00g140080;PGEN_.00g141950;PGEN_.00g207030;PGEN_.00g215560;PGEN_.00g216710;PGEN_.00g223150;PGEN_.00g223560;PGEN_.00g224980;PGEN_.00g233710;PGEN_.00g248070;PGEN_.00g251160;PGEN_.00g257480;PGEN_.00g258910;PGEN_.00g262050;PGEN_.00g278670;PGEN_.00g322450;PGEN_.00g329270","Day7_yellow"
"7","enzyme binding","GO:0019899",9,"GO:0005089","GO:0005089;GO:0017048;GO:0019901;GO:0019903;GO:0031267;GO:0031624;GO:0031996;GO:0043422;GO:0048365",30,"PGEN_.00g008400;PGEN_.00g049540;PGEN_.00g051140;PGEN_.00g086160;PGEN_.00g089290;PGEN_.00g093280;PGEN_.00g099510;PGEN_.00g110930;PGEN_.00g131630;PGEN_.00g140090;PGEN_.00g140230;PGEN_.00g155000;PGEN_.00g181830;PGEN_.00g195300;PGEN_.00g195980;PGEN_.00g216710;PGEN_.00g223100;PGEN_.00g223990;PGEN_.00g224070;PGEN_.00g224320;PGEN_.00g232090;PGEN_.00g240170;PGEN_.00g242090;PGEN_.00g248070;PGEN_.00g278620;PGEN_.00g278670;PGEN_.00g285160;PGEN_.00g302370;PGEN_.00g322450;PGEN_.00g328840","Day7_yellow"
"8","enzyme regulator activity","GO:0030234",3,"GO:0005095","GO:0005095;GO:0010698;GO:0030296",6,"PGEN_.00g147960;PGEN_.00g190490;PGEN_.00g195300;PGEN_.00g195980;PGEN_.00g208730;PGEN_.00g216710","Day7_yellow"
"9","phosphatase activity","GO:0016791",1,"GO:0008138","GO:0008138",3,"PGEN_.00g139380;PGEN_.00g221000;PGEN_.00g298760","Day7_yellow"
"10","hydrolase activity, acting on glyco...","GO:0016798",3,"GO:0016231","GO:0016231;GO:0102148;GO:0140293",5,"PGEN_.00g018550;PGEN_.00g057290;PGEN_.00g183420;PGEN_.00g258740;PGEN_.00g331590","Day7_yellow"
