"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g014380","transport",0.000138148213009282,"GO:0006886","intracellular protein transport","BP","brown","[Protein ADP-ribosylarginine] hydrolase (ADP-ribosylarginine hydrolase)"
"2","PGEN_.00g014380","transport",0.0125667515140027,"GO:0015031","protein transport","BP","brown","[Protein ADP-ribosylarginine] hydrolase (ADP-ribosylarginine hydrolase)"
"3","PGEN_.00g014380","protein transport",0.000138148213009282,"GO:0006886","intracellular protein transport","BP","brown","[Protein ADP-ribosylarginine] hydrolase (ADP-ribosylarginine hydrolase)"
"4","PGEN_.00g014380","transport",0.00144240409513549,"GO:0043312","neutrophil degranulation","BP","brown","[Protein ADP-ribosylarginine] hydrolase (ADP-ribosylarginine hydrolase)"
"5","PGEN_.00g021820","transport",0.000138148213009282,"GO:0006886","intracellular protein transport","BP","brown","Spermatogenesis-defective protein 39 homolog (hSPE-39) (VPS33B-interacting protein in apical-basolateral polarity regulator) (VPS33B-interacting protein in polarity and apical restriction)"
"6","PGEN_.00g021820","transport",0.0125667515140027,"GO:0015031","protein transport","BP","brown","Spermatogenesis-defective protein 39 homolog (hSPE-39) (VPS33B-interacting protein in apical-basolateral polarity regulator) (VPS33B-interacting protein in polarity and apical restriction)"
"7","PGEN_.00g021820","protein transport",0.000138148213009282,"GO:0006886","intracellular protein transport","BP","brown","Spermatogenesis-defective protein 39 homolog (hSPE-39) (VPS33B-interacting protein in apical-basolateral polarity regulator) (VPS33B-interacting protein in polarity and apical restriction)"
"8","PGEN_.00g021820","transport",0.00144240409513549,"GO:0043312","neutrophil degranulation","BP","brown","Spermatogenesis-defective protein 39 homolog (hSPE-39) (VPS33B-interacting protein in apical-basolateral polarity regulator) (VPS33B-interacting protein in polarity and apical restriction)"
"9","PGEN_.00g024130","transport",0.0125667515140027,"GO:0015031","protein transport","BP","brown","Sorting nexin-6 [Cleaved into: Sorting nexin-6, N-terminally processed]"
"10","PGEN_.00g024130","transport",0.000138148213009282,"GO:0006886","intracellular protein transport","BP","brown","Sorting nexin-6 [Cleaved into: Sorting nexin-6, N-terminally processed]"
