"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0015986",2.21408288999906e-16,1,10,11,"ATP synthesis coupled proton transport","BP","pink","Day14"
"2","GO:0006412",2.71358415766907e-10,0.999999999974792,16,100,"translation","BP","pink","Day14"
"3","GO:0060271",0.00849908938808204,0.997100590554162,10,171,"cilium assembly","BP","pink","Day14"
"4","GO:0007283",0.0177218157733501,0.992851274564737,11,228,"spermatogenesis","BP","pink","Day14"
"5","GO:0006468",0.0224175256600788,0.990635881846179,11,229,"protein phosphorylation","BP","pink","Day14"
"6","GO:0005753",6.1556220488758e-11,1,6,6,"mitochondrial proton-transporting ATP synthase complex","CC","pink","Day14"
"7","GO:0000276",8.2288375578179e-11,1,6,6,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC","pink","Day14"
"8","GO:0005739",2.69109716024304e-08,1,44,805,"mitochondrion","CC","pink","Day14"
"9","GO:0005751",2.08218076133021e-07,1,4,4,"mitochondrial respiratory chain complex IV","CC","pink","Day14"
"10","GO:0005852",4.56704571974326e-07,0.999999994348405,5,8,"eukaryotic translation initiation factor 3 complex","CC","pink","Day14"
"11","GO:0033290",4.56704571974326e-07,0.999999994348405,5,8,"eukaryotic 48S preinitiation complex","CC","pink","Day14"
"12","GO:0016282",1.73147253727743e-06,0.999999965280943,5,10,"eukaryotic 43S preinitiation complex","CC","pink","Day14"
"13","GO:0045261",8.48425300763392e-06,1,3,3,"proton-transporting ATP synthase complex, catalytic core F(1)","CC","pink","Day14"
"14","GO:0022627",2.33858388386447e-05,0.999998983148921,5,17,"cytosolic small ribosomal subunit","CC","pink","Day14"
"15","GO:0000275",3.83154337477362e-05,0.999999792919863,3,4,"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)","CC","pink","Day14"
"16","GO:0005743",5.36814010227851e-05,0.999986188411904,15,223,"mitochondrial inner membrane","CC","pink","Day14"
"17","GO:0005747",6.59838831881021e-05,0.999996248601541,5,21,"mitochondrial respiratory chain complex I","CC","pink","Day14"
"18","GO:0005868",0.000229599115707663,0.999988704043156,4,19,"cytoplasmic dynein complex","CC","pink","Day14"
"19","GO:0005737",0.000266544216236897,0.999827309515631,105,3388,"cytoplasm","CC","pink","Day14"
"20","GO:0005763",0.000277911158384238,0.999977164006605,5,31,"mitochondrial small ribosomal subunit","CC","pink","Day14"
"21","GO:0005840",0.000399638615248092,0.999964708700616,5,29,"ribosome","CC","pink","Day14"
"22","GO:0005925",0.000850140496006396,0.999757399342903,12,168,"focal adhesion","CC","pink","Day14"
"23","GO:0022625",0.000904388976774508,0.999934794219879,4,21,"cytosolic large ribosomal subunit","CC","pink","Day14"
"24","GO:0005829",0.00123220880442477,0.999209428638064,76,2336,"cytosol","CC","pink","Day14"
"25","GO:0005750",0.00203132372744207,0.999974564249215,2,4,"mitochondrial respiratory chain complex III","CC","pink","Day14"
"26","GO:0045254",0.00214890736896809,0.999980354252432,2,3,"pyruvate dehydrogenase complex","CC","pink","Day14"
"27","GO:0036126",0.00306936261691295,0.999682053559452,4,26,"sperm flagellum","CC","pink","Day14"
"28","GO:1990904",0.00503152075234187,0.998810774255843,7,91,"ribonucleoprotein complex","CC","pink","Day14"
"29","GO:0000922",0.00513810879495468,0.998782464080726,7,88,"spindle pole","CC","pink","Day14"
"30","GO:0001740",0.00622710451517697,1,1,1,"Barr body","CC","pink","Day14"
"31","GO:0005759",0.00769427489429091,0.997411985432608,10,175,"mitochondrial matrix","CC","pink","Day14"
"32","GO:0031305",0.00797384997326601,0.999299876579856,3,19,"integral component of mitochondrial inner membrane","CC","pink","Day14"
