"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0006412",2,2.71358415766907e-10,0.999999999974792,16,100,"translation","BP","pink","Day14","biosynthetic process","PGEN_.00g000530;PGEN_.00g009770;PGEN_.00g036390;PGEN_.00g044880;PGEN_.00g056800;PGEN_.00g059620;PGEN_.00g062170;PGEN_.00g076830;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g110580;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g153200;PGEN_.00g161760;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g202340;PGEN_.00g224000;PGEN_.00g243720;PGEN_.00g273210;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g346720"
"2","GO:0006412",2,2.71358415766907e-10,0.999999999974792,16,100,"translation","BP","pink","Day14","cellular nitrogen compound metaboli...","PGEN_.00g000530;PGEN_.00g009770;PGEN_.00g036390;PGEN_.00g044880;PGEN_.00g056800;PGEN_.00g059620;PGEN_.00g062170;PGEN_.00g076830;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g110580;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g153200;PGEN_.00g161760;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g202340;PGEN_.00g224000;PGEN_.00g243720;PGEN_.00g273210;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g346720"
"3","GO:0006468",5,0.0224175256600788,0.990635881846179,11,229,"protein phosphorylation","BP","pink","Day14","cellular protein modification proce...","PGEN_.00g003210;PGEN_.00g017180;PGEN_.00g037100;PGEN_.00g117460;PGEN_.00g213430;PGEN_.00g213460;PGEN_.00g220300;PGEN_.00g223690;PGEN_.00g224420;PGEN_.00g274340;PGEN_.00g330340"
"4","GO:0007283",4,0.0177218157733501,0.992851274564737,11,228,"spermatogenesis","BP","pink","Day14","reproduction","PGEN_.00g015370;PGEN_.00g035180;PGEN_.00g045570;PGEN_.00g048700;PGEN_.00g051010;PGEN_.00g167910;PGEN_.00g175440;PGEN_.00g196810;PGEN_.00g199700;PGEN_.00g215100;PGEN_.00g273280"
"5","GO:0015986",1,2.21408288999906e-16,1,10,11,"ATP synthesis coupled proton transport","BP","pink","Day14","transport","PGEN_.00g009770;PGEN_.00g036390;PGEN_.00g062170;PGEN_.00g089940;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g202340;PGEN_.00g224000;PGEN_.00g273210"
"6","GO:0015986",1,2.21408288999906e-16,1,10,11,"ATP synthesis coupled proton transport","BP","pink","Day14","biosynthetic process","PGEN_.00g000530;PGEN_.00g009770;PGEN_.00g036390;PGEN_.00g044880;PGEN_.00g056800;PGEN_.00g059620;PGEN_.00g062170;PGEN_.00g076830;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g110580;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g153200;PGEN_.00g161760;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g202340;PGEN_.00g224000;PGEN_.00g243720;PGEN_.00g273210;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g346720"
"7","GO:0015986",1,2.21408288999906e-16,1,10,11,"ATP synthesis coupled proton transport","BP","pink","Day14","small molecule metabolic process","PGEN_.00g009770;PGEN_.00g036390;PGEN_.00g062170;PGEN_.00g089940;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g202340;PGEN_.00g224000;PGEN_.00g273210"
"8","GO:0015986",1,2.21408288999906e-16,1,10,11,"ATP synthesis coupled proton transport","BP","pink","Day14","cellular nitrogen compound metaboli...","PGEN_.00g000530;PGEN_.00g009770;PGEN_.00g036390;PGEN_.00g044880;PGEN_.00g056800;PGEN_.00g059620;PGEN_.00g062170;PGEN_.00g076830;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g110580;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g153200;PGEN_.00g161760;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g202340;PGEN_.00g224000;PGEN_.00g243720;PGEN_.00g273210;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g346720"
"9","GO:0015986",1,2.21408288999906e-16,1,10,11,"ATP synthesis coupled proton transport","BP","pink","Day14","transmembrane transport","PGEN_.00g009770;PGEN_.00g036390;PGEN_.00g062170;PGEN_.00g089940;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g202340;PGEN_.00g224000;PGEN_.00g273210"
"10","GO:0060271",3,0.00849908938808204,0.997100590554162,10,171,"cilium assembly","BP","pink","Day14","cellular component assembly","PGEN_.00g031040;PGEN_.00g035160;PGEN_.00g035180;PGEN_.00g076260;PGEN_.00g089310;PGEN_.00g127630;PGEN_.00g162110;PGEN_.00g168500;PGEN_.00g259900;PGEN_.00g331690"
