"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0006886",1.45432303589477e-06,0.999999571086566,26,184,"intracellular protein transport","BP","blue","Day21"
"2","GO:0051603",3.97238363648202e-06,0.999999483485999,11,42,"proteolysis involved in cellular protein catabolic process","BP","blue","Day21"
"3","GO:0042493",1.34524993674763e-05,0.999996208235357,20,152,"response to drug","BP","blue","Day21"
"4","GO:0006508",0.000355568499669187,0.999870878620395,20,173,"proteolysis","BP","blue","Day21"
"5","GO:0006869",0.00101311733265559,0.999756642158718,10,57,"lipid transport","BP","blue","Day21"
"6","GO:0043312",0.00496422585154484,0.998476325304632,10,78,"neutrophil degranulation","BP","blue","Day21"
"7","GO:0005975",0.00716097003498239,0.997640888837572,10,112,"carbohydrate metabolic process","BP","blue","Day21"
"8","GO:0006897",0.0107495997098159,0.995476912564955,14,143,"endocytosis","BP","blue","Day21"
"9","GO:0030198",0.0240185819119875,0.99049579344613,10,104,"extracellular matrix organization","BP","blue","Day21"
"10","GO:0006898",0.0336594354917777,0.985976559733021,10,94,"receptor-mediated endocytosis","BP","blue","Day21"
"11","GO:0045087",0.0444665539817724,0.975146048492171,18,298,"innate immune response","BP","blue","Day21"
"12","GO:0055085",0.0468779916039718,0.979165941217194,10,119,"transmembrane transport","BP","blue","Day21"
"13","GO:0015031",0.047156233655512,0.972645964346449,20,287,"protein transport","BP","blue","Day21"
"14","GO:0017090",1.55244751694658e-09,1,5,5,"meprin A complex","CC","blue","Day21"
"15","GO:0005615",1.57504671557857e-07,1,68,796,"extracellular space","CC","blue","Day21"
"16","GO:0005777",6.81658036078639e-07,0.999999853114173,19,115,"peroxisome","CC","blue","Day21"
"17","GO:0042470",9.99477183105508e-07,0.999999858781672,13,53,"melanosome","CC","blue","Day21"
"18","GO:0005764",1.0760411926542e-06,0.999999644929664,31,274,"lysosome","CC","blue","Day21"
"19","GO:0005783",1.13752263908785e-05,0.999994732613174,50,615,"endoplasmic reticulum","CC","blue","Day21"
"20","GO:0005794",1.19012032267963e-05,0.999994173562864,56,684,"Golgi apparatus","CC","blue","Day21"
"21","GO:0031901",2.02506007041252e-05,0.999995177770348,16,91,"early endosome membrane","CC","blue","Day21"
"22","GO:0005576",7.50930656354043e-05,0.99995627555286,76,1105,"extracellular region","CC","blue","Day21"
"23","GO:0005789",9.10767869123182e-05,0.999954791856686,45,610,"endoplasmic reticulum membrane","CC","blue","Day21"
"24","GO:0043231",9.19188132969307e-05,0.999957999864006,37,407,"intracellular membrane-bounded organelle","CC","blue","Day21"
"25","GO:0005769",0.000115721217332598,0.999957030361371,24,210,"early endosome","CC","blue","Day21"
"26","GO:0005829",0.000152105824444986,0.999895176131392,150,2336,"cytosol","CC","blue","Day21"
"27","GO:0030904",0.000262956524070045,0.999990097961903,4,8,"retromer complex","CC","blue","Day21"
"28","GO:0005765",0.00082606831818629,0.999669432667545,21,193,"lysosomal membrane","CC","blue","Day21"
"29","GO:0005623",0.00101565584354696,0.99941836335498,49,696,"cell","CC","blue","Day21"
"30","GO:0001772",0.00103977287684499,0.999935576647179,4,10,"immunological synapse","CC","blue","Day21"
"31","GO:0070062",0.00135092370088086,0.999246788620298,43,545,"extracellular exosome","CC","blue","Day21"
"32","GO:0005778",0.0016613765093179,0.999745767131465,6,32,"peroxisomal membrane","CC","blue","Day21"
"33","GO:0005782",0.00181130575250783,0.999718003765866,6,32,"peroxisomal matrix","CC","blue","Day21"
"34","GO:0005802",0.00231740106862289,0.999186380851911,14,131,"trans-Golgi network","CC","blue","Day21"
"35","GO:0031902",0.00234386435258752,0.999309826237406,11,77,"late endosome membrane","CC","blue","Day21"
"36","GO:0098591",0.00348066144641898,0.999866352578832,3,5,"external side of apical plasma membrane","CC","blue","Day21"
"37","GO:0030667",0.00446283192898279,0.998882901312315,8,51,"secretory granule membrane","CC","blue","Day21"
"38","GO:0031012",0.00462159913675371,0.997886707376517,20,244,"extracellular matrix","CC","blue","Day21"
"39","GO:0030136",0.00491964837407877,0.998904237008217,7,38,"clathrin-coated vesicle","CC","blue","Day21"
"40","GO:0005768",0.00517563347569873,0.997726294913795,18,197,"endosome","CC","blue","Day21"
"41","GO:0000421",0.00629975034840288,0.999253897757502,4,16,"autophagosome membrane","CC","blue","Day21"
"42","GO:0030670",0.00650842566252712,0.998425136839415,7,54,"phagocytic vesicle membrane","CC","blue","Day21"
"43","GO:0030132",0.00663143727026554,0.999891069023505,2,3,"clathrin coat of coated pit","CC","blue","Day21"
"44","GO:0071439",0.00663143727026554,0.999891069023505,2,3,"clathrin complex","CC","blue","Day21"
"45","GO:0005770",0.00758754893009746,0.997513021333776,10,83,"late endosome","CC","blue","Day21"
"46","GO:0030122",0.00773800641574795,0.999862139695501,2,3,"AP-2 adaptor complex","CC","blue","Day21"
"47","GO:0005581",0.00777008922797393,0.997388683505168,10,142,"collagen trimer","CC","blue","Day21"
"48","GO:0016471",0.00786731469455495,0.999801279998818,2,4,"vacuolar proton-transporting V-type ATPase complex","CC","blue","Day21"
"49","GO:0033181",0.0079748496918147,0.999797124682465,2,4,"plasma membrane proton-transporting V-type ATPase complex","CC","blue","Day21"
"50","GO:0033180",0.00905020062252427,0.999715140109783,2,5,"proton-transporting V-type ATPase, V1 domain","CC","blue","Day21"
"51","GO:0005795",0.00911992350327839,0.998375396659016,5,24,"Golgi stack","CC","blue","Day21"
"52","GO:0071203",0.00968394708062619,0.999189507484742,3,10,"WASH complex","CC","blue","Day21"
"53","GO:1990578",0.0108923843980056,0.999767388709906,2,3,"perinuclear endoplasmic reticulum membrane","CC","blue","Day21"
"54","GO:0032541",0.0117101647225551,0.999577909895384,2,5,"cortical endoplasmic reticulum","CC","blue","Day21"
"55","GO:0005801",0.012028776007641,0.997680004568045,5,26,"cis-Golgi network","CC","blue","Day21"
"56","GO:0009536",0.0124612546610911,0.999496021432718,2,6,"plastid","CC","blue","Day21"
"57","GO:0035363",0.0133342409658334,0.999682715757642,2,3,"histone locus body","CC","blue","Day21"
"58","GO:0005774",0.0134894926894509,0.997867947353852,4,25,"vacuolar membrane","CC","blue","Day21"
"59","GO:0005943",0.0145011531548667,0.999639033029615,2,3,"phosphatidylinositol 3-kinase complex, class IA","CC","blue","Day21"
"60","GO:0032587",0.0147486935828027,0.995892368758624,7,43,"ruffle membrane","CC","blue","Day21"
"61","GO:0030130",0.0158968588637028,0.999417235135266,2,4,"clathrin coat of trans-Golgi network vesicle","CC","blue","Day21"
"62","GO:0033162",0.0161457116022894,0.999309911957734,2,5,"melanosome membrane","CC","blue","Day21"
"63","GO:0019897",0.0172742511164045,0.997120472607098,4,21,"extrinsic component of plasma membrane","CC","blue","Day21"
"64","GO:1990701",0.0174148911168679,1,1,1,"integral component of endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane","CC","blue","Day21"
"65","GO:0030055",0.0195303830094973,1,1,1,"cell-substrate junction","CC","blue","Day21"
"66","GO:0030118",0.0220736164955022,0.999034166177192,2,4,"clathrin coat","CC","blue","Day21"
"67","GO:0005895",0.023760663624337,1,1,1,"interleukin-5 receptor complex","CC","blue","Day21"
"68","GO:0005869",0.0240617121482957,0.998725709987476,2,5,"dynactin complex","CC","blue","Day21"
"69","GO:0033176",0.024181581376871,1,1,1,"proton-transporting V-type ATPase complex","CC","blue","Day21"
"70","GO:0062023",0.024458305871476,0.987036866960783,19,260,"collagen-containing extracellular matrix","CC","blue","Day21"
"71","GO:0005739",0.0246694031515507,0.983331590556385,46,805,"mitochondrion","CC","blue","Day21"
"72","GO:0045121",0.0251928859445586,0.988469700964653,13,182,"membrane raft","CC","blue","Day21"
"73","GO:0032419",0.0258998650242024,1,1,1,"extrinsic component of lysosome membrane","CC","blue","Day21"
"74","GO:0016028",0.0290995427388718,0.998519274700416,2,4,"rhabdomere","CC","blue","Day21"
"75","GO:0009368",0.0298134952389525,1,1,1,"endopeptidase Clp complex","CC","blue","Day21"
"76","GO:0030133",0.0306350214325194,0.992237821219208,5,36,"transport vesicle","CC","blue","Day21"
"77","GO:0031088",0.0329053078219851,0.998208111413703,2,4,"platelet dense granule membrane","CC","blue","Day21"
"78","GO:0070418",0.0345556602598775,1,1,1,"DNA-dependent protein kinase complex","CC","blue","Day21"
"79","GO:0042629",0.0373890584115282,0.999644200133945,1,2,"mast cell granule","CC","blue","Day21"
"80","GO:0030125",0.0387273485341484,1,1,1,"clathrin vesicle coat","CC","blue","Day21"
"81","GO:0099631",0.0387273485341484,1,1,1,"postsynaptic endocytic zone cytoplasmic component","CC","blue","Day21"
"82","GO:0035579",0.0399496474514605,0.993980834653851,3,12,"specific granule membrane","CC","blue","Day21"
"83","GO:0005788",0.0405621379661443,0.982384361913251,10,126,"endoplasmic reticulum lumen","CC","blue","Day21"
"84","GO:0045335",0.0409800650112549,0.98866995959983,5,41,"phagocytic vesicle","CC","blue","Day21"
"85","GO:0030659",0.0437196996023263,0.981896366043541,9,89,"cytoplasmic vesicle membrane","CC","blue","Day21"
"86","GO:0031372",0.0443531667297656,1,1,1,"UBC13-MMS2 complex","CC","blue","Day21"
"87","GO:0009986",0.0465180354363607,0.969537018715212,32,484,"cell surface","CC","blue","Day21"
"88","GO:0033179",0.0479098780455283,0.999412605717844,1,2,"proton-transporting V-type ATPase, V0 domain","CC","blue","Day21"
"89","GO:0005319",7.28609624120245e-06,0.999999415991478,8,21,"lipid transporter activity","MF","blue","Day21"
"90","GO:0008289",7.96716216812613e-05,0.999979579671759,15,92,"lipid binding","MF","blue","Day21"
"91","GO:0043559",0.000216746967705136,0.999994249520243,4,6,"insulin binding","MF","blue","Day21"
"92","GO:0015562",0.000390621566912852,0.999960382922913,6,17,"efflux transmembrane transporter activity","MF","blue","Day21"
"93","GO:0004252",0.00049680253372558,0.999853387460145,14,108,"serine-type endopeptidase activity","MF","blue","Day21"
"94","GO:0005324",0.000540256166081225,0.999973420710466,4,9,"long-chain fatty acid transporter activity","MF","blue","Day21"
"95","GO:0005044",0.000551475318437767,0.999845947672268,13,85,"scavenger receptor activity","MF","blue","Day21"
"96","GO:0004197",0.00151864167391242,0.999606159051578,10,75,"cysteine-type endopeptidase activity","MF","blue","Day21"
"97","GO:0035615",0.0017821928587977,0.99996319816947,3,4,"clathrin adaptor activity","MF","blue","Day21"
"98","GO:0042626",0.0018177488810619,0.999525656531872,10,59,"ATPase-coupled transmembrane transporter activity","MF","blue","Day21"
"99","GO:0004103",0.00183197867441222,1,2,2,"choline kinase activity","MF","blue","Day21"
"100","GO:0004597",0.00185489897137134,1,2,2,"peptide-aspartate beta-dioxygenase activity","MF","blue","Day21"
"101","GO:0062101",0.00185489897137134,1,2,2,"peptidyl-aspartic acid 3-dioxygenase activity","MF","blue","Day21"
"102","GO:0046961",0.00188517269522545,0.999931343925731,3,6,"proton-transporting ATPase activity, rotational mechanism","MF","blue","Day21"
"103","GO:0034040",0.00189190929195081,0.999941736985557,3,5,"ATPase-coupled lipid transmembrane transporter activity","MF","blue","Day21"
"104","GO:0016404",0.00194653487991037,0.999939439240311,3,5,"15-hydroxyprostaglandin dehydrogenase (NAD+) activity","MF","blue","Day21"
"105","GO:0015485",0.00218847332919353,0.999582348525119,7,36,"cholesterol binding","MF","blue","Day21"
"106","GO:0017080",0.00226152930572716,0.999896714096797,3,8,"sodium channel regulator activity","MF","blue","Day21"
"107","GO:0016491",0.00231415433855885,0.999146733018162,15,173,"oxidoreductase activity","MF","blue","Day21"
"108","GO:0035650",0.0024490760256225,1,2,2,"AP-1 adaptor complex binding","MF","blue","Day21"
"109","GO:0019003",0.00278771630963945,0.999431233075696,7,45,"GDP binding","MF","blue","Day21"
"110","GO:0042910",0.00285257171685711,0.999533361968379,6,24,"xenobiotic transmembrane transporter activity","MF","blue","Day21"
"111","GO:0008559",0.00295201761031792,0.999755210211756,4,10,"ATPase-coupled xenobiotic transmembrane transporter activity","MF","blue","Day21"
"112","GO:0030742",0.00325301128548838,0.999830795505838,3,8,"GTP-dependent protein binding","MF","blue","Day21"
"113","GO:0015431",0.00391969899336144,0.999814169691078,3,6,"ATPase-coupled glutathione S-conjugate transmembrane transporter activity","MF","blue","Day21"
"114","GO:0034634",0.00391969899336144,0.999814169691078,3,6,"glutathione transmembrane transporter activity","MF","blue","Day21"
"115","GO:0140359",0.00391969899336144,0.999814169691078,3,6,"ABC-type transmembrane transporter activity","MF","blue","Day21"
"116","GO:0016830",0.00417553021320665,1,2,2,"carbon-carbon lyase activity","MF","blue","Day21"
"117","GO:0005168",0.00505371354459431,1,2,2,"neurotrophin TRKA receptor binding","MF","blue","Day21"
"118","GO:0015662",0.00534830226537077,1,2,2,"ion transmembrane transporter activity, phosphorylative mechanism","MF","blue","Day21"
"119","GO:0003824",0.00543305572397698,0.998914471563593,6,41,"catalytic activity","MF","blue","Day21"
"120","GO:0042887",0.00569935075873282,1,2,2,"amide transmembrane transporter activity","MF","blue","Day21"
"121","GO:0005518",0.0063946437714203,0.99827570883367,8,61,"collagen binding","MF","blue","Day21"
"122","GO:0030306",0.00678174358015952,0.999606692417461,3,6,"ADP-ribosylation factor binding","MF","blue","Day21"
"123","GO:0000062",0.00702041562645424,0.999464600536177,3,11,"fatty-acyl-CoA binding","MF","blue","Day21"
"124","GO:0004322",0.00734150280019526,0.99977496306409,2,6,"ferroxidase activity","MF","blue","Day21"
"125","GO:0008553",0.00742880670052607,0.999789114759603,2,5,"proton-exporting ATPase activity, phosphorylative mechanism","MF","blue","Day21"
"126","GO:0016787",0.00831765561359924,0.997396831313053,9,95,"hydrolase activity","MF","blue","Day21"
"127","GO:0016788",0.0097876245408264,0.999156448824853,3,11,"hydrolase activity, acting on ester bonds","MF","blue","Day21"
"128","GO:0035091",0.00994885398068628,0.997149871316231,8,49,"phosphatidylinositol binding","MF","blue","Day21"
"129","GO:0032266",0.0103784994258221,0.998115434179348,5,22,"phosphatidylinositol-3-phosphate binding","MF","blue","Day21"
"130","GO:0004553",0.0105358259937432,0.998494436216848,4,20,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF","blue","Day21"
"131","GO:0004568",0.0113421689546418,0.998370314193189,4,18,"chitinase activity","MF","blue","Day21"
"132","GO:0005504",0.0115766943699073,0.999585238032221,2,5,"fatty acid binding","MF","blue","Day21"
"133","GO:0008270",0.0125027816594352,0.9919933143661,44,731,"zinc ion binding","MF","blue","Day21"
"134","GO:0004364",0.0145507668740519,0.997593782344154,4,32,"glutathione transferase activity","MF","blue","Day21"
"135","GO:0004022",0.0150739328554282,0.999462898066134,2,4,"alcohol dehydrogenase (NAD+) activity","MF","blue","Day21"
"136","GO:0043560",0.0152065815933738,0.998602614422214,3,8,"insulin receptor substrate binding","MF","blue","Day21"
"137","GO:0003997",0.0154039637583206,0.999444744890397,2,4,"acyl-CoA oxidase activity","MF","blue","Day21"
"138","GO:0005158",0.015495981642626,0.998565748521539,3,8,"insulin receptor binding","MF","blue","Day21"
"139","GO:0043125",0.0159589994560435,0.999581675553693,2,3,"ErbB-3 class receptor binding","MF","blue","Day21"
"140","GO:0043548",0.0160863478828632,0.998296567592578,3,12,"phosphatidylinositol 3-kinase binding","MF","blue","Day21"
