"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","cellular nitrogen compound metaboli...","GO:0034641",6,"GO:0000184","GO:0000184;GO:0002181;GO:0006281;GO:0006412;GO:0006413;GO:0015986",82,"PGEN_.00g000530;PGEN_.00g000750;PGEN_.00g000980;PGEN_.00g003630;PGEN_.00g009770;PGEN_.00g017970;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g035120;PGEN_.00g036390;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g044880;PGEN_.00g046400;PGEN_.00g050570;PGEN_.00g056800;PGEN_.00g058030;PGEN_.00g059620;PGEN_.00g062170;PGEN_.00g067550;PGEN_.00g074330;PGEN_.00g076830;PGEN_.00g082590;PGEN_.00g085050;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g091210;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g103530;PGEN_.00g110580;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g130250;PGEN_.00g131540;PGEN_.00g153200;PGEN_.00g153380;PGEN_.00g156700;PGEN_.00g158330;PGEN_.00g161760;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g170110;PGEN_.00g170120;PGEN_.00g189090;PGEN_.00g193610;PGEN_.00g193650;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g200880;PGEN_.00g202340;PGEN_.00g208760;PGEN_.00g213830;PGEN_.00g216500;PGEN_.00g217240;PGEN_.00g223950;PGEN_.00g224000;PGEN_.00g224060;PGEN_.00g224120;PGEN_.00g225250;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g254000;PGEN_.00g258390;PGEN_.00g260760;PGEN_.00g270690;PGEN_.00g273210;PGEN_.00g281780;PGEN_.00g287540;PGEN_.00g288180;PGEN_.00g291940;PGEN_.00g303450;PGEN_.00g309420;PGEN_.00g312410;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g329160;PGEN_.00g346720","Day21_magenta"
"2","catabolic process","GO:0009056",1,"GO:0000184","GO:0000184",13,"PGEN_.00g000530;PGEN_.00g026310;PGEN_.00g041380;PGEN_.00g046400;PGEN_.00g050570;PGEN_.00g153380;PGEN_.00g163590;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g223950;PGEN_.00g224120;PGEN_.00g225250;PGEN_.00g312410","Day21_magenta"
"3","nucleobase-containing compound cata...","GO:0034655",1,"GO:0000184","GO:0000184",13,"PGEN_.00g000530;PGEN_.00g026310;PGEN_.00g041380;PGEN_.00g046400;PGEN_.00g050570;PGEN_.00g153380;PGEN_.00g163590;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g223950;PGEN_.00g224120;PGEN_.00g225250;PGEN_.00g312410","Day21_magenta"
"4","biosynthetic process","GO:0009058",4,"GO:0002181","GO:0002181;GO:0006412;GO:0006413;GO:0015986",67,"PGEN_.00g000530;PGEN_.00g000750;PGEN_.00g003630;PGEN_.00g009770;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g035120;PGEN_.00g036390;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g044880;PGEN_.00g046400;PGEN_.00g056800;PGEN_.00g058030;PGEN_.00g059620;PGEN_.00g062170;PGEN_.00g067550;PGEN_.00g074330;PGEN_.00g076830;PGEN_.00g082590;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g103530;PGEN_.00g110580;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g130250;PGEN_.00g131540;PGEN_.00g153200;PGEN_.00g153380;PGEN_.00g156700;PGEN_.00g158330;PGEN_.00g161760;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g189090;PGEN_.00g193610;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g200880;PGEN_.00g202340;PGEN_.00g208760;PGEN_.00g224000;PGEN_.00g224060;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g254000;PGEN_.00g260760;PGEN_.00g270690;PGEN_.00g273210;PGEN_.00g281780;PGEN_.00g287540;PGEN_.00g288180;PGEN_.00g291940;PGEN_.00g303450;PGEN_.00g309420;PGEN_.00g312410;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g329160;PGEN_.00g346720","Day21_magenta"
"5","translation","GO:0006412",3,"GO:0002181","GO:0002181;GO:0006413",24,"PGEN_.00g000530;PGEN_.00g000750;PGEN_.00g026310;PGEN_.00g035120;PGEN_.00g041380;PGEN_.00g046400;PGEN_.00g082590;PGEN_.00g110580;PGEN_.00g130250;PGEN_.00g131540;PGEN_.00g153380;PGEN_.00g158330;PGEN_.00g163590;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g208760;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g254000;PGEN_.00g288180;PGEN_.00g312410;PGEN_.00g329160","Day21_magenta"
"6","DNA metabolic process","GO:0006259",1,"GO:0006281","GO:0006281",13,"PGEN_.00g000980;PGEN_.00g017970;PGEN_.00g050570;PGEN_.00g085050;PGEN_.00g091210;PGEN_.00g103530;PGEN_.00g170110;PGEN_.00g170120;PGEN_.00g193650;PGEN_.00g213830;PGEN_.00g216500;PGEN_.00g217240;PGEN_.00g258390","Day21_magenta"
"7","response to stress","GO:0006950",1,"GO:0006281","GO:0006281",13,"PGEN_.00g000980;PGEN_.00g017970;PGEN_.00g050570;PGEN_.00g085050;PGEN_.00g091210;PGEN_.00g103530;PGEN_.00g170110;PGEN_.00g170120;PGEN_.00g193650;PGEN_.00g213830;PGEN_.00g216500;PGEN_.00g217240;PGEN_.00g258390","Day21_magenta"
"8","transmembrane transport","GO:0055085",2,"GO:0015986","GO:0015986;GO:1902600",15,"PGEN_.00g009770;PGEN_.00g036390;PGEN_.00g039280;PGEN_.00g062170;PGEN_.00g089940;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g167440;PGEN_.00g202340;PGEN_.00g224000;PGEN_.00g224060;PGEN_.00g268050;PGEN_.00g268200;PGEN_.00g273210","Day21_magenta"
"9","transport","GO:0006810",2,"GO:0015986","GO:0015986;GO:1902600",15,"PGEN_.00g009770;PGEN_.00g036390;PGEN_.00g039280;PGEN_.00g062170;PGEN_.00g089940;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g167440;PGEN_.00g202340;PGEN_.00g224000;PGEN_.00g224060;PGEN_.00g268050;PGEN_.00g268200;PGEN_.00g273210","Day21_magenta"
"10","small molecule metabolic process","GO:0044281",1,"GO:0015986","GO:0015986",11,"PGEN_.00g009770;PGEN_.00g036390;PGEN_.00g062170;PGEN_.00g089940;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g202340;PGEN_.00g224000;PGEN_.00g224060;PGEN_.00g273210","Day21_magenta"
"11","cell death","GO:0008219",2,"GO:0043065","GO:0043065;GO:0043066",23,"PGEN_.00g019730;PGEN_.00g041020;PGEN_.00g045570;PGEN_.00g049490;PGEN_.00g071600;PGEN_.00g072360;PGEN_.00g073360;PGEN_.00g074360;PGEN_.00g095360;PGEN_.00g097230;PGEN_.00g103540;PGEN_.00g104810;PGEN_.00g147990;PGEN_.00g175950;PGEN_.00g186780;PGEN_.00g194130;PGEN_.00g197080;PGEN_.00g206280;PGEN_.00g213190;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g251310;PGEN_.00g344050","Day21_magenta"
